"Journal Data Filtered By:  Selected Categories: ANTHROPOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Archaeological and Anthropological Sciences","ARCHAEOL ANTHROP SCI","SPRINGER HEIDELBERG","1866-9557","1866-9565","ANTHROPOLOGY","SSCI","3,793","2","Q1","1.31","49.59"%,
"American Journal of Biological Anthropology","AM J BIOL ANTHROPOL","WILEY","2692-7691","2692-7691","ANTHROPOLOGY","SSCI","749","2","Q1","0.96","40"%,
"AMERICAN ANTIQUITY","AM ANTIQUITY","CAMBRIDGE UNIV PRESS","0002-7316","2325-5064","ANTHROPOLOGY","SSCI","3,533","1.9","Q1","1.85","49.41"%,
"CULTURAL ANTHROPOLOGY","CULT ANTHROPOL","SOC CULTURAL ANTHROPOLOGY","0886-7356","1548-1360","ANTHROPOLOGY","SSCI","3,545","1.9","Q1","1.46","100"%,
"MEDICAL ANTHROPOLOGY QUARTERLY","MED ANTHROPOL Q","WILEY","0745-5194","1548-1387","ANTHROPOLOGY","SSCI","1,490","1.9","Q1","0.92","46.99"%,
"CURRENT ANTHROPOLOGY","CURR ANTHROPOL","UNIV CHICAGO PRESS","0011-3204","1537-5382","ANTHROPOLOGY","SSCI","6,641","1.8","Q1","1.45","3.08"%,
"CULTURE MEDICINE AND PSYCHIATRY","CULT MED PSYCHIAT","SPRINGER","0165-005X","1573-076X","ANTHROPOLOGY","SSCI","1,563","1.8","Q1","0.74","34.78"%,
"ANTIQUITY","ANTIQUITY","CAMBRIDGE UNIV PRESS","0003-598X","1745-1744","ANTHROPOLOGY","SSCI","4,257","1.7","Q1","1.48","63.49"%,
"AMERICAN ANTHROPOLOGIST","AM ANTHROPOL","WILEY","0002-7294","1548-1433","ANTHROPOLOGY","SSCI","5,595","1.7","Q1","1.38","37.93"%,
"PaleoAmerica","PALEOAMERICA","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2055-5563","2055-5571","ANTHROPOLOGY","ESCI","309","1.7","Q1","1.21","5"%,
"Focaal-Journal of Global and Historical Anthropology","FOCAAL","BERGHAHN JOURNALS","0920-1297","1558-5263","ANTHROPOLOGY","SSCI","504","1.7","Q1","1.03","85.51"%,
"AMERICAN JOURNAL OF HUMAN BIOLOGY","AM J HUM BIOL","WILEY","1042-0533","1520-6300","ANTHROPOLOGY","SSCI","4,113","1.7","Q1","0.82","28.32"%,
"HUMAN ECOLOGY","HUM ECOL","SPRINGER/PLENUM PUBLISHERS","0300-7839","1572-9915","ANTHROPOLOGY","SSCI","3,213","1.7","Q1","0.82","34.86"%,
"ETHNOS","ETHNOS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0014-1844","1469-588X","ANTHROPOLOGY","SSCI","1,385","1.7","Q1","0.68","41.38"%,
"CRITIQUE OF ANTHROPOLOGY","CRIT ANTHROPOL","SAGE PUBLICATIONS LTD","0308-275X","1460-3721","ANTHROPOLOGY","SSCI","833","1.6","Q1","0.99","45"%,
"Anthropological Theory","ANTHROPOL THEOR","SAGE PUBLICATIONS LTD","1463-4996","1741-2641","ANTHROPOLOGY","SSCI","1,188","1.5","Q2","0.94","43.55"%,
"Social Anthropology","SOC ANTHROPOL","BERGHAHN JOURNALS","0964-0282","1469-8676","ANTHROPOLOGY","SSCI","1,129","1.5","Q2","0.87","94.68"%,
"Journal of Linguistic Anthropology","J LINGUIST ANTHROPOL","WILEY","1055-1360","1548-1395","ANTHROPOLOGY","SSCI","932","1.4","Q2","1.05","33.9"%,
"ARCHAEOLOGY IN OCEANIA","ARCHAEOL OCEAN","WILEY","0728-4896","1834-4453","ANTHROPOLOGY","SSCI","498","1.4","Q2","0.94","75"%,
"Field Methods","FIELD METHOD","SAGE PUBLICATIONS INC","1525-822X","1552-3969","ANTHROPOLOGY","SSCI","3,630","1.4","Q2","0.81","30.77"%,
"Trabajos de Prehistoria","TRABAJOS PREHIST","CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC","0082-5638","1988-3218","ANTHROPOLOGY","SSCI","476","1.3","Q2","1.39","100"%,
"JOURNAL OF SOCIAL ARCHAEOLOGY","J SOC ARCHAEOL","SAGE PUBLICATIONS LTD","1469-6053","1741-2951","ANTHROPOLOGY","SSCI","522","1.3","Q2","1.2","35.56"%,
"JOURNAL OF ETHNOBIOLOGY","J ETHNOBIOL","SAGE PUBLICATIONS INC","0278-0771","2162-4496","ANTHROPOLOGY","SSCI","1,067","1.3","Q2","1.08","16.48"%,
"ANTHROPOLOGY & EDUCATION QUARTERLY","ANTHROPOL EDUC QUART","WILEY","0161-7761","1548-1492","ANTHROPOLOGY","SSCI","1,028","1.3","Q2","0.72","19.72"%,
"Polar-Political and Legal Anthropology Review","POLAR-POLIT LEG ANTH","WILEY PERIODICALS, INC","1081-6976","1555-2934","ANTHROPOLOGY","SSCI","663","1.3","Q2","0.69","45.83"%,
"ETHOS","ETHOS","WILEY","0091-2131","1548-1352","ANTHROPOLOGY","SSCI","1,327","1.3","Q2","0.64","39.78"%,
"ANNALS OF HUMAN BIOLOGY","ANN HUM BIOL","TAYLOR & FRANCIS LTD","0301-4460","1464-5033","ANTHROPOLOGY","SSCI","2,224","1.3","Q2","0.52","63.95"%,
"Lithic Technology","LITHIC TECHNOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0197-7261","2051-6185","ANTHROPOLOGY","SSCI","494","1.2","Q2","1.16","12.79"%,
"CULTURAL STUDIES","CULT STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0950-2386","1466-4348","ANTHROPOLOGY","SSCI","2,954","1.2","Q2","1.12","24.07"%,
"Signs and Society","SIGNS SOC","CAMBRIDGE UNIV PRESS","2326-4489","2326-4497","ANTHROPOLOGY","SSCI","238","1.2","Q2","0.93","87.23"%,
"AUSTRALIAN ARCHAEOLOGY","AUST ARCHAEOL","TAYLOR & FRANCIS LTD","0312-2417","2470-0363","ANTHROPOLOGY","SSCI","456","1.2","Q2","0.88","73.75"%,
"Medical Anthropology","MED ANTHROPOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0145-9740","1545-5882","ANTHROPOLOGY","SSCI","1,424","1.2","Q2","0.67","43.59"%,
"Cambridge Journal of Anthropology","CAMB J ANTHROPOL","BERGHAHN JOURNALS","0305-7674","2047-7716","ANTHROPOLOGY","ESCI","405","1.2","Q2","0.51","95.24"%,
"COMPARATIVE STUDIES IN SOCIETY AND HISTORY","COMP STUD SOC HIST","CAMBRIDGE UNIV PRESS","0010-4175","1475-2999","ANTHROPOLOGY","SSCI","2,748","1.1","Q2","1.59","72.81"%,
"African Archaeological Review","AFR ARCHAEOL REV","SPRINGER","0263-0338","1572-9842","ANTHROPOLOGY","SSCI","677","1.1","Q2","1.07","53.66"%,
"AFRICA","AFRICA","CAMBRIDGE UNIV PRESS","0001-9720","1750-0184","ANTHROPOLOGY","SSCI","1,511","1.1","Q2","0.92","38.04"%,
"JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE","J ROY ANTHROPOL INST","WILEY","1359-0987","1467-9655","ANTHROPOLOGY","SSCI","2,687","1.1","Q2","0.85","55.2"%,
"LATIN AMERICAN ANTIQUITY","LAT AM ANTIQ","CAMBRIDGE UNIV PRESS","1045-6635","2325-5080","ANTHROPOLOGY","SSCI","1,264","1.1","Q2","0.85","28.48"%,
"Food and Foodways","FOOD FOODWAYS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0740-9710","1542-3484","ANTHROPOLOGY","ESCI","408","1.1","Q2","0.83","31.37"%,
"Anthropology & Medicine","ANTHROPOL MED","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1364-8470","1469-2910","ANTHROPOLOGY","SSCI","634","1.1","Q2","0.56","47.37"%,
"Ethnography","ETHNOGRAPHY","SAGE PUBLICATIONS LTD","1466-1381","1741-2714","ANTHROPOLOGY","SSCI","1,638","1.1","Q2","0.55","23.14"%,
"DIALECTICAL ANTHROPOLOGY","DIALECT ANTHROPOL","SPRINGER","0304-4092","1573-0786","ANTHROPOLOGY","ESCI","487","1.1","Q2","0.48","50"%,
"Ethnobiology Letters","ETHNOBIOL LETT","SOC ETHNOBIOLOGY","2159-8126","2159-8126","ANTHROPOLOGY","ESCI","209","1","Q2","1.02","96.77"%,
"INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY","INT J OSTEOARCHAEOL","WILEY","1047-482X","1099-1212","ANTHROPOLOGY","SSCI","2,454","1","Q2","0.89","37.22"%,
"Critical African Studies","CRIT AFR STUD","TAYLOR & FRANCIS LTD","2168-1392","2040-7211","ANTHROPOLOGY","ESCI","341","1","Q2","0.81","26.87"%,
"JOURNAL OF ANTHROPOLOGICAL RESEARCH","J ANTHROPOL RES","UNIV CHICAGO PRESS","0091-7710","2153-3806","ANTHROPOLOGY","SSCI","1,004","1","Q2","0.77","0"%,
"Economic Anthropology","ECON ANTHROPOL","WILEY","2330-4847","2330-4847","ANTHROPOLOGY","SSCI","317","1","Q2","0.69","44.29"%,
"Intersecciones en Antropologia","INTERSECCIONES ANTRO","UNIV NACL CENTRO PROVINCIA BUENOS AIRES (UNICEN), FAC CIENCIAS SOCIALES","1850-373X","1850-373X","ANTHROPOLOGY","SSCI","415","1","Q2","0.45","100"%,
"International Indigenous Policy Journal","INT INDIG POLICY J","UNIV WESTERN ONTARIO","1916-5781","1916-5781","ANTHROPOLOGY","ESCI","530","1","Q2","0.42","74.07"%,
"Nawpa Pacha","NAWPA PACHA","TAYLOR & FRANCIS LTD","0077-6297","2051-6207","ANTHROPOLOGY","ESCI","112","0.9","Q2","0.97","8.82"%,
"PUBLIC CULTURE","PUBLIC CULTURE","DUKE UNIV PRESS","0899-2363","1527-8018","ANTHROPOLOGY","SSCI","2,917","0.9","Q2","0.94","2.13"%,
"Transforming Anthropology","TRANSFORM ANTHROPOL","UNIV CHICAGO PRESS","1051-0559","1548-7466","ANTHROPOLOGY","ESCI","295","0.9","Q2","0.85","6.67"%,
"JOURNAL OF MATERIAL CULTURE","J MAT CULT","SAGE PUBLICATIONS LTD","1359-1835","1460-3586","ANTHROPOLOGY","SSCI","840","0.9","Q2","0.68","37.88"%,
"ANTHROPOLOGY OF CONSCIOUSNESS","ANTHROPOL CONSCIOUS","WILEY","1053-4202","1556-3537","ANTHROPOLOGY","ESCI","196","0.9","Q2","0.51","23.81"%,
"HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY","HOMO","E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG","0018-442X","1618-1301","ANTHROPOLOGY","SSCI","547","0.9","Q2","0.44","56.25"%,
"Anthropology in Action-Journal for Applied Anthropology in Policy and Practice","ANTHROPOL ACTION","BERGHAHN JOURNALS","0967-201X","1752-2285","ANTHROPOLOGY","ESCI","218","0.8","Q3","0.66","100"%,
"Museum Anthropology","MUS ANTHROPOL","WILEY","0892-8339","1548-1379","ANTHROPOLOGY","ESCI","178","0.8","Q3","0.59","38.24"%,
"JOURNAL OF THE POLYNESIAN SOCIETY","J POLYNESIAN SOC","POLYNESIAN SOC INC","0032-4000","2230-5955","ANTHROPOLOGY","SSCI","457","0.8","Q3","0.57","0"%,
"Anthropology of Work Review","ANTHROPOL WORK REV","WILEY","0883-024X","1548-1417","ANTHROPOLOGY","ESCI","138","0.8","Q3","0.54","39.29"%,
"ANTHROPOLOGIE","ANTHROPOLOGIE","ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER","0003-5521","1873-5827","ANTHROPOLOGY","SSCI","711","0.8","Q3","0.46","0.57"%,
"Magallania","MAGALLANIA","UNIV MAGALLANES","0718-2244","0718-2244","ANTHROPOLOGY","SSCI","404","0.8","Q3","0.31","73.81"%,
"Bioarchaeology International","BIOARCHAEOLOGY INT","UNIV FLORIDA PRESS","2472-8349","2472-8357","ANTHROPOLOGY","ESCI","201","0.7","Q3","0.97","3.92"%,
"Anthropological Forum","ANTHROPOL FORUM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0066-4677","1469-2902","ANTHROPOLOGY","SSCI","365","0.7","Q3","0.66","45.76"%,
"ANTHROPOZOOLOGICA","ANTHROPOZOOLOGICA","PUBLICATIONS SCIENTIFIQUES DU MUSEUM, PARIS","0761-3032","2107-0881","ANTHROPOLOGY","SSCI","303","0.7","Q3","0.61","0"%,
"Social Analysis","SOC ANAL","BERGHAHN JOURNALS","0155-977X","1558-5727","ANTHROPOLOGY","SSCI","732","0.7","Q3","0.61","91.67"%,
"ARCTIC ANTHROPOLOGY","ARCTIC ANTHROPOL","UNIV WISCONSIN PRESS","0066-6939","1933-8139","ANTHROPOLOGY","SSCI","326","0.7","Q3","0.49","14.29"%,
"Asia Pacific Journal of Anthropology","ASIA PAC J ANTHROPOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1444-2213","1740-9314","ANTHROPOLOGY","SSCI","355","0.7","Q3","0.47","31.88"%,
"NOMADIC PEOPLES","NOMAD PEOPLES","WHITE HORSE PRESS","0822-7942","1752-2366","ANTHROPOLOGY","ESCI","275","0.7","Q3","0.43","65.71"%,
"Australian Journal of Anthropology","AUST J ANTHROPOL","WILEY","1035-8811","1757-6547","ANTHROPOLOGY","SSCI","362","0.7","Q3","0.38","56.92"%,
"JOURNAL OF HISTORICAL SOCIOLOGY","J HIST SOCIOL","WILEY","0952-1909","1467-6443","ANTHROPOLOGY","SSCI","732","0.6","Q3","1.12","20"%,
"Praehistorische Zeitschrift","PRAEHIST Z","WALTER DE GRUYTER GMBH","0079-4848","1613-0804","ANTHROPOLOGY","SSCI","237","0.6","Q3","0.89","13.28"%,
"BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE","BIJDR TAAL-LAND-V","BRILL","0006-2294","2213-4379","ANTHROPOLOGY","SSCI","346","0.6","Q3","0.56","68.57"%,
"HUMAN ORGANIZATION","HUM ORGAN","TAYLOR & FRANCIS LTD","0018-7259","1938-3525","ANTHROPOLOGY","SSCI","1,411","0.6","Q3","0.56","8.28"%,
"Annals of Anthropological Practice","ANN ANTHROPL PRACT","WILEY","2153-957X","2153-9588","ANTHROPOLOGY","ESCI","264","0.6","Q3","0.45","26.67"%,
"OCEANIA","OCEANIA","WILEY","0029-8077","1834-4461","ANTHROPOLOGY","SSCI","459","0.6","Q3","0.43","49.02"%,
"Journal of Latin American and Caribbean Anthropology","J LAT AM CARIBB ANTH","WILEY","1935-4932","1935-4940","ANTHROPOLOGY","SSCI","434","0.6","Q3","0.41","22.02"%,
"ANTHROPOLOGICAL QUARTERLY","ANTHROPOL QUART","GEORGE WASHINGTON UNIV INST ETHNOGRAPHIC RESEARCH","0003-5491","1534-1518","ANTHROPOLOGY","SSCI","1,312","0.6","Q3","0.39","0"%,
"Estudios Atacamenos","ESTUD ATACAMENOS","UNIV CATOLICA NORTE, Inst Invest Arqueologicas y Museo RP Gustavo Le Paige","0718-1043","0718-1043","ANTHROPOLOGY","SSCI","457","0.6","Q3","0.37","91.76"%,
"Anthropological Journal of European Cultures","ANTHROPOL J EUR CULT","BERGHAHN JOURNALS","1755-2923","1755-2931","ANTHROPOLOGY","ESCI","142","0.6","Q3","0.29","95.24"%,
"Childhood in the Past","CHILD PAST","TAYLOR & FRANCIS LTD","1758-5716","2040-8528","ANTHROPOLOGY","ESCI","29","0.5","Q3","1.08","20"%,
"JOURNAL OF FAMILY HISTORY","J FAM HIST","SAGE PUBLICATIONS INC","0363-1990","1552-5473","ANTHROPOLOGY","SSCI","432","0.5","Q3","0.55","25"%,
"City & Society","CITY SOC","WILEY","0893-0465","1548-744X","ANTHROPOLOGY","ESCI","509","0.5","Q3","0.45","48.78"%,
"ANTHROPOLOGISCHER ANZEIGER","ANTHROPOL ANZ","E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG","0003-5548","0003-5548","ANTHROPOLOGY","SSCI","398","0.5","Q3","0.4","0.74"%,
"HAU-Journal of Ethnographic Theory","HAU-J ETHNOGR THEORY","UNIV CHICAGO PRESS","2575-1433","2049-1115","ANTHROPOLOGY","SSCI","1,331","0.5","Q3","0.35","0"%,
"Anthropological Notebooks","ANTHROPOL NOTEB","SLOVENE ANTHROPOLOGICAL SOC","1408-032X","N/A","ANTHROPOLOGY","SSCI","148","0.5","Q3","0.27","0"%,
"Slovensky Narodopis-Slovak Ethnology","SLOVENSKY NARODOP","SLOVAK ACAD SCIENCES, INST ETHNOLOGY","1335-1303","1339-9357","ANTHROPOLOGY","ESCI","97","0.5","Q3","0.26","86.15"%,
"History and Anthropology","HIST ANTHROPOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0275-7206","1477-2612","ANTHROPOLOGY","SSCI","725","0.4","Q4","1.09","37.5"%,
"Romani Studies","ROMANI STUD","LIVERPOOL UNIV PRESS","1528-0748","1757-2274","ANTHROPOLOGY","SSCI","95","0.4","Q4","0.74","56.25"%,
"ETHNOHISTORY","ETHNOHISTORY","DUKE UNIV PRESS","0014-1801","1527-5477","ANTHROPOLOGY","SSCI","563","0.4","Q4","0.68","0"%,
"Inter-Asia Cultural Studies","INTER-ASIA CULT STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1464-9373","1469-8447","ANTHROPOLOGY","SSCI","602","0.4","Q4","0.56","7.47"%,
"Anthropology Southern Africa","ANTHROPOL SOUTH AFR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2332-3256","2332-3264","ANTHROPOLOGY","SSCI","217","0.4","Q4","0.45","17.31"%,
"Visual Anthropology Review","VIS ANTHR REV","WILEY","1058-7187","1548-7458","ANTHROPOLOGY","ESCI","221","0.4","Q4","0.4","36.07"%,
"Relaciones","RELACIONES-ARG","SOC ARGENTINA ANTROPOLOGIA","0325-2221","1852-1479","ANTHROPOLOGY","ESCI","505","0.4","Q4","0.27","77.46"%,
"Chungara-Revista de Antropologia Chilena","CHUNGARA","UNIV TARAPACA","0717-7356","0717-7356","ANTHROPOLOGY","SSCI","686","0.4","Q4","0.23","85.58"%,
"Estudios de Cultura Maya","ESTUD CULT MAYA","UNIV NAC AUTONOMA MEXICO, INST INVESTIGACIONES FILOLOGICAS","0185-2574","2448-5179","ANTHROPOLOGY","ESCI","196","0.4","Q4","0.15","100"%,
"Reviews in Anthropology","REV ANTHR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0093-8157","1556-3014","ANTHROPOLOGY","ESCI","117","0.4","Q4","0.07","9.09"%,
"Cuadernos de Antropologia","CUAD ANTROPOL","UNIV COSTA RICA, FAC CIENCIAS SOCIALES","1409-3138","2215-356X","ANTHROPOLOGY","ESCI","34","0.4","Q4","0.06","100"%,
"Interdisciplinaria Archaeologica-Natural Sciences in Archaeology","INTERDISCIP ARCHAEOL","UNIV HRADEC KRALOVE","1804-848X","2336-1220","ANTHROPOLOGY","ESCI","35","0.3","Q4","0.46","95.35"%,
"ZEITSCHRIFT FUR ETHNOLOGIE - Journal of Social and Cultural Anthropology","Z ETHNOL","DIETRICH REIMER VERLAG","0044-2666","N/A","ANTHROPOLOGY","SSCI","164","0.3","Q4","0.24","0"%,
"Visual Anthropology","VIS ANTHROPOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0894-9468","1545-5920","ANTHROPOLOGY","ESCI","222","0.3","Q4","0.21","27.78"%,
"Archaeology Ethnology and Anthropology of Eurasia","ARCHAEOL ETHNOL ANTH","PLEIADES PUBLISHING INC","1563-0110","1531-832X","ANTHROPOLOGY","ESCI","353","0.3","Q4","0.2","18.13"%,
"Revista Espanola de Antropologia Americana","REV ESP ANTROPOL AM","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","0556-6533","1988-2718","ANTHROPOLOGY","ESCI","160","0.3","Q4","0.17","98.28"%,
"AIBR-Revista de Antropologia Iberoamericana","AIBR-REV ANTROPOL IB","ASOC ANTROPOLOGOS IBEROAMERICANOS EN RED","1695-9752","1578-9705","ANTHROPOLOGY","SSCI","209","0.3","Q4","0.14","77.78"%,
"Etnoloska Tribina","ETHNOLOSKA TRIB","CROATIAN ETHNOLOGICAL SOC","0351-1944","1848-9540","ANTHROPOLOGY","ESCI","40","0.3","Q4","0.13","71.79"%,
"Urbanities-Journal of Urban Ethnography","URBANITIES","IUAES, COMMISSION URBAN ANTHROPOLOGY","2239-5725","2239-5725","ANTHROPOLOGY","ESCI","57","0.2","Q4","0.21","0"%,
"Antropologia Portuguesa","ANTROPOL PORT","COIMBRA UNIV PRESS","0870-0990","2182-7982","ANTHROPOLOGY","ESCI","32","0.2","Q4","0.17","96.67"%,
"ANTHROPOLOGIE-INTERNATIONAL JOURNAL OF HUMAN DIVERSITY AND EVOLUTION","ANTHROPOL-INT J HUM","MORAVIAN MUSEUM","0323-1119","0323-1119","ANTHROPOLOGY","ESCI","125","0.2","Q4","0.15","0"%,
"Etnoantropoloski Problemi-Issues in Ethnology and Anthropology","ETNOANTROPOLOSKI PRO","UNIV BELGRADE, FAC PHILOSOPHY","0353-1589","2334-8801","ANTHROPOLOGY","ESCI","156","0.2","Q4","0.12","96.9"%,
"CAHIERS D ETUDES AFRICAINES","CAH ETUD AFR","EDITIONS ECOLE HAUTESETUDES & SCIENCES SOCIALES","0008-0055","1777-5353","ANTHROPOLOGY","ESCI","237","0.2","Q4","0.06","1.04"%,
"Revista de Antropologia Social","REV ANTROPOL SOC","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1131-558X","1988-2831","ANTHROPOLOGY","ESCI","138","0.2","Q4","0.06","98.04"%,
"ANTHROPOS","ANTHROPOS","NOMOS VERLAGSGESELLSCHAFT MBH & CO KG","0257-9774","N/A","ANTHROPOLOGY","SSCI","474","0.1","Q4","0.08","0"%,
"Journal of Urban Ethnology","J URBAN ETHNOL","POLISH ACAD SCIENCES, INST ARCHAEOLOGY & ETHNOLOGY","1429-0618","1429-0618","ANTHROPOLOGY","ESCI","6","0.1","Q4","0.07","100"%,
"Ethnologies","ETHNOLOGIES","FOLKLORE STUDIES ASSOC CANADA","1481-5974","1708-0401","ANTHROPOLOGY","ESCI","77","0.1","Q4","0.05","0"%,
"Anthropologie et Sante-Revue Internationale Francophone d Anthropologie de la Sante","ANTHROPOL SANTE","ASSOC AMADES","2111-5028","2111-5028","ANTHROPOLOGY","ESCI","46","0.1","Q4","0.04","100"%,
"Tomskii Zhurnal Lingvisticheskikh i Antropologicheskikh Issledovanii-Tomsk Journal of Linguistics and Anthropology","TOMSK ZH LINGVIST AN","TOMSK STATE PEDAGOGICAL UNIV","2307-6119","2307-6119","ANTHROPOLOGY","ESCI","62","0.1","Q4","0.04","16.45"%,
"Visual Ethnography","VIS ETHNOGR","UNIV BASILICATA","2281-1605","2281-1605","ANTHROPOLOGY","ESCI","33","0.1","Q4","0.04","0"%,
"Gazeta de Antropologia","GAZ ANTROPOL","ASOC GRANADINA ANTROPOLOGIA","2340-2792","2340-2792","ANTHROPOLOGY","ESCI","136","0.1","Q4","0.01","0"%,
"Journal de la Societe des Americanistes","J SOC AMERICANISTES","UNIV PARIS X PARIS-NANTERRE, ARCHEOLOGIE & ETHNOLOGIE","0037-9174","1957-7842","ANTHROPOLOGY","ESCI","193","0.1","Q4","0.01","35.29"%,
