"Journal Data Filtered By:  Selected Categories: DEMOGRAPHY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Refugee Survey Quarterly","REFUG SURV Q","OXFORD UNIV PRESS","1020-4067","1471-695X","DEMOGRAPHY","ESCI","906","2.2","Q2","0.83","49.32"%,
"INTERNATIONAL MIGRATION","INT MIGR","WILEY","0020-7985","1468-2435","DEMOGRAPHY","SSCI","3,384","2.1","Q2","0.81","49.27"%,
"EUROPEAN JOURNAL OF MIGRATION AND LAW","EUR J MIGR LAW","BRILL","1388-364X","1571-8166","DEMOGRAPHY","SSCI","499","2","Q2","1.36","32.26"%,
"Demographic Research","DEMOGR RES","MAX PLANCK INST DEMOGRAPHIC RESEARCH","1435-9871","2363-7064","DEMOGRAPHY","SSCI","3,909","2","Q2","1.05","100"%,
"Journal of the Economics of Ageing","J ECON AGEING","ELSEVIER","2212-828X","2212-8298","DEMOGRAPHY","SSCI","707","2","Q2","0.74","36.73"%,
"Journal of Refugee Studies","J REFUG STUD","OXFORD UNIV PRESS","0951-6328","1471-6925","DEMOGRAPHY","SSCI","3,138","1.9","Q2","1.11","47.8"%,
"Journal of International Migration and Integration","J INT MIGR INTEGR","SPRINGER HEIDELBERG","1488-3473","1874-6365","DEMOGRAPHY","ESCI","1,919","1.8","Q2","0.76","46.59"%,
"GENUS","GENUS","SPRINGERNATURE","N/A","2035-5556","DEMOGRAPHY","ESCI","722","1.7","Q2","1.07","100"%,
"Comparative Population Studies","COMP POPUL STUD","BUNDESINSTITUT BEVOELKERUNGSFORSCHUNG","1869-8980","1869-8999","DEMOGRAPHY","ESCI","359","1.6","Q2","0.82","100"%,
"Asian Population Studies","ASIAN POPUL STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1744-1730","1744-1749","DEMOGRAPHY","SSCI","541","1.6","Q2","0.79","20"%,
"POPULATION RESEARCH AND POLICY REVIEW","POPUL RES POLICY REV","SPRINGER","0167-5923","1573-7829","DEMOGRAPHY","SSCI","2,078","1.5","Q2","1.03","34.51"%,
"Journal of Immigrant & Refugee Studies","J IMMIGR REFUG STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1556-2948","1556-2956","DEMOGRAPHY","SSCI","1,113","1.5","Q2","0.71","28.92"%,
"POPULATION","POPULATION-PARIS","INST NATL D ETUDES DEMOGRAPHIQUES","0032-4663","1957-7966","DEMOGRAPHY","SSCI","728","1.5","Q2","0.4","26.32"%,
"Frontiers in Human Dynamics","FRONT HUM DYNAM","FRONTIERS MEDIA SA","N/A","2673-2726","DEMOGRAPHY","ESCI","409","1.3","Q3","0.68","100"%,
"Mathematical Population Studies","MATH POPUL STUD","TAYLOR & FRANCIS INC","0889-8480","1547-724X","DEMOGRAPHY","SSCI","263","1.3","Q3","0.56","3.57"%,
"JOURNAL OF POPULATION RESEARCH","J POPUL RES","SPRINGER","1443-2447","1835-9469","DEMOGRAPHY","ESCI","469","1.2","Q3","0.75","50"%,
"JOURNAL OF BIOSOCIAL SCIENCE","J BIOSOC SCI","CAMBRIDGE UNIV PRESS","0021-9320","1469-7599","DEMOGRAPHY","SSCI","1,801","1.2","Q3","0.61","43.54"%,
"Central and Eastern European Migration Review","CENT E EUR MIGR REV","CENTRE MIGRATION RESEARCH, UNIV WARSAW, POLISH ACADE SCIENCES","N/A","2300-1682","DEMOGRAPHY","ESCI","262","1.2","Q3","0.55","100"%,
"Spatial Demography","SPAT DEMOGR","SPRINGER INT PUBL AG","2364-2289","2164-7070","DEMOGRAPHY","ESCI","259","1.1","Q3","0.61","31.03"%,
"Asian and Pacific Migration Journal","ASIAN PAC MIGR J","SAGE PUBLICATIONS LTD","0117-1968","2057-049X","DEMOGRAPHY","SSCI","511","1.1","Q3","0.51","15.48"%,
"China Population and Development Studies","CHINA POPUL DEV STUD","SPRINGERNATURE","2096-448X","2523-8965","DEMOGRAPHY","ESCI","217","1.1","Q3","0.44","60.32"%,
"Canadian Studies in Population","CAN STUD POPUL","SPRINGER","0380-1489","1927-629X","DEMOGRAPHY","SSCI","208","1","Q3","0.54","21.74"%,
"Biodemography and Social Biology","BIODEMOGR SOC BIOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1948-5565","1948-5573","DEMOGRAPHY","SSCI","324","1","Q3","0.48","4.55"%,
"Nordic Journal of Migration Research","NORD J MIGR RES","HELSINKI UNIV PRESS","1799-649X","1799-649X","DEMOGRAPHY","ESCI","485","1","Q3","0.46","100"%,
"Refuge","REFUGE","YORK UNIV, CENTER REFUGEE STUDIES","0229-5113","1920-7336","DEMOGRAPHY","ESCI","662","1","Q3","0.39","98.31"%,
"Journal of Demographic Economics","J DEMOGR ECON","CAMBRIDGE UNIV PRESS","2054-0892","2054-0906","DEMOGRAPHY","SSCI","278","0.7","Q4","0.46","29.85"%,
"Migraciones","MIGRACIONES","UNIV PONTIFICIA COMILLAS MADRID, FAC FILOSOFIA","1138-5774","2341-0833","DEMOGRAPHY","ESCI","197","0.7","Q4","0.32","98.68"%,
"Demografie","DEMOGRAFIE","CESKY STATISTICAL OFFICE","0011-8265","1805-2991","DEMOGRAPHY","ESCI","72","0.6","Q4","0.25","2.38"%,
"Diaspora Studies","DIASPORA STUD","BRILL","0973-9572","0976-3457","DEMOGRAPHY","ESCI","111","0.5","Q4","0.23","10.2"%,
"Population Review","POPUL REV","SOCIOLOGICAL DEMOGRAPHY PRESS","1549-0955","1549-0955","DEMOGRAPHY","ESCI","122","0.4","Q4","0.19","0"%,
"Immigrants and Minorities","IMMIGR MINOR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0261-9288","1744-0521","DEMOGRAPHY","ESCI","220","0.3","Q4","1.06","50"%,
"Estudios Demograficos y Urbanos","ESTUD DEMOGR URBANOS","COLEGIO MEXICO, A C, DEPT PUBLICACIONES","0186-7210","2448-6515","DEMOGRAPHY","ESCI","199","0.3","Q4","0.12","98.55"%,
"Poblacion y Salud en Mesoamerica","POBLAC SALUD MESOAM","UNIV COSTA RICA, CENTRO CENTROAMERICANO POBLACION","1659-0201","1659-0201","DEMOGRAPHY","ESCI","68","0.3","Q4","0.1","71.57"%,
"Papeles de Poblacion","PAPELES POBLAC","UNIV AUTONOMA ESTADO MEXICO","1405-7425","1405-7425","DEMOGRAPHY","SSCI","282","0.2","Q4","0.06","65.28"%,
"Novedades en Poblacion","NOVED POBLAC","UNIV HABANA","1817-4078","1817-4078","DEMOGRAPHY","ESCI","73","0.2","Q4","0.01","0"%,
"Revista Latinoamericana de Poblacion","REV LATINOAM POBLAC","ASOC LATINOAMERICANA POBLACION","N/A","2393-6401","DEMOGRAPHY","ESCI","88","0.1","Q4","0.09","86.96"%,
"Revista Internacional de Estudios Migratorios","REV INT ESTUD MIGR","UNIV ALMERIA","2173-1950","2173-1950","DEMOGRAPHY","ESCI","23","0.1","Q4","0.05","88.24"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
