"Journal Data Filtered By:  Selected Categories: WOMENS STUDIES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"LGBTQ Family-An Interdisciplinary Journal","LGBTQ FAM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2770-3371","2770-338X","WOMENS STUDIES","SSCI","145","1.9","Q1","1.13","19.42"%,
"SIGNS","SIGNS","UNIV CHICAGO PRESS","0097-9740","1545-6943","WOMENS STUDIES","SSCI","5,527","1.9","Q1","1.07","0.96"%,
"FEMINISM & PSYCHOLOGY","FEM PSYCHOL","SAGE PUBLICATIONS LTD","0959-3535","1461-7161","WOMENS STUDIES","SSCI","1,750","1.9","Q1","1.05","40.86"%,
"JOURNAL OF WOMENS HEALTH","J WOMENS HEALTH","MARY ANN LIEBERT, INC","1540-9996","1931-843X","WOMENS STUDIES","SSCI","8,216","1.9","Q1","0.99","4.19"%,
"International Feminist Journal of Politics","INT FEM J POLIT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1461-6742","1468-4470","WOMENS STUDIES","SSCI","1,459","1.9","Q1","0.96","40.22"%,
"Affilia-Feminist Inquiry in Social Work","AFFILIA","SAGE PUBLICATIONS INC","0886-1099","1552-3020","WOMENS STUDIES","SSCI","1,276","1.8","Q2","1.25","25.89"%,
"EUROPEAN JOURNAL OF WOMENS STUDIES","EUR J WOMENS STUD","SAGE PUBLICATIONS LTD","1350-5068","1461-7420","WOMENS STUDIES","SSCI","1,261","1.8","Q2","0.92","31.11"%,
"SOCIAL POLITICS","SOC POLIT","OXFORD UNIV PRESS","1072-4745","1468-2893","WOMENS STUDIES","SSCI","1,570","1.8","Q2","0.88","35"%,
"VIOLENCE AGAINST WOMEN","VIOLENCE AGAINST WOM","SAGE PUBLICATIONS INC","1077-8012","1552-8448","WOMENS STUDIES","SSCI","6,487","1.7","Q2","1.05","28.86"%,
"Feminist Media Studies","FEM MEDIA STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1468-0777","1471-5902","WOMENS STUDIES","SSCI","3,405","1.7","Q2","0.87","23.6"%,
"FEMINIST REVIEW","FEMINIST REV","SAGE PUBLICATIONS LTD","0141-7789","1466-4380","WOMENS STUDIES","SSCI","1,479","1.7","Q2","0.83","36.21"%,
"Hypatia-A Journal of Feminist Philosophy","HYPATIA","CAMBRIDGE UNIV PRESS","0887-5367","1527-2001","WOMENS STUDIES","SSCI","3,533","1.6","Q2","1.5","52.73"%,
"Women","WOMEN-BASEL","MDPI","N/A","2673-4184","WOMENS STUDIES","ESCI","153","1.6","Q2","0.59","100"%,
"Feminist Legal Studies","FEM LEGAL STUD","SPRINGER","0966-3622","1572-8455","WOMENS STUDIES","SSCI","535","1.5","Q2","1.96","63.04"%,
"Journal of Women Politics & Policy","J WOMEN POLIT POLICY","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1554-477X","1554-4788","WOMENS STUDIES","SSCI","693","1.5","Q2","0.85","12.36"%,
"Women in Sport and Physical Activity Journal","WOMEN SPORT PHYS ACT","HUMAN KINETICS PUBL INC","1063-6161","1938-1581","WOMENS STUDIES","ESCI","489","1.5","Q2","0.85","2.63"%,
"AUSTRALIAN FEMINIST STUDIES","AUST FEMINIST STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0816-4649","1465-3303","WOMENS STUDIES","SSCI","747","1.5","Q2","0.84","64.62"%,
"JOURNAL OF GENDER STUDIES","J GENDER STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0958-9236","1465-3869","WOMENS STUDIES","SSCI","1,808","1.5","Q2","0.82","28.3"%,
"JOURNAL OF WOMEN & AGING","J WOMEN AGING","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0895-2841","1540-7322","WOMENS STUDIES","SSCI","941","1.5","Q2","0.69","11.54"%,
"Women & Criminal Justice","WOMEN CRIM JUSTICE","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0897-4454","1541-0323","WOMENS STUDIES","SSCI","757","1.5","Q2","0.64","11.39"%,
"Journal of Gender-Based Violence","J GEN-BASED VIOLENCE","BRISTOL UNIV PRESS & POLICY PRESS","2398-6808","2398-6816","WOMENS STUDIES","ESCI","357","1.4","Q2","0.93","19.05"%,
"WOMEN & THERAPY","WOMEN THER","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0270-3149","1541-0315","WOMENS STUDIES","SSCI","692","1.4","Q2","0.69","3.45"%,
"WOMEN & HEALTH","WOMEN HEALTH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0363-0242","1541-0331","WOMENS STUDIES","SSCI","2,261","1.4","Q2","0.56","4.68"%,
"Feminist Theory","FEM THEOR","SAGE PUBLICATIONS INC","1464-7001","1741-2773","WOMENS STUDIES","SSCI","1,445","1.3","Q3","0.94","47.22"%,
"NORA-Nordic Journal of Feminist and Gender Research","NORA","TAYLOR & FRANCIS LTD","0803-8740","1502-394X","WOMENS STUDIES","ESCI","495","1.3","Q3","0.61","77.11"%,
"Gender and Language","GENDER LANG","UNIV TORONTO PRESS INC","1747-6321","1747-633X","WOMENS STUDIES","SSCI","325","1.2","Q3","0.93","7.27"%,
"Feminist Media Histories","FEM MEDIA HIST","UNIV CALIFORNIA PRESS, JOURNALS DIV","N/A","2373-7492","WOMENS STUDIES","ESCI","225","1.1","Q3","0.6","0"%,
"Gender Place and Culture","GENDER PLACE CULT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0966-369X","1360-0524","WOMENS STUDIES","SSCI","3,231","1.1","Q3","0.59","31.8"%,
"RADICAL PHILOSOPHY","RADICAL PHILOS","RADICAL PHILOSOPHY","0300-211X","0030-211X","WOMENS STUDIES","SSCI","591","1","Q3","0.41","0"%,
"ASIAN JOURNAL OF WOMENS STUDIES","ASIAN J WOMEN STUD","TAYLOR & FRANCIS LTD","1225-9276","2377-004X","WOMENS STUDIES","SSCI","399","0.9","Q3","0.57","6.35"%,
"Sexes","SEXES","MDPI","N/A","2411-5118","WOMENS STUDIES","ESCI","146","0.9","Q3","0.5","100"%,
"Health Care for Women International","HEALTH CARE WOMEN IN","TAYLOR & FRANCIS INC","0739-9332","1096-4665","WOMENS STUDIES","SSCI","2,264","0.9","Q3","0.47","8.5"%,
"Feminist Africa","FEM AFR","AFRICAN GENDER INST","1726-4596","1726-4596","WOMENS STUDIES","ESCI","180","0.9","Q3","0.43","0"%,
"Intersections-Gender and Sexuality in Asia and the Pacific","INTERSECTIONS-GENDER","AUSTRALIAN NAT UNIV","1440-9151","1440-9151","WOMENS STUDIES","ESCI","99","0.8","Q3","0.23","0"%,
"Meridians-Feminism Race Transnationalism","MERIDIANS","DUKE UNIV PRESS","1536-6936","1547-8424","WOMENS STUDIES","ESCI","481","0.7","Q3","0.28","0"%,
"Palimpsest-A Journal on Women Gender and the Black International","PALIMPSEST","SUNY-STATE UNIV NEW YORK PRESS","2165-1604","2165-1612","WOMENS STUDIES","ESCI","87","0.7","Q3","0.18","0"%,
"Journal of Middle East Womens Studies","J MIDDLE E WOMENS ST","DUKE UNIV PRESS","1552-5864","1558-9579","WOMENS STUDIES","SSCI","308","0.5","Q3","0.25","0"%,
"Journal of Feminist Scholarship","J FEM SCHOLARSH","UNIV MASSACHUSETTS DARTMOUTH","2158-6179","2158-6179","WOMENS STUDIES","ESCI","67","0.5","Q3","0.17","63.33"%,
"Travail Genre et Societes","TRAV GENRE SOC","EDITIONS LA DECOUVERTE","1294-6303","1294-6303","WOMENS STUDIES","SSCI","126","0.5","Q3","0.07","2.22"%,
"Gender and History","GEND HIST","WILEY","0953-5233","1468-0424","WOMENS STUDIES","SSCI","726","0.4","Q4","0.82","49.18"%,
"Agenda-Empowering Women for Gender Equity","AGENDA-EMPOWER WOMEN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1013-0950","2158-978X","WOMENS STUDIES","ESCI","626","0.4","Q4","0.29","21.11"%,
"Women and Music-A Journal of Gender and Culture","WOMEN MUSIC","UNIV NEBRASKA PRESS","1090-7505","1553-0612","WOMENS STUDIES","ESCI","56","0.4","Q4","0.24","0"%,
"FEMINIST STUDIES","FEMINIST STUD","FEMINIST STUD INC","0046-3663","2153-3873","WOMENS STUDIES","SSCI","2,304","0.4","Q4","0.17","0"%,
"JOURNAL OF WOMENS HISTORY","J WOMENS HIST","JOHNS HOPKINS UNIV PRESS","1042-7961","1527-2036","WOMENS STUDIES","SSCI","615","0.3","Q4","0.77","0"%,
"Differences-A Journal of Feminist Cultural Studies","DIFFERENCES","DUKE UNIV PRESS","1040-7391","1527-1986","WOMENS STUDIES","SSCI","717","0.3","Q4","0.27","0"%,
"Atlantis-Critical Studies in Gender Culture & Social Justice","ATLANTIS-CRIT STUD G","MOUNT SAINT VINCENT UNIV, INST STUDY WOMEN","0702-7818","1715-0698","WOMENS STUDIES","ESCI","171","0.3","Q4","0.26","5.41"%,
"Asian Women","ASIAN WOMEN","SOOKMYUNG WOMENS UNIV","1225-925X","2586-5714","WOMENS STUDIES","SSCI","186","0.3","Q4","0.23","1.67"%,
"Indian Journal of Gender Studies","INDIAN J GEND STUD","SAGE PUBLICATIONS INDIA PVT LTD","0971-5215","0973-0672","WOMENS STUDIES","SSCI","335","0.3","Q4","0.23","8.16"%,
"International Journal of Feminist Approaches To Bioethics","INT J FEM APPROACHES","UNIV TORONTO PRESS INC","1937-4585","1937-4577","WOMENS STUDIES","SSCI","235","0.3","Q4","0.2","0"%,
"Feminismo-s","FEMINISMO-S","UNIV ALICANTE, INST UNIV INVESTIGACION ESTUDIOS GENERO","N/A","1989-9998","WOMENS STUDIES","ESCI","140","0.2","Q4","0.19","85.06"%,
"Investigaciones Feministas","INVESTIG FEM","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","2171-6080","2171-6080","WOMENS STUDIES","ESCI","232","0.2","Q4","0.13","99.04"%,
"Genre Sexualite & Societe","GENRE SEX SOC","ECOLE HAUTES ETUDES & SCIENCES SOC-EHESS, COLL FRANCE","2104-3736","2104-3736","WOMENS STUDIES","ESCI","37","0.1","Q4","0.07","78.57"%,
"Storia delle Donne","STOR DONNE","FIRENZE UNIV PRESS","1826-7513","1826-7505","WOMENS STUDIES","ESCI","12","0.1","Q4","0.03","39.29"%,
"Feministische Studien","FEMINISTISCHE STUD","WALTER DE GRUYTER GMBH","0723-5186","2365-9920","WOMENS STUDIES","SSCI","58","<0.1","Q4","0.17","6.25"%,
"Feminist German Studies","FEM GER STUD","UNIV NEBRASKA PRESS","2578-5206","2578-5192","WOMENS STUDIES","ESCI","9","<0.1","Q4","0.08","0"%,
"Revista Artemis","REV ARTEMIS","UNIV FEDERAL PARAIBA","2316-5251","1807-8214","WOMENS STUDIES","ESCI","30","<0.1","Q4","0.01","8.05"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
