"Journal Data Filtered By:  Selected Categories: PUBLIC ADMINISTRATION Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"JOURNAL OF SOCIAL POLICY","J SOC POLICY","CAMBRIDGE UNIV PRESS","0047-2794","1469-7823","PUBLIC ADMINISTRATION","SSCI","2,536","2.6","Q2","1.05","72.16"%,
"JOURNAL OF POLICY ANALYSIS AND MANAGEMENT","J POLICY ANAL MANAG","WILEY","N/A","1520-6688","PUBLIC ADMINISTRATION","SSCI","3,075","2.6","Q2","0.98","27.45"%,
"AMERICAN REVIEW OF PUBLIC ADMINISTRATION","AM REV PUBLIC ADM","SAGE PUBLICATIONS INC","0275-0740","1552-3357","PUBLIC ADMINISTRATION","SSCI","2,999","2.5","Q2","1.01","12.75"%,
"Journal of Public Budgeting Accounting & Financial Management","J PUBLIC BUDGET ACC","EMERALD GROUP PUBLISHING LTD","1096-3367","1945-1814","PUBLIC ADMINISTRATION","ESCI","935","2.5","Q2","0.96","27.5"%,
"International Journal of Public Sector Management","INT J PUBLIC SECT MA","EMERALD GROUP PUBLISHING LTD","0951-3558","1758-6666","PUBLIC ADMINISTRATION","ESCI","1,775","2.5","Q2","0.77","20"%,
"Critical Policy Studies","CRIT POLICY STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1946-0171","1946-018X","PUBLIC ADMINISTRATION","SSCI","1,138","2.4","Q2","0.95","40.59"%,
"Policy Studies","POLICY STUD-UK","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0144-2872","1470-1006","PUBLIC ADMINISTRATION","SSCI","1,317","2.3","Q2","1.07","33.11"%,
"ADMINISTRATION & SOCIETY","ADMIN SOC","SAGE PUBLICATIONS INC","0095-3997","1552-3039","PUBLIC ADMINISTRATION","SSCI","2,779","2.3","Q2","1.03","25.33"%,
"Journal of Public Procurement","J PUBLIC PROCUR","EMERALD GROUP PUBLISHING LTD","1535-0118","2150-6930","PUBLIC ADMINISTRATION","ESCI","519","2.3","Q2","0.87","18.18"%,
"Science and Public Policy","SCI PUBL POLICY","OXFORD UNIV PRESS","0302-3427","1471-5430","PUBLIC ADMINISTRATION","SSCI","3,140","2.3","Q2","0.74","39.26"%,
"SOCIAL POLICY & ADMINISTRATION","SOC POLICY ADMIN","WILEY","0144-5596","1467-9515","PUBLIC ADMINISTRATION","SSCI","2,616","2.2","Q2","1.09","66.12"%,
"Global Public Policy and Governance","GLOB PUBLIC POLICY G","SPRINGERNATURE","2730-6291","2730-6305","PUBLIC ADMINISTRATION","ESCI","185","2.2","Q2","0.98","23.33"%,
"JOURNAL OF ACCOUNTING AND PUBLIC POLICY","J ACCOUNT PUBLIC POL","ELSEVIER SCIENCE INC","0278-4254","1873-2070","PUBLIC ADMINISTRATION","SSCI","3,943","2.2","Q2","0.9","13.79"%,
"Environment and Planning C-Politics and Space","ENVIRON PLAN C-POLIT","SAGE PUBLICATIONS LTD","2399-6544","2399-6552","PUBLIC ADMINISTRATION","SSCI","3,544","2.2","Q2","0.62","43.01"%,
"Journal of Public Policy","J PUBLIC POLICY","CAMBRIDGE UNIV PRESS","0143-814X","1469-7815","PUBLIC ADMINISTRATION","SSCI","1,542","2.1","Q2","0.91","71.68"%,
"AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION","AUST J PUBL ADMIN","WILEY","0313-6647","1467-8500","PUBLIC ADMINISTRATION","SSCI","1,425","2.1","Q2","0.87","65.12"%,
"PUBLIC ADMINISTRATION AND DEVELOPMENT","PUBLIC ADMIN DEVELOP","WILEY","0271-2075","1099-162X","PUBLIC ADMINISTRATION","SSCI","1,309","2.1","Q2","0.77","36.47"%,
"INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION","INT J PUBLIC ADMIN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0190-0692","1532-4265","PUBLIC ADMINISTRATION","ESCI","3,004","2.1","Q2","0.75","9.62"%,
"PUBLIC MONEY & MANAGEMENT","PUBLIC MONEY MANAGE","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0954-0962","1467-9302","PUBLIC ADMINISTRATION","SSCI","2,399","2.1","Q2","0.75","30.04"%,
"Asia Pacific Journal of Public Administration","ASIA PAC J PUBLIC AM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2327-6665","2327-6673","PUBLIC ADMINISTRATION","ESCI","340","2.1","Q2","0.66","5.36"%,
"JOURNAL OF PUBLIC AFFAIRS EDUCATION","J PUBLIC AFF EDUC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1523-6803","2328-9643","PUBLIC ADMINISTRATION","ESCI","626","2","Q3","1.13","12.16"%,
"Risk Hazards & Crisis in Public Policy","RISK HAZARDS CRISIS","WILEY","1944-4079","1944-4079","PUBLIC ADMINISTRATION","ESCI","560","2","Q3","0.75","53.97"%,
"Nonprofit Management & Leadership","NONPROFIT MANAG LEAD","WILEY PERIODICALS, INC","1048-6682","1542-7854","PUBLIC ADMINISTRATION","SSCI","1,506","1.9","Q3","0.73","25.42"%,
"LOCAL GOVERNMENT STUDIES","LOCAL GOV STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0300-3930","1743-9388","PUBLIC ADMINISTRATION","SSCI","1,861","1.9","Q3","0.71","26.25"%,
"CONTEMPORARY ECONOMIC POLICY","CONTEMP ECON POLICY","WILEY","1074-3529","1465-7287","PUBLIC ADMINISTRATION","SSCI","1,192","1.9","Q3","0.56","22.64"%,
"Journal of Public Affairs","J PUBLIC AFF","WILEY","1472-3891","1479-1854","PUBLIC ADMINISTRATION","ESCI","2,854","1.8","Q3","0.83","15.83"%,
"European Journal of Social Security","EUR J SOC SECUR","SAGE PUBLICATIONS LTD","1388-2627","2399-2948","PUBLIC ADMINISTRATION","ESCI","299","1.7","Q3","0.68","38.36"%,
"Public Organization Review","PUBLIC ORGAN REV","SPRINGERNATURE","1566-7170","1573-7098","PUBLIC ADMINISTRATION","ESCI","910","1.7","Q3","0.61","19"%,
"International Journal of Public Leadership","INT J PUBLIC LEADERS","EMERALD GROUP PUBLISHING LTD","2056-4929","2042-8642","PUBLIC ADMINISTRATION","ESCI","280","1.5","Q3","0.57","9.09"%,
"Journal of Comparative Policy Analysis","J COMP POLICY ANAL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1387-6988","1572-5448","PUBLIC ADMINISTRATION","SSCI","1,240","1.4","Q3","1.26","22.78"%,
"Human Service Organizations Management Leadership & Governance","HUM SERV ORG MANAGE","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2330-3131","2330-314X","PUBLIC ADMINISTRATION","SSCI","691","1.4","Q3","0.78","13.68"%,
"CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES","CAN PUBLIC POL","UNIV TORONTO PRESS INC","0317-0861","1911-9917","PUBLIC ADMINISTRATION","SSCI","1,008","1.4","Q3","0.54","3.19"%,
"CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA","CAN PUBLIC ADMIN","WILEY","0008-4840","1754-7121","PUBLIC ADMINISTRATION","SSCI","609","1.4","Q3","0.46","54.46"%,
"Nonprofit Policy Forum","NONPROFIT POLICY FOR","WALTER DE GRUYTER GMBH","2194-6035","2154-3348","PUBLIC ADMINISTRATION","ESCI","249","1.2","Q3","0.65","100"%,
"Central European Public Administration Review","CENT EUR PUBLIC ADM","UNIV LJUBLJANA, FAC PUBLIC ADM","2591-2240","2591-2259","PUBLIC ADMINISTRATION","ESCI","88","1.2","Q3","0.54","75"%,
"Public Integrity","PUBLIC INTEGR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1099-9922","1558-0989","PUBLIC ADMINISTRATION","ESCI","686","1.1","Q3","0.5","11.49"%,
"NISPAcee Journal of Public Administration and Policy","NISPACEE J PUBLIC AD","SCIENDO","1337-9038","1338-4309","PUBLIC ADMINISTRATION","ESCI","195","1","Q3","0.43","100"%,
"Public Works Management & Policy","PUBLIC WORKS MANAG P","SAGE PUBLICATIONS INC","1087-724X","1552-7549","PUBLIC ADMINISTRATION","ESCI","406","1","Q3","0.38","15"%,
"Journal of Homeland Security and Emergency Management","J HOMEL SECUR EMERG","WALTER DE GRUYTER GMBH","2194-6361","1547-7355","PUBLIC ADMINISTRATION","SSCI","729","1","Q3","0.37","12.77"%,
"Public Budgeting and Finance","PUBLIC BUDG FINANC","WILEY","0275-1100","1540-5850","PUBLIC ADMINISTRATION","ESCI","554","1","Q3","0.33","35.71"%,
"Chinese Public Administration Review","CHIN PUB ADM REV-US","SAGE PUBLICATIONS INC","1539-6754","2573-1483","PUBLIC ADMINISTRATION","ESCI","105","1","Q3","0.25","96.72"%,
"International Social Security Review","INT SOC SECUR REV","WILEY","0020-871X","1468-246X","PUBLIC ADMINISTRATION","ESCI","408","0.9","Q4","0.4","23.64"%,
"Journal of Public and Nonprofit Affairs","J PUBLIC NONPROFIT A","MIDWEST PUBLIC AFFAIRS CONFERENCE","2381-3717","2381-3717","PUBLIC ADMINISTRATION","ESCI","143","0.8","Q4","0.44","74.55"%,
"Public Administration and Policy-An Asia-Pacific Journal","PUBLIC ADMIN POLICY","EMERALD GROUP PUBLISHING LTD","1727-2645","2517-679X","PUBLIC ADMINISTRATION","ESCI","178","0.8","Q4","0.41","100"%,
"Transylvanian Review of Administrative Sciences","TRANSYLV REV ADM SCI","BABES-BOLYAI UNIV","1842-2845","2247-8310","PUBLIC ADMINISTRATION","SSCI","314","0.8","Q4","0.37","100"%,
"Revista de Administracao Publica","REV ADM PUBL-RIO JAN","FUNDACAO GETULIO VARGAS, EDITORA","0034-7612","1982-3134","PUBLIC ADMINISTRATION","ESCI","605","0.8","Q4","0.32","98.33"%,
"Commonwealth Journal of Local Governance","COMMONW J LOCAL GOV","UNIV TECHNOLOGY, SYDNEY-UTS EPRESS","1836-0394","1836-0394","PUBLIC ADMINISTRATION","ESCI","116","0.8","Q4","0.24","100"%,
"Electronic Government- an International Journal","ELECTRON GOV-INT J","INDERSCIENCE ENTERPRISES LTD","1740-7494","1740-7508","PUBLIC ADMINISTRATION","ESCI","69","0.7","Q4","0.24","2.08"%,
"Gestion y Politica Publica","GEST POLIT PUBLICA","CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS","1405-1079","N/A","PUBLIC ADMINISTRATION","SSCI","135","0.6","Q4","0.14","5.88"%,
"Voprosy Gosudarstvennogo i Munitsipalnogo Upravleniya-Public Administration Issues","VOPR GOS MUNITSIPALN","NATL RES UNIV HIGHER SCH ECONOMICS","1999-5431","1999-5431","PUBLIC ADMINISTRATION","ESCI","122","0.5","Q4","0.17","98.36"%,
"Canadian Journal of Nonprofit and Social Economy Research","CAN J NONPROFIT SOC","ASSOC NONPROFIT & SOCIAL ECONOMY RESEARCH-ANSER","1920-9355","1920-9355","PUBLIC ADMINISTRATION","ESCI","114","0.5","Q4","0.16","95.59"%,
"Revista Iberoamericana de Estudios Municipales","REV IBEROAM ESTUD MU","UNIV AUTONOMA CHILE, INST CHILENO ESTUDIOS MUNICIPALES","0718-8838","0719-1790","PUBLIC ADMINISTRATION","ESCI","33","0.5","Q4","0.04","96.55"%,
"Lex Localis-Journal of Local Self-Government","LEX LOCALIS","UK Zhende Publishing Ltd","1581-5374","1855-363X","PUBLIC ADMINISTRATION","SSCI","268","0.4","Q4","0.24","17.09"%,
"Croatian and Comparative Public Administration","CROAT COMP PUBLIC AD","INST PUBLIC ADM","1848-0357","1849-2150","PUBLIC ADMINISTRATION","ESCI","96","0.4","Q4","0.15","95.89"%,
"Cadernos Gestao Publica e Cidadania","CAD GEST PUBLICA CID","FUNDACAO GETULIO VARGAS ESCOLA ADM EMPRESAS SAO PAULO","1806-2261","2236-5710","PUBLIC ADMINISTRATION","ESCI","71","0.4","Q4","0.13","95.33"%,
"Civil Szemle","CIV SZLE","UJ MANDATUM KONYVKIADO","1786-3341","1786-3341","PUBLIC ADMINISTRATION","SSCI","130","0.4","Q4","0.12","0"%,
"Revista de Gestion Publica","REV GEST PUBLICA","CENTRO ESTUDIOS GESTION & POLITICA PUBLICA","0719-1820","0719-1839","PUBLIC ADMINISTRATION","ESCI","36","0.4","Q4","0.02","81.82"%,
"Journal of Judicial Administration","J JUDIC ADM","LAWBOOK CO LTD","1036-7918","1036-7918","PUBLIC ADMINISTRATION","ESCI","55","0.3","Q4","0.14","0"%,
"Revista do Servico Publico","REV SERV PUBLICO","ESCOLA NACL ADM PUBLICA-ENAP","0034-9240","2357-8017","PUBLIC ADMINISTRATION","ESCI","154","0.3","Q4","0.11","71.9"%,
"Administration","ADMINSTRATION","SCIENDO","0001-8325","2449-9471","PUBLIC ADMINISTRATION","ESCI","71","0.2","Q4","0.13","100"%,
"Opera-Colombia","OPERA-COLOMB","UNIV EXTERNADO COLOMBIA, DEPT PUBLICACIONES","1657-8651","2346-2159","PUBLIC ADMINISTRATION","ESCI","37","0.2","Q4","0.05","96.23"%,
"Amme Idaresi Dergisi","AMME IDARESI DERG","ANKARA HACI BAYRAM VELI UNIV","1300-1795","1300-1795","PUBLIC ADMINISTRATION","SSCI","65","0.1","Q4","0.06","0"%,
"Administracao Publica e Gestao Social","ADM PUBLICA GEST SOC","UNIV FEDERAL VICOSA","2175-5787","2175-5787","PUBLIC ADMINISTRATION","ESCI","62","0.1","Q4","0","13.27"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
