"Journal Data Filtered By:  Selected Categories: ECONOMICS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"SOCIO-ECONOMIC PLANNING SCIENCES","SOCIO-ECON PLAN SCI","ELSEVIER SCIENCE INC","0038-0121","1873-6041","ECONOMICS","SSCI","6,421","5.4","Q1","1.69","24.24"%,
"American Economic Journal-Economic Policy","AM ECON J-ECON POLIC","AMER ECONOMIC ASSOC","1945-7731","1945-774X","ECONOMICS","SSCI","5,588","5.3","Q1","1.75","1.04"%,
"Transport Policy","TRANSPORT POLICY","ELSEVIER SCI LTD","0967-070X","1879-310X","ECONOMICS","SSCI","13,783","5.3","Q1","1.71","27.57"%,
"Annual Review of Financial Economics","ANNU REV FINANC ECON","ANNUAL REVIEWS","1941-1367","1941-1375","ECONOMICS","SSCI","1,746","5.2","Q1","0.95","56.58"%,
"JOURNAL OF ECONOMIC SURVEYS","J ECON SURV","WILEY","0950-0804","1467-6419","ECONOMICS","SSCI","5,920","5","Q1","1.67","44.15"%,
"JOURNAL OF LABOR ECONOMICS","J LABOR ECON","UNIV CHICAGO PRESS","0734-306X","1537-5307","ECONOMICS","SSCI","6,076","5","Q1","1.51","3.28"%,
"JOURNAL OF URBAN ECONOMICS","J URBAN ECON","ACADEMIC PRESS INC ELSEVIER SCIENCE","0094-1190","1095-9068","ECONOMICS","SSCI","7,274","4.8","Q1","1.79","30.06"%,
"WORLD DEVELOPMENT","WORLD DEV","PERGAMON-ELSEVIER SCIENCE LTD","0305-750X","1873-5991","ECONOMICS","SSCI","31,381","4.8","Q1","1.74","44.37"%,
"SMALL BUSINESS ECONOMICS","SMALL BUS ECON","SPRINGER","0921-898X","1573-0913","ECONOMICS","SSCI","14,548","4.8","Q1","1.37","58.16"%,
"ECONOMIC MODELLING","ECON MODEL","ELSEVIER","0264-9993","1873-6122","ECONOMICS","SSCI","15,660","4.7","Q1","1.54","19.73"%,
"Cambridge Journal of Regions Economy and Society","CAMB J REG ECON SOC","OXFORD UNIV PRESS","1752-1378","1752-1386","ECONOMICS","SSCI","2,627","4.7","Q1","1.35","45.87"%,
"Journal of Behavioral and Experimental Finance","J BEHAV EXP FINANC","ELSEVIER","2214-6350","2214-6369","ECONOMICS","SSCI","3,296","4.7","Q1","1.22","33.62"%,
"NEW POLITICAL ECONOMY","NEW POLIT ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1356-3467","1469-9923","ECONOMICS","SSCI","3,257","4.6","Q1","1.72","56.49"%,
"China Agricultural Economic Review","CHINA AGR ECON REV","EMERALD GROUP PUBLISHING LTD","1756-137X","1756-1388","ECONOMICS","SSCI","1,905","4.6","Q1","1.67","3.08"%,
"Emerging Markets Review","EMERG MARK REV","ELSEVIER","1566-0141","1873-6173","ECONOMICS","SSCI","3,273","4.6","Q1","1.67","12.09"%,
"JOURNAL OF DEVELOPMENT ECONOMICS","J DEV ECON","ELSEVIER","0304-3878","1872-6089","ECONOMICS","SSCI","15,605","4.6","Q1","1.49","32.95"%,
"PHARMACOECONOMICS","PHARMACOECONOMICS","ADIS INT LTD","1170-7690","1179-2027","ECONOMICS","SSCI","7,336","4.6","Q1","1.32","63.92"%,
"Agricultural and Food Economics","AGR FOOD ECON","SPRINGERNATURE","N/A","2193-7532","ECONOMICS","SSCI","1,132","4.5","Q1","1.55","100"%,
"Journal of Commodity Markets","J COMMOD MARK","ELSEVIER","2405-8513","2405-8505","ECONOMICS","SSCI","943","4.5","Q1","1.35","29.03"%,
"Journal of Economics and Development","J ECON DEV-VIETNAM","EMERALD GROUP PUBLISHING LTD","1859-0020","2632-5330","ECONOMICS","ESCI","494","4.3","Q1","1.54","100"%,
"Economic Change and Restructuring","ECON CHANG RESTRUCT","SPRINGER","1573-9414","1574-0277","ECONOMICS","SSCI","1,870","4.3","Q1","1.48","9.64"%,
"ECONOMY AND SOCIETY","ECON SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0308-5147","1469-5766","ECONOMICS","SSCI","3,221","4.3","Q1","1.36","50.6"%,
"Journal of Financial Stability","J FINANC STABIL","ELSEVIER SCIENCE INC","1572-3089","1878-0962","ECONOMICS","SSCI","4,488","4.2","Q1","1.59","17.95"%,
"JOURNAL OF AGRICULTURAL ECONOMICS","J AGR ECON","WILEY","0021-857X","1477-9552","ECONOMICS","SSCI","2,985","4.2","Q1","1.29","57.89"%,
"REGIONAL STUDIES","REG STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0034-3404","1360-0591","ECONOMICS","SSCI","11,305","4.2","Q1","1.12","29.37"%,
"Industry and Innovation","IND INNOV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1366-2716","1469-8390","ECONOMICS","SSCI","2,568","4.2","Q1","1.03","29.8"%,
"JOURNAL OF MONETARY ECONOMICS","J MONETARY ECON","ELSEVIER","0304-3932","1873-1295","ECONOMICS","SSCI","11,043","4.1","Q1","1.25","25.54"%,
"Journal of Econometrics","J ECONOMETRICS","ELSEVIER SCIENCE SA","0304-4076","1872-6895","ECONOMICS","SSCI","30,272","4","Q1","2.5","21.42"%,
"Review of International Organizations","REV INT ORGAN","SPRINGER","1559-7431","1559-744X","ECONOMICS","SSCI","2,053","4","Q1","1.62","67.68"%,
"JOURNAL OF INTERNATIONAL ECONOMICS","J INT ECON","ELSEVIER","0022-1996","1873-0353","ECONOMICS","SSCI","11,240","4","Q1","1.18","22.61"%,
"AGRICULTURAL ECONOMICS","AGR ECON-BLACKWELL","WILEY","0169-5150","1574-0862","ECONOMICS","SSCI","5,306","4","Q1","1.05","42.77"%,
"Technological and Economic Development of Economy","TECHNOL ECON DEV ECO","VILNIUS GEDIMINAS TECH UNIV","2029-4913","2029-4921","ECONOMICS","SSCI","2,453","3.9","Q1","1.49","100"%,
"North American Journal of Economics and Finance","N AM J ECON FINANC","ELSEVIER SCIENCE INC","1062-9408","1879-0860","ECONOMICS","SSCI","4,765","3.9","Q1","1.22","10.26"%,
"Journal of Finance and Data Science","J FINANCE DATA SCI","KEAI PUBLISHING LTD","N/A","2405-9188","ECONOMICS","ESCI","642","3.9","Q1","0.83","100"%,
"WORK EMPLOYMENT AND SOCIETY","WORK EMPLOY SOC","SAGE PUBLICATIONS LTD","0950-0170","1469-8722","ECONOMICS","SSCI","4,823","3.8","Q1","1.22","59.32"%,
"Forest Policy and Economics","FOREST POLICY ECON","ELSEVIER","1389-9341","1872-7050","ECONOMICS","SSCI","7,125","3.8","Q1","1.17","37.24"%,
"JOURNAL OF BANKING & FINANCE","J BANK FINANC","ELSEVIER","0378-4266","1872-6372","ECONOMICS","SSCI","23,919","3.8","Q1","1.15","22.91"%,
"Futures","FUTURES","ELSEVIER SCI LTD","0016-3287","1873-6378","ECONOMICS","SSCI","6,568","3.8","Q1","0.84","55.73"%,
"Journal of Management Science and Engineering","J MANAGE SCI ENG","KEAI PUBLISHING LTD","2096-2320","2589-5532","ECONOMICS","ESCI","680","3.7","Q1","1.25","96.97"%,
"Research in Globalization","RES GLOB","ELSEVIER","N/A","2590-051X","ECONOMICS","ESCI","760","3.7","Q1","1.24","98.91"%,
"European Journal of Management and Business Economics","EUR J MANAG BUS ECON","EMERALD GROUP PUBLISHING LTD","2444-8451","2444-8494","ECONOMICS","ESCI","861","3.7","Q1","1.16","100"%,
"Journal of Chinese Economic and Business Studies","J CHIN ECON BUS STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1476-5284","1476-5292","ECONOMICS","ESCI","563","3.7","Q1","0.93","12.86"%,
"Annals of Financial Economics","ANN FINANC ECON","WORLD SCIENTIFIC PUBL CO PTE LTD","2010-4952","2010-4960","ECONOMICS","ESCI","322","3.6","Q1","1.28","0"%,
"JOURNAL OF HEALTH ECONOMICS","J HEALTH ECON","ELSEVIER","0167-6296","1879-1646","ECONOMICS","SSCI","8,558","3.6","Q1","1.27","36.84"%,
"China & World Economy","CHINA WORLD ECON","WILEY","1671-2234","1749-124X","ECONOMICS","SSCI","1,499","3.6","Q1","1.2","9.52"%,
"ECONOMIC JOURNAL","ECON J","OXFORD UNIV PRESS","0013-0133","1468-0297","ECONOMICS","SSCI","16,013","3.6","Q1","1.11","27.3"%,
"Journal of Asian Business and Economic Studies","J ASIAN BUS ECON ST","EMERALD GROUP PUBLISHING LTD","N/A","2515-964X","ECONOMICS","ESCI","348","3.6","Q1","1.09","96.88"%,
"REVIEW OF INTERNATIONAL POLITICAL ECONOMY","REV INT POLIT ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0969-2290","1466-4526","ECONOMICS","SSCI","4,393","3.5","Q1","1.66","50.28"%,
"EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS","EUR REV AGRIC ECON","OXFORD UNIV PRESS","0165-1587","1464-3618","ECONOMICS","SSCI","2,230","3.5","Q1","1.27","23.15"%,
"Eurasian Business Review","EURASIAN BUS REV","SPRINGER HEIDELBERG","1309-4297","2147-4281","ECONOMICS","SSCI","856","3.5","Q1","1.03","42.53"%,
"Mineral Economics","MINER ECON","SPRINGER HEIDELBERG","2191-2203","2191-2211","ECONOMICS","ESCI","856","3.5","Q1","0.99","42.04"%,
"JOURNAL OF PUBLIC ECONOMICS","J PUBLIC ECON","ELSEVIER SCIENCE SA","0047-2727","0047-2727","ECONOMICS","SSCI","16,489","3.4","Q1","1.4","36.75"%,
"Applied Economic Perspectives and Policy","APPL ECON PERSPECT P","WILEY","2040-5790","2040-5804","ECONOMICS","SSCI","2,699","3.4","Q1","1.39","43.46"%,
"Entrepreneurial Business and Economics Review","ENTREPR BUS ECON REV","CRACOW UNIV ECONOMICS","2353-883X","2353-8821","ECONOMICS","ESCI","941","3.4","Q1","1.21","91.54"%,
"Research in Transportation Economics","RES TRANSP ECON","ELSEVIER SCI LTD","0739-8859","1875-7979","ECONOMICS","SSCI","3,088","3.4","Q1","1.17","30.99"%,
"Journal of Asian Economics","J ASIAN ECON","ELSEVIER","1049-0078","1873-7927","ECONOMICS","SSCI","2,233","3.4","Q1","1.04","4.58"%,
"ENVIRONMENTAL & RESOURCE ECONOMICS","ENVIRON RESOUR ECON","SPRINGER","0924-6460","1573-1502","ECONOMICS","SSCI","6,498","3.4","Q1","0.91","51.74"%,
"Competition & Change","COMPET CHANG","SAGE PUBLICATIONS LTD","1024-5294","1477-2221","ECONOMICS","SSCI","1,209","3.4","Q1","0.88","58.18"%,
"WORLD BANK RESEARCH OBSERVER","WORLD BANK RES OBSER","OXFORD UNIV PRESS","0257-3032","1564-6971","ECONOMICS","SSCI","1,867","3.3","Q1","2.12","14.71"%,
"AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","AM J AGR ECON","WILEY","0002-9092","1467-8276","ECONOMICS","SSCI","8,859","3.3","Q1","1.48","44.44"%,
"JCMS-Journal of Common Market Studies","JCMS-J COMMON MARK S","WILEY","0021-9886","1468-5965","ECONOMICS","SSCI","4,815","3.3","Q1","1.42","72.89"%,
"Journal of the European Economic Association","J EUR ECON ASSOC","OXFORD UNIV PRESS","1542-4766","1542-4774","ECONOMICS","SSCI","6,568","3.3","Q1","1.15","27.7"%,
"Economic Systems","ECON SYST","ELSEVIER","0939-3625","1878-5433","ECONOMICS","SSCI","1,969","3.3","Q1","1.08","18.52"%,
"Applied Health Economics and Health Policy","APPL HEALTH ECON HEA","SPRINGER INT PUBL AG","1175-5652","1179-1896","ECONOMICS","SSCI","2,326","3.3","Q1","0.99","49.03"%,
"Health Economics Review","HEALTH ECON REV","BMC","2191-1991","2191-1991","ECONOMICS","SSCI","1,408","3.3","Q1","0.89","99.53"%,
"INFORMATION ECONOMICS AND POLICY","INF ECON POLICY","ELSEVIER","0167-6245","1873-5975","ECONOMICS","SSCI","1,259","3.2","Q1","1.11","33.8"%,
"Tourism Economics","TOURISM ECON","SAGE PUBLICATIONS LTD","1354-8166","2044-0375","ECONOMICS","SSCI","4,226","3.2","Q1","0.96","12.65"%,
"Journal of the Association of Environmental and Resource Economists","J ASSOC ENVIRON RESO","UNIV CHICAGO PRESS","2333-5955","2333-5963","ECONOMICS","SSCI","1,867","3.2","Q1","0.95","0.73"%,
"Journal of Economic Policy Reform","J ECON POLICY REFORM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1748-7870","1748-7889","ECONOMICS","SSCI","588","3.2","Q1","0.91","25.93"%,
"International Journal of Ethics and Systems","INT J ETHICS SYST","EMERALD GROUP PUBLISHING LTD","2514-9369","2514-9377","ECONOMICS","ESCI","825","3.2","Q1","0.81","1.59"%,
"JOURNAL OF CONSUMER AFFAIRS","J CONSUM AFF","WILEY","0022-0078","1745-6606","ECONOMICS","SSCI","2,755","3.2","Q1","0.73","27.52"%,
"International Environmental Agreements-Politics Law and Economics","INT ENVIRON AGREEM-P","SPRINGER","1567-9764","1573-1553","ECONOMICS","SSCI","1,323","3.1","Q1","1.64","65.91"%,
"JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES","J JPN INT ECON","ACADEMIC PRESS INC ELSEVIER SCIENCE","0889-1583","1095-8681","ECONOMICS","SSCI","1,072","3.1","Q1","1.39","22.08"%,
"QUARTERLY REVIEW OF ECONOMICS AND FINANCE","Q REV ECON FINANC","ELSEVIER SCIENCE INC","1062-9769","1878-4259","ECONOMICS","SSCI","3,785","3.1","Q1","1.26","12.37"%,
"EMERGING MARKETS FINANCE AND TRADE","EMERG MARK FINANC TR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1540-496X","1558-0938","ECONOMICS","SSCI","5,871","3.1","Q1","1.09","3.16"%,
"JOURNAL OF POLICY MODELING","J POLICY MODEL","ELSEVIER SCIENCE INC","0161-8938","1873-8060","ECONOMICS","SSCI","3,043","3.1","Q1","1.04","20.69"%,
"JOURNAL OF COMPARATIVE ECONOMICS","J COMP ECON","ACADEMIC PRESS INC ELSEVIER SCIENCE","0147-5967","1095-7227","ECONOMICS","SSCI","4,649","3.1","Q1","1.02","20.24"%,
"JOURNAL OF APPLIED ECONOMETRICS","J APPL ECONOMET","WILEY","0883-7252","1099-1255","ECONOMICS","SSCI","7,995","3.1","Q1","0.83","33.33"%,
"RESOURCE AND ENERGY ECONOMICS","RESOUR ENERGY ECON","ELSEVIER","0928-7655","1873-0221","ECONOMICS","SSCI","2,512","3.1","Q1","0.66","40.4"%,
"POST-SOVIET AFFAIRS","POST-SOV AFF","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1060-586X","1938-2855","ECONOMICS","SSCI","1,005","3","Q1","1.79","28.41"%,
"JOURNAL OF POPULATION ECONOMICS","J POPUL ECON","SPRINGER","0933-1433","1432-1475","ECONOMICS","SSCI","3,324","3","Q1","1.44","47.37"%,
"European Journal of Health Economics","EUR J HEALTH ECON","SPRINGER","1618-7598","1618-7601","ECONOMICS","SSCI","4,070","3","Q1","1.02","66.78"%,
"International Journal of Emerging Markets","INT J EMERG MARK","EMERALD GROUP PUBLISHING LTD","1746-8809","1746-8817","ECONOMICS","SSCI","3,851","3","Q1","0.76","4.01"%,
"JOURNAL OF ECONOMIC HISTORY","J ECON HIST","CAMBRIDGE UNIV PRESS","0022-0507","1471-6372","ECONOMICS","SSCI","3,287","2.9","Q1","5.09","59.38"%,
"JOURNAL OF ECONOMIC GEOGRAPHY","J ECON GEOGR","OXFORD UNIV PRESS","1468-2702","1468-2710","ECONOMICS","SSCI","4,794","2.9","Q1","1.05","37.1"%,
"Journal of Family and Economic Issues","J FAM ECON ISS","SPRINGER INT PUBL AG","1058-0476","1573-3475","ECONOMICS","SSCI","2,241","2.9","Q1","0.96","28.06"%,
"REGIONAL SCIENCE AND URBAN ECONOMICS","REG SCI URBAN ECON","ELSEVIER","0166-0462","1879-2308","ECONOMICS","SSCI","4,813","2.9","Q1","0.96","22.93"%,
"Journal of Contemporary Accounting & Economics","J CONTEMP ACCOUNT EC","ELSEVIER SCI LTD","1815-5669","1815-5669","ECONOMICS","SSCI","1,130","2.9","Q1","0.87","13.41"%,
"Journal of Agrarian Change","J AGRAR CHANGE","WILEY","1471-0358","1471-0366","ECONOMICS","SSCI","1,790","2.9","Q1","0.82","52.04"%,
"JOURNAL OF ECONOMIC GROWTH","J ECON GROWTH","SPRINGER","1381-4338","1573-7020","ECONOMICS","SSCI","3,192","2.9","Q1","0.77","61.7"%,
"JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS","J FINANC QUANT ANAL","CAMBRIDGE UNIV PRESS","0022-1090","1756-6916","ECONOMICS","SSCI","10,492","2.8","Q1","0.94","47.89"%,
"RAND JOURNAL OF ECONOMICS","RAND J ECON","WILEY","0741-6261","1756-2171","ECONOMICS","SSCI","5,381","2.8","Q1","0.89","34.62"%,
"BROOKINGS PAPERS ON ECONOMIC ACTIVITY","BROOKINGS PAP ECO AC","JOHNS HOPKINS UNIV PRESS","0007-2303","1533-4465","ECONOMICS","SSCI","3,790","2.8","Q1","0.59","0"%,
"China Economic Quarterly International","CHINA ECON Q INT","KEAI PUBLISHING LTD","N/A","2666-9331","ECONOMICS","ESCI","194","2.7","Q1","0.81","97.01"%,
"JOURNAL OF FORECASTING","J FORECASTING","WILEY","0277-6693","1099-131X","ECONOMICS","SSCI","3,044","2.7","Q1","0.81","19.69"%,
"Review of Keynesian Economics","REV KEYNES ECON","EDWARD ELGAR PUBLISHING LTD","2049-5323","2049-5331","ECONOMICS","SSCI","517","2.7","Q1","0.79","0"%,
"MANAGERIAL AND DECISION ECONOMICS","MANAG DECIS ECON","JOHN WILEY & SONS LTD","0143-6570","1099-1468","ECONOMICS","SSCI","4,177","2.7","Q1","0.75","8.02"%,
"JOURNAL OF REGIONAL SCIENCE","J REGIONAL SCI","WILEY","0022-4146","1467-9787","ECONOMICS","SSCI","3,212","2.7","Q1","0.7","37.91"%,
"Journal of Business Economics and Management","J BUS ECON MANAG","VILNIUS GEDIMINAS TECH UNIV","1611-1699","2029-4433","ECONOMICS","SSCI","2,033","2.7","Q1","0.67","99.47"%,
"Socio-Economic Review","SOCIO-ECON REV","OXFORD UNIV PRESS","1475-1461","1475-147X","ECONOMICS","SSCI","3,055","2.6","Q1","1.36","41.13"%,
"Journal of Competitiveness","J COMPETITIVENESS","UNIV TOMASE BATI & ZLINE, FAK MANAGEMENTU EKONOMIKY","1804-171X","1804-1728","ECONOMICS","SSCI","1,055","2.6","Q1","1.05","78.03"%,
"INTERNATIONAL LABOUR REVIEW","INT LABOUR REV","OPEN LIBRARY HUMANITIES","0020-7780","1564-913X","ECONOMICS","SSCI","1,220","2.6","Q1","0.98","20.45"%,
"JOURNAL OF POLICY ANALYSIS AND MANAGEMENT","J POLICY ANAL MANAG","WILEY","N/A","1520-6688","ECONOMICS","SSCI","3,075","2.6","Q1","0.98","27.45"%,
"Economics of Innovation and New Technology","ECON INNOV NEW TECH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1043-8599","1476-8364","ECONOMICS","SSCI","2,217","2.6","Q1","0.8","16.42"%,
