"Journal Data Filtered By:  Selected Categories: SOCIOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"AGRICULTURE AND HUMAN VALUES","AGR HUM VALUES","SPRINGER","0889-048X","1572-8366","SOCIOLOGY","SSCI","4,322","3.6","Q1","1.95","54.24"%,
"JOURNAL OF HEALTH AND SOCIAL BEHAVIOR","J HEALTH SOC BEHAV","SAGE PUBLICATIONS INC","0022-1465","2150-6000","SOCIOLOGY","SSCI","10,931","3.6","Q1","1.88","23.77"%,
"Scandinavian Journal of Hospitality and Tourism","SCAND J HOSP TOUR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1502-2250","1502-2269","SOCIOLOGY","SSCI","1,494","3.6","Q1","1.25","54.55"%,
"SOCIAL SCIENCE RESEARCH","SOC SCI RES","ACADEMIC PRESS INC ELSEVIER SCIENCE","0049-089X","1096-0317","SOCIOLOGY","SSCI","6,628","3.5","Q1","1.74","26.16"%,
"GENDER & SOCIETY","GENDER SOC","SAGE PUBLICATIONS INC","0891-2432","1552-3977","SOCIOLOGY","SSCI","7,172","3.4","Q1","3.07","31.18"%,
"JOURNAL OF MARRIAGE AND FAMILY","J MARRIAGE FAM","WILEY","0022-2445","1741-3737","SOCIOLOGY","SSCI","12,165","3.4","Q1","1.54","52.94"%,
"Information Communication & Society","INFORM COMMUN SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1369-118X","1468-4462","SOCIOLOGY","SSCI","9,069","3.3","Q1","1.68","33.16"%,
"MEDIA CULTURE & SOCIETY","MEDIA CULT SOC","SAGE PUBLICATIONS LTD","0163-4437","1460-3675","SOCIOLOGY","SSCI","4,391","3.3","Q1","1.55","37.12"%,
"BRITISH JOURNAL OF SOCIOLOGY","BRIT J SOCIOL","WILEY","0007-1315","1468-4446","SOCIOLOGY","SSCI","4,720","3.3","Q1","1.52","76.74"%,
"Consumption and Society","CONSUM SOC","BRISTOL UNIV PRESS & POLICY PRESS","N/A","2752-8499","SOCIOLOGY","ESCI","139","3.3","Q1","1.19","20.75"%,
"SOCIAL FORCES","SOC FORCES","OXFORD UNIV PRESS INC","0037-7732","1534-7605","SOCIOLOGY","SSCI","9,703","3.1","Q1","1.52","20.63"%,
"Health Sociology Review","HEALTH SOCIOL REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1446-1242","1839-3551","SOCIOLOGY","SSCI","871","3.1","Q1","1.38","45.16"%,
"Annual Review of Law and Social Science","ANNU REV LAW SOC SCI","ANNUAL REVIEWS","1550-3585","1550-3631","SOCIOLOGY","SSCI","1,629","3","Q1","2.04","67.8"%,
"Society and Mental Health","SOC MENT HEALTH","SAGE PUBLICATIONS INC","2156-8693","2156-8731","SOCIOLOGY","SSCI","791","3","Q1","1.61","24.14"%,
"EUROPEAN SOCIOLOGICAL REVIEW","EUR SOCIOL REV","OXFORD UNIV PRESS","0266-7215","1468-2672","SOCIOLOGY","SSCI","5,322","3","Q1","1.49","55.88"%,
"City & Community","CITY COMMUNITY","SAGE PUBLICATIONS INC","1535-6841","1540-6040","SOCIOLOGY","SSCI","1,596","3","Q1","1.03","14.58"%,
"Cornell Hospitality Quarterly","CORNELL HOSP Q","SAGE PUBLICATIONS INC","1938-9655","1938-9663","SOCIOLOGY","SSCI","1,974","3","Q1","0.93","14.44"%,
"SOCIAL PROBLEMS","SOC PROBL","OXFORD UNIV PRESS INC","0037-7791","1533-8533","SOCIOLOGY","SSCI","6,082","2.9","Q1","1.63","9.87"%,
"Qualitative Research","QUAL RES","SAGE PUBLICATIONS LTD","1468-7941","1741-3109","SOCIOLOGY","SSCI","6,080","2.9","Q1","1.52","100"%,
"SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION","SOCIOLOGY","SAGE PUBLICATIONS LTD","0038-0385","1469-8684","SOCIOLOGY","SSCI","7,413","2.9","Q1","1.37","64.38"%,
"SOCIOLOGY OF EDUCATION","SOCIOL EDUC","SAGE PUBLICATIONS INC","0038-0407","1939-8573","SOCIOLOGY","SSCI","3,368","2.8","Q1","1.65","32.69"%,
"SOCIAL INDICATORS RESEARCH","SOC INDIC RES","SPRINGER","0303-8300","1573-0921","SOCIOLOGY","SSCI","16,348","2.8","Q1","1.51","45.26"%,
"International Journal of Intercultural Relations","INT J INTERCULT REL","PERGAMON-ELSEVIER SCIENCE LTD","0147-1767","1873-7552","SOCIOLOGY","SSCI","5,570","2.8","Q1","1.24","29.37"%,
"Sociology of Race and Ethnicity","SOCIOL RACE ETHNIC","SAGE PUBLICATIONS INC","2332-6492","2332-6506","SOCIOLOGY","SSCI","1,594","2.8","Q1","1.24","11.02"%,
"RACE & CLASS","RACE CLASS","SAGE PUBLICATIONS LTD","0306-3968","1741-3125","SOCIOLOGY","SSCI","1,158","2.8","Q1","1.22","38.1"%,
"POLITICS & SOCIETY","POLIT SOC","SAGE PUBLICATIONS INC","0032-3292","1552-7514","SOCIOLOGY","SSCI","2,343","2.7","Q1","1.39","36.36"%,
"DISCOURSE & SOCIETY","DISCOURSE SOC","SAGE PUBLICATIONS LTD","0957-9265","1460-3624","SOCIOLOGY","SSCI","2,878","2.7","Q1","1.12","28.28"%,
"SOCIOLOGY OF HEALTH & ILLNESS","SOCIOL HEALTH ILL","WILEY","0141-9889","1467-9566","SOCIOLOGY","SSCI","5,767","2.7","Q1","1.07","72.79"%,
"International Political Sociology","INT POLIT SOCIOL","OXFORD UNIV PRESS","1749-5679","1749-5687","SOCIOLOGY","SSCI","1,664","2.6","Q1","1.58","63.83"%,
"Socio-Economic Review","SOCIO-ECON REV","OXFORD UNIV PRESS","1475-1461","1475-147X","SOCIOLOGY","SSCI","3,055","2.6","Q1","1.36","41.13"%,
"LANGUAGE IN SOCIETY","LANG SOC","CAMBRIDGE UNIV PRESS","0047-4045","1469-8013","SOCIOLOGY","SSCI","2,904","2.6","Q1","1.27","57.94"%,
"International Review for the Sociology of Sport","INT REV SOCIOL SPORT","SAGE PUBLICATIONS LTD","1012-6902","1461-7218","SOCIOLOGY","SSCI","2,698","2.6","Q1","0.87","49.47"%,
"Journal of Consumer Culture","J CONSUM CULT","SAGE PUBLICATIONS LTD","1469-5405","1741-2900","SOCIOLOGY","SSCI","1,887","2.5","Q1","1.79","34.62"%,
"Sociological Methodology","SOCIOL METHODOL","SAGE PUBLICATIONS INC","0081-1750","1467-9531","SOCIOLOGY","SSCI","3,097","2.5","Q1","1.43","32.43"%,
"SOCIAL NETWORKS","SOC NETWORKS","ELSEVIER","0378-8733","1879-2111","SOCIOLOGY","SSCI","6,786","2.4","Q1","1.74","41.62"%,
"Social Movement Studies","SOC MOVEMENT STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1474-2837","1474-2829","SOCIOLOGY","SSCI","2,050","2.4","Q1","1.19","25.83"%,
"SOCIOLOGICAL REVIEW","SOCIOL REV","SAGE PUBLICATIONS LTD","0038-0261","1467-954X","SOCIOLOGY","SSCI","5,533","2.4","Q1","1.15","62.66"%,
"ANTHROZOOS","ANTHROZOOS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0892-7936","1753-0377","SOCIOLOGY","SSCI","2,599","2.3","Q1","0.96","27.04"%,
"GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS","GLOBAL NETW","WILEY","1470-2266","1471-0374","SOCIOLOGY","SSCI","2,105","2.2","Q1","1.3","55.63"%,
"EUROPEAN SOCIETIES","EUR SOC","MIT PRESS","1461-6696","1469-8307","SOCIOLOGY","SSCI","1,954","2.2","Q1","1.2","46.36"%,
"Frontiers in Sociology","FRONT SOCIOL","FRONTIERS MEDIA SA","N/A","2297-7775","SOCIOLOGY","ESCI","2,550","2.2","Q1","1.1","99.86"%,
"SOCIOLOGY OF SPORT JOURNAL","SOCIOL SPORT J","HUMAN KINETICS PUBL INC","0741-1235","1543-2785","SOCIOLOGY","SSCI","1,627","2.2","Q1","0.82","4.64"%,
"LAW & SOCIETY REVIEW","LAW SOC REV","CAMBRIDGE UNIV PRESS","0023-9216","1540-5893","SOCIOLOGY","SSCI","3,275","2.1","Q1","2.07","48.1"%,
"Sociological Science","SOCIOL SCI","SOC SOCIOLOGICAL SCIENCE","N/A","2330-6696","SOCIOLOGY","SSCI","1,370","2.1","Q1","1.27","82.98"%,
"Sociology Compass","SOCIOL COMPASS","WILEY","1751-9020","1751-9020","SOCIOLOGY","SSCI","4,301","2.1","Q1","1.19","41.44"%,
"New Directions for Child and Adolescent Development","NEW DIR CHILD ADOLES","WILEY","1520-3247","1534-8687","SOCIOLOGY","SSCI","2,015","2.1","Q1","1.09","47.22"%,
"BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION","BRIT J SOCIOL EDUC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0142-5692","1465-3346","SOCIOLOGY","SSCI","3,094","2.1","Q1","1.03","44.55"%,
"Qualitative Sociology","QUAL SOCIOL","SPRINGER","0162-0436","1573-7837","SOCIOLOGY","SSCI","2,099","2.1","Q1","1.02","32.39"%,
"SOCIAL PSYCHOLOGY QUARTERLY","SOC PSYCHOL QUART","SAGE PUBLICATIONS INC","0190-2725","1939-8999","SOCIOLOGY","SSCI","3,919","2.1","Q1","0.95","14.29"%,
"Nations and Nationalism","NATIONS NATL","WILEY","1354-5078","1469-8129","SOCIOLOGY","SSCI","2,075","2","Q2","2.04","52.54"%,
"Research in Social Stratification and Mobility","RES SOC STRAT MOBIL","ELSEVIER SCI LTD","0276-5624","1878-5654","SOCIOLOGY","SSCI","1,871","2","Q2","1.31","45.25"%,
"Socius","SOCIUS","SAGE PUBLICATIONS INC","2378-0231","2378-0231","SOCIOLOGY","ESCI","2,328","2","Q2","1.23","96.7"%,
"ETHNIC AND RACIAL STUDIES","ETHNIC RACIAL STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0141-9870","1466-4356","SOCIOLOGY","SSCI","8,278","2","Q2","1.22","42.77"%,
"JOURNAL OF SOCIOLOGY","J SOCIOL","SAGE PUBLICATIONS LTD","1440-7833","1741-2978","SOCIOLOGY","SSCI","1,865","2","Q2","0.82","45.36"%,
"Du Bois Review-Social Science Research on Race","DU BOIS REV","CAMBRIDGE UNIV PRESS","1742-058X","1742-0598","SOCIOLOGY","SSCI","1,361","2","Q2","0.79","56"%,
"International Journal of Japanese Sociology","INT J JPN SOCIOL","WILEY","0918-7545","1475-6781","SOCIOLOGY","ESCI","102","2","Q2","0.63","0"%,
"JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION","J SCI STUD RELIG","WILEY","0021-8294","1468-5906","SOCIOLOGY","SSCI","3,370","1.9","Q2","2.63","40.15"%,
"JOURNAL OF LAW AND SOCIETY","J LAW SOC","WILEY","0263-323X","1467-6478","SOCIOLOGY","SSCI","1,168","1.9","Q2","1.25","69.44"%,
"RURAL SOCIOLOGY","RURAL SOCIOL","WILEY","0036-0112","1549-0831","SOCIOLOGY","SSCI","2,242","1.9","Q2","1.1","41.44"%,
"Crime Media Culture","CRIME MEDIA CULT","SAGE PUBLICATIONS LTD","1741-6590","1741-6604","SOCIOLOGY","SSCI","730","1.9","Q2","0.97","44.29"%,
"Journal of Cultural Economy","J CULT ECON-UK","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1753-0350","1753-0369","SOCIOLOGY","SSCI","1,979","1.9","Q2","0.96","33.14"%,
"JOURNAL OF LEISURE RESEARCH","J LEISURE RES","TAYLOR & FRANCIS INC","0022-2216","2159-6417","SOCIOLOGY","SSCI","2,628","1.9","Q2","0.93","6.5"%,
"YOUTH & SOCIETY","YOUTH SOC","SAGE PUBLICATIONS INC","0044-118X","1552-8499","SOCIOLOGY","SSCI","2,419","1.9","Q2","0.86","16.77"%,
"LEISURE SCIENCES","LEISURE SCI","TAYLOR & FRANCIS INC","0149-0400","1521-0588","SOCIOLOGY","SSCI","3,266","1.9","Q2","0.81","12.41"%,
"Social Justice Research","SOC JUSTICE RES","SPRINGER","0885-7466","1573-6725","SOCIOLOGY","SSCI","1,474","1.9","Q2","0.79","48.28"%,
"JOURNAL OF SPORT & SOCIAL ISSUES","J SPORT SOC ISSUES","SAGE PUBLICATIONS INC","0193-7235","1552-7638","SOCIOLOGY","SSCI","1,514","1.9","Q2","0.78","14.81"%,
"SOCIETY & NATURAL RESOURCES","SOC NATUR RESOUR","TAYLOR & FRANCIS INC","0894-1920","1521-0723","SOCIOLOGY","SSCI","4,500","1.9","Q2","0.63","17.2"%,
"Cultural Sociology","CULT SOCIOL-LONDON","SAGE PUBLICATIONS LTD","1749-9755","1749-9763","SOCIOLOGY","SSCI","929","1.8","Q2","0.87","40.95"%,
"SOCIAL SCIENCE QUARTERLY","SOC SCI QUART","WILEY","0038-4941","1540-6237","SOCIOLOGY","SSCI","5,870","1.8","Q2","0.84","31.16"%,
"Chinese Journal of Sociology","CHINESE J SOCIOL","SAGE PUBLICATIONS LTD","2057-150X","2057-1518","SOCIOLOGY","ESCI","545","1.8","Q2","0.71","14.71"%,
"POETICS","POETICS","ELSEVIER","0304-422X","1872-7514","SOCIOLOGY","SSCI","2,881","1.7","Q2","5.88","39.55"%,
"SOCIOLOGY OF RELIGION","SOCIOL RELIG","OXFORD UNIV PRESS INC","1069-4404","1759-8818","SOCIOLOGY","SSCI","1,213","1.7","Q2","2.65","21.21"%,
"REVIEW OF RELIGIOUS RESEARCH","REV RELIG RES","SAGE PUBLICATIONS INC","0034-673X","2211-4866","SOCIOLOGY","SSCI","1,006","1.7","Q2","2.19","7.95"%,
"Social Currents","SOC CURR","SAGE PUBLICATIONS INC","2329-4965","2329-4973","SOCIOLOGY","ESCI","601","1.7","Q2","1.06","11.63"%,
"Distinktion-Journal of Social Theory","DISTINKTION","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1600-910X","2159-9149","SOCIOLOGY","ESCI","390","1.7","Q2","0.83","45.21"%,
"HUMAN ECOLOGY","HUM ECOL","SPRINGER/PLENUM PUBLISHERS","0300-7839","1572-9915","SOCIOLOGY","SSCI","3,213","1.7","Q2","0.82","34.86"%,
"Critical Sociology","CRIT SOCIOL","SAGE PUBLICATIONS INC","0896-9205","1569-1632","SOCIOLOGY","SSCI","2,230","1.7","Q2","0.79","28.57"%,
"ARMED FORCES & SOCIETY","ARMED FORCES SOC","SAGE PUBLICATIONS INC","0095-327X","1556-0848","SOCIOLOGY","SSCI","1,447","1.7","Q2","0.65","16.96"%,
"Sport in Society","SPORT SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1743-0437","1743-0445","SOCIOLOGY","SSCI","2,736","1.7","Q2","0.55","31.91"%,
"Societies","SOCIETIES","MDPI","N/A","2075-4698","SOCIOLOGY","ESCI","2,146","1.6","Q2","1","100"%,
"Emotions and Society","EMOTION SOC","BRISTOL UNIV PRESS & POLICY PRESS","2631-6897","2631-6900","SOCIOLOGY","ESCI","162","1.6","Q2","0.91","17.5"%,
"SOCIOLOGICAL INQUIRY","SOCIOL INQ","WILEY","0038-0245","1475-682X","SOCIOLOGY","SSCI","2,072","1.6","Q2","0.9","28.95"%,
"CURRENT SOCIOLOGY","CURR SOCIOL","SAGE PUBLICATIONS LTD","0011-3921","1461-7064","SOCIOLOGY","SSCI","3,031","1.6","Q2","0.87","34.55"%,
"SYMBOLIC INTERACTION","SYMB INTERACT","WILEY","0195-6086","1533-8665","SOCIOLOGY","SSCI","1,852","1.6","Q2","0.82","50.6"%,
"Journal of Race Ethnicity and Politics","J RACE ETHN POLITICS","CAMBRIDGE UNIV PRESS","N/A","2056-6085","SOCIOLOGY","ESCI","328","1.6","Q2","0.71","53.09"%,
"Men and Masculinities","MEN MASC","SAGE PUBLICATIONS INC","1097-184X","1552-6828","SOCIOLOGY","SSCI","1,796","1.5","Q2","1.11","33.71"%,
"INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY","INT J COMP SOCIOL","SAGE PUBLICATIONS INC","0020-7152","1745-2554","SOCIOLOGY","SSCI","1,181","1.5","Q2","0.98","33.33"%,
"Community Work & Family","COMMUNITY WORK FAM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1366-8803","1469-3615","SOCIOLOGY","ESCI","1,304","1.5","Q2","0.9","25.58"%,
"Sexualities","SEXUALITIES","SAGE PUBLICATIONS INC","1363-4607","1461-7382","SOCIOLOGY","SSCI","2,323","1.5","Q2","0.89","44.73"%,
"SOCIOLOGICAL FORUM","SOCIOL FORUM","WILEY","0884-8971","1573-7861","SOCIOLOGY","SSCI","2,862","1.5","Q2","0.84","39.41"%,
"Mobilization","MOBILIZATION","SAN DIEGO STATE UNIV","1086-671X","N/A","SOCIOLOGY","SSCI","1,099","1.5","Q2","0.79","2.74"%,
"European Journal of Sociology-Archives Europeennes de Sociologie","EUR J SOCIOL","CAMBRIDGE UNIV PRESS","0003-9756","1474-0583","SOCIOLOGY","SSCI","962","1.5","Q2","0.73","59.52"%,
"NORMA","NORMA","TAYLOR & FRANCIS LTD","1890-2138","1890-2146","SOCIOLOGY","ESCI","382","1.5","Q2","0.73","32.65"%,
"International Studies in Sociology of Education","INT STUD SOCIOL EDUC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0962-0214","1747-5066","SOCIOLOGY","ESCI","642","1.5","Q2","0.71","33.85"%,
"Journal of Immigrant & Refugee Studies","J IMMIGR REFUG STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1556-2948","1556-2956","SOCIOLOGY","SSCI","1,113","1.5","Q2","0.71","28.92"%,
"Network Science","NETW SCI","CAMBRIDGE UNIV PRESS","2050-1242","2050-1250","SOCIOLOGY","ESCI","868","1.5","Q2","0.57","74.24"%,
"Global Discourse","GLOB DISCOURSE","BRISTOL UNIV PRESS & POLICY PRESS","2326-9995","2043-7897","SOCIOLOGY","ESCI","437","1.4","Q2","1.24","31.51"%,
"Race and Social Problems","RACE SOC PROBL","SPRINGER","1867-1748","1867-1756","SOCIOLOGY","SSCI","1,037","1.4","Q2","1.23","18.18"%,
"European Journal of Social Theory","EUR J SOC THEORY","SAGE PUBLICATIONS LTD","1368-4310","1461-7137","SOCIOLOGY","SSCI","2,135","1.4","Q2","1.1","50"%,
"Chinese Sociological Review","CHINESE SOCIOL REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2162-0555","2162-0563","SOCIOLOGY","SSCI","795","1.4","Q2","0.87","7.94"%,
"THEORY AND SOCIETY","THEOR SOC","SPRINGER","0304-2421","1573-7853","SOCIOLOGY","SSCI","4,186","1.4","Q2","0.87","47.17"%,
"DEVIANT BEHAVIOR","DEVIANT BEHAV","TAYLOR & FRANCIS INC","0163-9625","1521-0456","SOCIOLOGY","SSCI","2,611","1.4","Q2","0.73","17.46"%,
"SOCIOLOGICAL QUARTERLY","SOCIOL QUART","TAYLOR & FRANCIS INC","0038-0253","1533-8525","SOCIOLOGY","SSCI","2,549","1.4","Q2","0.73","9.72"%,
"SOCIETY","SOCIETY","SPRINGER","0147-2011","1936-4725","SOCIOLOGY","SSCI","1,222","1.4","Q2","0.65","27.54"%,
"ACTA SOCIOLOGICA","ACTA SOCIOL","SAGE PUBLICATIONS LTD","0001-6993","1502-3869","SOCIOLOGY","SSCI","1,411","1.4","Q2","0.61","57.69"%,
"Body & Society","BODY SOC","SAGE PUBLICATIONS LTD","1357-034X","1460-3632","SOCIOLOGY","SSCI","1,279","1.4","Q2","0.61","55.32"%,
"Young","YOUNG","SAGE PUBLICATIONS LTD","1103-3088","1741-3222","SOCIOLOGY","SSCI","805","1.3","Q3","0.95","80.46"%,
"Innovation-The European Journal of Social Science Research","INNOVATION-ABINGDON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1351-1610","1469-8412","SOCIOLOGY","SSCI","1,203","1.3","Q3","0.77","29.09"%,
"International Journal of Sociology and Social Policy","INT J SOCIOL SOC POL","EMERALD GROUP PUBLISHING LTD","0144-333X","1758-6720","SOCIOLOGY","ESCI","1,593","1.3","Q3","0.71","15.71"%,
"SOCIOLOGICAL RESEARCH ONLINE","SOCIOL RES ONLINE","SAGE PUBLICATIONS LTD","1360-7804","1360-7804","SOCIOLOGY","SSCI","2,024","1.3","Q3","0.7","48.95"%,
"RATIONALITY AND SOCIETY","RATION SOC","SAGE PUBLICATIONS LTD","1043-4631","1461-7358","SOCIOLOGY","SSCI","935","1.3","Q3","0.69","40.32"%,
"International Review of Sociology-Revue Internationale de Sociologie","INT REV SOCIOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0390-6701","1469-9273","SOCIOLOGY","ESCI","659","1.3","Q3","0.66","14.94"%,
"Journal of Chinese Sociology","J CHINESE SOCIOL","SPRINGERNATURE","N/A","2198-2635","SOCIOLOGY","ESCI","356","1.3","Q3","0.64","100"%,
"Journal of Intercultural Studies","J INTERCULT STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0725-6868","1469-9540","SOCIOLOGY","ESCI","1,077","1.3","Q3","0.58","27.22"%,
"BERLINER JOURNAL FUR SOZIOLOGIE","BERL J SOZIOL","VS VERLAG SOZIALWISSENSCHAFTEN-GWV FACHVERLAGE GMBH","0863-1808","1862-2593","SOCIOLOGY","SSCI","171","1.3","Q3","0.5","96.15"%,
"International Journal of the Sociology of Language","INT J SOCIOL LANG","WALTER DE GRUYTER GMBH","0165-2516","1613-3668","SOCIOLOGY","ESCI","1,237","1.2","Q3","0.8","24.09"%,
"Rural Society","RURAL SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1037-1656","2204-0536","SOCIOLOGY","ESCI","341","1.2","Q3","0.65","7.32"%,
"Canadian Review of Sociology-Revue Canadienne de Sociologie","CAN REV SOCIOL","WILEY","1755-6171","1755-618X","SOCIOLOGY","SSCI","833","1.2","Q3","0.59","37.14"%,
"American Journal of Cultural Sociology","AM J CULT SOCIOL","PALGRAVE MACMILLAN LTD","2049-7113","2049-7121","SOCIOLOGY","SSCI","483","1.2","Q3","0.55","28.77"%,
"COMPARATIVE STUDIES IN SOCIETY AND HISTORY","COMP STUD SOC HIST","CAMBRIDGE UNIV PRESS","0010-4175","1475-2999","SOCIOLOGY","SSCI","2,748","1.1","Q3","1.59","72.81"%,
"SOCIOLOGICAL PERSPECTIVES","SOCIOL PERSPECT","SAGE PUBLICATIONS INC","0731-1214","1533-8673","SOCIOLOGY","SSCI","2,154","1.1","Q3","0.9","21.59"%,
"International Journal of Sociology","INT J SOCIOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0020-7659","1557-9336","SOCIOLOGY","ESCI","558","1.1","Q3","0.82","35.21"%,
"SOCIOLOGICAL SPECTRUM","SOCIOL SPECTRUM","TAYLOR & FRANCIS INC","0273-2173","1521-0707","SOCIOLOGY","SSCI","884","1.1","Q3","0.79","2.38"%,
"Food Culture & Society","FOOD CULT SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1552-8014","1751-7443","SOCIOLOGY","SSCI","922","1.1","Q3","0.56","25.26"%,
"AMERICAN SOCIOLOGIST","AM SOCIOL","SPRINGER","0003-1232","1936-4784","SOCIOLOGY","ESCI","713","1.1","Q3","0.55","36.19"%,
"Ethnography","ETHNOGRAPHY","SAGE PUBLICATIONS LTD","1466-1381","1741-2714","SOCIOLOGY","SSCI","1,638","1.1","Q3","0.55","23.14"%,
"TEACHING SOCIOLOGY","TEACH SOCIOL","SAGE PUBLICATIONS INC","0092-055X","1939-862X","SOCIOLOGY","SSCI","899","1.1","Q3","0.55","11.36"%,
"INTERNATIONAL SOCIOLOGY","INT SOCIOL","SAGE PUBLICATIONS LTD","0268-5809","1461-7242","SOCIOLOGY","SSCI","1,964","1.1","Q3","0.48","17.65"%,
"Revista Espanola de Investigaciones Sociologicas","REV ESP INVESTIG SOC","CENTRO INVESTIGACIONES SOCIOLOGICAS","0210-5233","1988-5903","SOCIOLOGY","SSCI","623","1.1","Q3","0.44","91.51"%,
"SOCIETY & ANIMALS","SOC ANIM","BRILL","1063-1119","1568-5306","SOCIOLOGY","SSCI","938","1","Q3","0.64","14.41"%,
"Biodemography and Social Biology","BIODEMOGR SOC BIOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1948-5565","1948-5573","SOCIOLOGY","SSCI","324","1","Q3","0.48","4.55"%,
"HUMAN STUDIES","HUM STUD","SPRINGER","0163-8548","1572-851X","SOCIOLOGY","SSCI","1,077","1","Q3","0.48","58.78"%,
"Journal of World-Systems Research","J WORLD SYST RES","UNIV PITTSBURGH, UNIV LIBRARY SYSTEM","N/A","1076-156X","SOCIOLOGY","ESCI","516","1","Q3","0.47","98.59"%,
"AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY","AM J ECON SOCIOL","WILEY","0002-9246","1536-7150","SOCIOLOGY","SSCI","1,193","1","Q3","0.4","15.6"%,
"Multicultural Perspectives","MULTICULT PERSPECT","TAYLOR & FRANCIS INC","1521-0960","1532-7892","SOCIOLOGY","ESCI","474","1","Q3","0.31","1.56"%,
