"Journal Data Filtered By:  Selected Categories: PSYCHOLOGY;PSYCHOLOGY, SOCIAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"INTERNATIONAL PSYCHOGERIATRICS","INT PSYCHOGERIATR","ELSEVIER","1041-6102","1741-203X","PSYCHOLOGY","SCIE","8,793","4.3","Q1","1.29","100"%,
"INTERNATIONAL JOURNAL OF EATING DISORDERS","INT J EAT DISORDER","WILEY","0276-3478","1098-108X","PSYCHOLOGY","SCIE","13,255","4.3","Q1","1.23","41.07"%,
"Clinical Psychological Science","CLIN PSYCHOL SCI","SAGE PUBLICATIONS INC","2167-7026","2167-7034","PSYCHOLOGY","SCIE","4,923","4.1","Q1","1.46","23.4"%,
"Psychology of Sexual Orientation and Gender Diversity","PSYCHOL SEX ORIENTAT","AMER PSYCHOLOGICAL ASSOC","2329-0382","2329-0390","PSYCHOLOGY","SCIE","3,221","3.9","Q1","1.38","23.21"%,
"Cyberpsychology Behavior and Social Networking","CYBERPSYCH BEH SOC N","MARY ANN LIEBERT, INC","2152-2715","2152-2723","PSYCHOLOGY, SOCIAL","SSCI","7,838","3.9","Q1","1.32","4.92"%,
"ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES","ORGAN BEHAV HUM DEC","ACADEMIC PRESS INC ELSEVIER SCIENCE","0749-5978","1095-9920","PSYCHOLOGY, SOCIAL","SSCI","16,370","3.8","Q1","1.08","20"%,
"EUROPEAN JOURNAL OF PERSONALITY","EUR J PERSONALITY","SAGE PUBLICATIONS LTD","0890-2070","1099-0984","PSYCHOLOGY, SOCIAL","SSCI","4,830","3.7","Q1","1.31","44.59"%,
"JOURNAL OF HEALTH AND SOCIAL BEHAVIOR","J HEALTH SOC BEHAV","SAGE PUBLICATIONS INC","0022-1465","2150-6000","PSYCHOLOGY, SOCIAL","SSCI","10,931","3.6","Q1","1.88","23.77"%,
"POLITICAL PSYCHOLOGY","POLIT PSYCHOL","WILEY","0162-895X","1467-9221","PSYCHOLOGY, SOCIAL","SSCI","7,565","3.5","Q1","1.57","66.09"%,
"Eating Disorders","EAT DISORD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1064-0266","1532-530X","PSYCHOLOGY","SCIE","1,803","3.5","Q1","0.94","10.29"%,
"PSYCHO-ONCOLOGY","PSYCHO-ONCOLOGY","WILEY","1057-9249","1099-1611","PSYCHOLOGY","SCIE","14,455","3.5","Q1","0.9","45.56"%,
"Journal of Trust Research","J TRUST RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2151-5581","2151-559X","PSYCHOLOGY, SOCIAL","ESCI","404","3.5","Q1","0.7","35.48"%,
"CHILD ABUSE & NEGLECT","CHILD ABUSE NEGLECT","PERGAMON-ELSEVIER SCIENCE LTD","0145-2134","1873-7757","PSYCHOLOGY, SOCIAL","SSCI","20,163","3.4","Q1","1.62","23.46"%,
"SEX ROLES","SEX ROLES","SPRINGER/PLENUM PUBLISHERS","0360-0025","1573-2762","PSYCHOLOGY, SOCIAL","SSCI","10,949","3.4","Q1","1.44","33.58"%,
"Social Psychological and Personality Science","SOC PSYCHOL PERS SCI","SAGE PUBLICATIONS INC","1948-5506","1948-5514","PSYCHOLOGY, SOCIAL","SSCI","7,295","3.3","Q1","1.35","35.92"%,
"DEPRESSION AND ANXIETY","DEPRESS ANXIETY","WILEY","1091-4269","1520-6394","PSYCHOLOGY","SCIE","12,010","3.3","Q1","1.31","80.56"%,
"PSYCHOLOGY OF SPORT AND EXERCISE","PSYCHOL SPORT EXERC","ELSEVIER","1469-0292","1878-5476","PSYCHOLOGY","SCIE","9,290","3.3","Q1","1.07","41.6"%,
"HUMAN FACTORS","HUM FACTORS","SAGE PUBLICATIONS INC","0018-7208","1547-8181","PSYCHOLOGY","SCIE","10,414","3.3","Q1","0.86","24.77"%,
"LAW AND HUMAN BEHAVIOR","LAW HUMAN BEHAV","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","0147-7307","1573-661X","PSYCHOLOGY, SOCIAL","SSCI","3,354","3.2","Q1","2.58","35.09"%,
"JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES","J GERONTOL B-PSYCHOL","OXFORD UNIV PRESS INC","1079-5014","1758-5368","PSYCHOLOGY","SCIE","13,495","3.2","Q1","1.55","18.29"%,
"HEALTH PSYCHOLOGY","HEALTH PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0278-6133","1930-7810","PSYCHOLOGY","SCIE","12,116","3.2","Q1","1.21","50.7"%,
"JOURNAL OF APPLIED SPORT PSYCHOLOGY","J APPL SPORT PSYCHOL","TAYLOR & FRANCIS LTD","1041-3200","1533-1571","PSYCHOLOGY","SCIE","2,903","3.2","Q1","1.03","24.79"%,
"Behavioural Public Policy","BEHAV PUBLIC POLICY","CAMBRIDGE UNIV PRESS","2398-063X","2398-0648","PSYCHOLOGY, SOCIAL","ESCI","1,110","3.1","Q1","1.61","61.29"%,
"Social Cognitive and Affective Neuroscience","SOC COGN AFFECT NEUR","OXFORD UNIV PRESS","1749-5016","1749-5024","PSYCHOLOGY","SCIE","8,456","3.1","Q1","1.25","100"%,
"JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY","J EXP SOC PSYCHOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0022-1031","1096-0465","PSYCHOLOGY, SOCIAL","SSCI","15,192","3.1","Q1","1.13","31.63"%,
"JCPP Advances","JCPP ADV","WILEY","2692-9384","2692-9384","PSYCHOLOGY","ESCI","629","3.1","Q1","1.1","97"%,
"JOURNAL OF RESEARCH IN PERSONALITY","J RES PERS","ACADEMIC PRESS INC ELSEVIER SCIENCE","0092-6566","1095-7251","PSYCHOLOGY, SOCIAL","SSCI","10,613","3.1","Q1","1.06","32.35"%,
"NEUROPSYCHOBIOLOGY","NEUROPSYCHOBIOLOGY","KARGER","0302-282X","1423-0224","PSYCHOLOGY","SCIE","2,685","3.1","Q1","0.78","35.96"%,
"JOURNAL OF MEMORY AND LANGUAGE","J MEM LANG","ACADEMIC PRESS INC ELSEVIER SCIENCE","0749-596X","1096-0821","PSYCHOLOGY","SCIE","9,940","3","Q2","1.31","47.65"%,
"BRITISH JOURNAL OF SOCIAL PSYCHOLOGY","BRIT J SOC PSYCHOL","WILEY","0144-6665","2044-8309","PSYCHOLOGY, SOCIAL","SSCI","6,802","3","Q1","1.13","65.14"%,
"COGNITIVE PSYCHOLOGY","COGNITIVE PSYCHOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0010-0285","1095-5623","PSYCHOLOGY","SCIE","7,790","3","Q2","1.04","41.25"%,
"NEUROPSYCHOLOGY","NEUROPSYCHOLOGY","AMER PSYCHOLOGICAL ASSOC","0894-4105","1931-1559","PSYCHOLOGY","SCIE","5,527","3","Q2","0.91","45.65"%,
"Cultural Diversity & Ethnic Minority Psychology","CULT DIVERS ETHN MIN","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1099-9809","1939-0106","PSYCHOLOGY, SOCIAL","SSCI","4,940","2.9","Q2","1.45","30.19"%,
"PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN","PERS SOC PSYCHOL B","SAGE PUBLICATIONS INC","0146-1672","1552-7433","PSYCHOLOGY, SOCIAL","SSCI","20,155","2.9","Q2","1.13","32.37"%,
"BIOLOGICAL PSYCHOLOGY","BIOL PSYCHOL","ELSEVIER","0301-0511","1873-6246","PSYCHOLOGY","SCIE","10,263","2.9","Q2","0.91","29.34"%,
"International Journal of Intercultural Relations","INT J INTERCULT REL","PERGAMON-ELSEVIER SCIENCE LTD","0147-1767","1873-7552","PSYCHOLOGY, SOCIAL","SSCI","5,570","2.8","Q2","1.24","29.37"%,
"PSYCHOPHYSIOLOGY","PSYCHOPHYSIOLOGY","WILEY","0048-5772","1469-8986","PSYCHOLOGY","SCIE","15,783","2.8","Q2","0.95","49.55"%,
"JOURNAL OF CROSS-CULTURAL PSYCHOLOGY","J CROSS CULT PSYCHOL","SAGE PUBLICATIONS INC","0022-0221","1552-5422","PSYCHOLOGY, SOCIAL","SSCI","7,499","2.8","Q2","0.93","27.97"%,
"Psychology of Men & Masculinities","PSYCHOL MEN MASCULIN","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1524-9220","1939-151X","PSYCHOLOGY, SOCIAL","SSCI","2,822","2.8","Q2","0.89","14.5"%,
"Social and Personality Psychology Compass","SOC PERSONAL PSYCHOL","WILEY","N/A","1751-9004","PSYCHOLOGY, SOCIAL","SSCI","7,430","2.8","Q2","0.89","48.6"%,
"JOURNAL OF PERSONALITY","J PERS","WILEY","0022-3506","1467-6494","PSYCHOLOGY, SOCIAL","SSCI","10,880","2.7","Q2","1.15","52.05"%,
"EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY","EUR J SOC PSYCHOL","WILEY","0046-2772","1099-0992","PSYCHOLOGY, SOCIAL","SSCI","8,917","2.7","Q2","1.09","55.96"%,
"CLINICAL NEUROPSYCHOLOGIST","CLIN NEUROPSYCHOL","TAYLOR & FRANCIS INC","1385-4046","1744-4144","PSYCHOLOGY","SCIE","4,880","2.7","Q2","1.01","11.37"%,
"STRESS AND HEALTH","STRESS HEALTH","WILEY","1532-3005","1532-2998","PSYCHOLOGY","SCIE","4,273","2.7","Q2","0.92","40.33"%,
"PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE","PSYCHOL PSYCHOTHER-T","WILEY","1476-0835","2044-8341","PSYCHOLOGY","SCIE","2,223","2.7","Q2","0.9","68.26"%,
"Personality and Mental Health","PERSONAL MENT HEALTH","WILEY","1932-8621","1932-863X","PSYCHOLOGY, SOCIAL","SSCI","985","2.7","Q2","0.81","40.96"%,
"Frontiers in Human Neuroscience","FRONT HUM NEUROSCI","FRONTIERS MEDIA SA","1662-5161","1662-5161","PSYCHOLOGY","SCIE","29,274","2.7","Q2","0.73","99.62"%,
"PERSONALITY AND INDIVIDUAL DIFFERENCES","PERS INDIV DIFFER","PERGAMON-ELSEVIER SCIENCE LTD","0191-8869","1873-3549","PSYCHOLOGY, SOCIAL","SSCI","36,014","2.6","Q2","1.12","26.49"%,
"INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY","INT J PSYCHOPHYSIOL","ELSEVIER","0167-8760","1872-7697","PSYCHOLOGY","SCIE","9,774","2.6","Q2","0.84","22.87"%,
"JOURNAL OF SPORT & EXERCISE PSYCHOLOGY","J SPORT EXERCISE PSY","HUMAN KINETICS PUBL INC","0895-2779","1543-2904","PSYCHOLOGY","SCIE","4,641","2.6","Q2","0.83","2.22"%,
"JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY","J INT NEUROPSYCH SOC","CAMBRIDGE UNIV PRESS","1355-6177","1469-7661","PSYCHOLOGY","SCIE","7,283","2.6","Q2","0.81","57.61"%,
"Affective Science","AFFECT SCI","SPRINGERNATURE","2662-2041","2662-205X","PSYCHOLOGY","ESCI","937","2.6","Q2","0.78","19.37"%,
"MOTIVATION AND EMOTION","MOTIV EMOTION","SPRINGER/PLENUM PUBLISHERS","0146-7239","1573-6644","PSYCHOLOGY, SOCIAL","SSCI","6,071","2.5","Q2","0.86","34.29"%,
"Journal of the Academy of Consultation-Liaison Psychiatry","J ACAD CONSULT-LIAIS","ELSEVIER SCIENCE INC","2667-2960","2667-2960","PSYCHOLOGY","SCIE","477","2.5","Q2","0.73","12.26"%,
"Journal of Diversity in Higher Education","J DIVERS HIGH EDUC","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1938-8926","1938-8934","PSYCHOLOGY, SOCIAL","SSCI","2,285","2.4","Q2","1.15","12.98"%,
"PSYCHOSOMATIC MEDICINE","PSYCHOSOM MED","LIPPINCOTT WILLIAMS & WILKINS","0033-3174","1534-7796","PSYCHOLOGY","SCIE","11,600","2.4","Q2","0.93","15.07"%,
"ERGONOMICS","ERGONOMICS","TAYLOR & FRANCIS LTD","0014-0139","1366-5847","PSYCHOLOGY","SCIE","9,765","2.4","Q2","0.66","18.63"%,
"GROUP PROCESSES & INTERGROUP RELATIONS","GROUP PROCESS INTERG","SAGE PUBLICATIONS LTD","1368-4302","1461-7188","PSYCHOLOGY, SOCIAL","SSCI","4,512","2.3","Q2","1.25","30.7"%,
"JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY","J LANG SOC PSYCHOL","SAGE PUBLICATIONS INC","0261-927X","1552-6526","PSYCHOLOGY, SOCIAL","SSCI","2,615","2.3","Q2","1.02","24.42"%,
"JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS","J SOC PERS RELAT","SAGE PUBLICATIONS LTD","0265-4075","1460-3608","PSYCHOLOGY, SOCIAL","SSCI","6,671","2.3","Q2","1","24.85"%,
"JOURNAL OF APPLIED SOCIAL PSYCHOLOGY","J APPL SOC PSYCHOL","WILEY","0021-9029","1559-1816","PSYCHOLOGY, SOCIAL","SSCI","9,447","2.3","Q2","0.85","49.18"%,
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE","J EXP PSYCHOL HUMAN","AMER PSYCHOLOGICAL ASSOC","0096-1523","1939-1277","PSYCHOLOGY","SCIE","10,056","2.3","Q2","0.83","23.22"%,
"Stigma and Health","STIGMA HEALTH","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","2376-6972","2376-6964","PSYCHOLOGY, SOCIAL","ESCI","1,403","2.2","Q2","0.87","27.08"%,
"Current Research in Ecological and Social Psychology","CURR RES ECOL SOC PS","ELSEVIER","N/A","2666-6227","PSYCHOLOGY, SOCIAL","ESCI","378","2.2","Q2","0.86","100"%,
"Journal of Latinx Psychology","J LATINX PSYCHOL","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","2578-8086","2578-8094","PSYCHOLOGY, SOCIAL","SSCI","309","2.2","Q2","0.82","27.4"%,
"PERSONAL RELATIONSHIPS","PERS RELATIONSHIP","WILEY","1350-4126","1475-6811","PSYCHOLOGY, SOCIAL","SSCI","3,004","2.2","Q2","0.8","37.18"%,
"Journal of Studies on Alcohol and Drugs","J STUD ALCOHOL DRUGS","ALCOHOL RES DOCUMENTATION INC CENT ALCOHOL STUD RUTGERS UNIV","1937-1888","1938-4114","PSYCHOLOGY","SCIE","5,692","2.2","Q2","0.76","2.08"%,
"DEVELOPMENTAL PSYCHOBIOLOGY","DEV PSYCHOBIOL","WILEY","0012-1630","1098-2302","PSYCHOLOGY","SCIE","4,632","2.2","Q2","0.73","29.29"%,
"GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE","GROUP DYN-THEOR RES","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1089-2699","1930-7802","PSYCHOLOGY, SOCIAL","SSCI","1,190","2.2","Q2","0.7","0"%,
"DEVELOPMENTAL NEUROPSYCHOLOGY","DEV NEUROPSYCHOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","8756-5641","1532-6942","PSYCHOLOGY","SCIE","2,718","2.2","Q2","0.6","15.87"%,
"RESEARCH ON LANGUAGE AND SOCIAL INTERACTION","RES LANG SOC INTERAC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0835-1813","1532-7973","PSYCHOLOGY, SOCIAL","SSCI","2,325","2.1","Q3","1.38","53.7"%,
"SOCIAL PSYCHOLOGY QUARTERLY","SOC PSYCHOL QUART","SAGE PUBLICATIONS INC","0190-2725","1939-8999","PSYCHOLOGY, SOCIAL","SSCI","3,919","2.1","Q3","0.95","14.29"%,
"JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY","J COMMUNITY APPL SOC","WILEY","1052-9284","1099-1298","PSYCHOLOGY, SOCIAL","SSCI","2,344","2.1","Q3","0.82","57.78"%,
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION","J EXP PSYCHOL LEARN","AMER PSYCHOLOGICAL ASSOC","0278-7393","1939-1285","PSYCHOLOGY","SCIE","11,982","2.1","Q2","0.79","26.67"%,
"ARCHIVES OF CLINICAL NEUROPSYCHOLOGY","ARCH CLIN NEUROPSYCH","OXFORD UNIV PRESS","0887-6177","1873-5843","PSYCHOLOGY","SCIE","5,741","2.1","Q2","0.7","14.85"%,
"JOURNAL OF LOSS & TRAUMA","J LOSS TRAUMA","TAYLOR & FRANCIS INC","1532-5024","1532-5032","PSYCHOLOGY, SOCIAL","SSCI","1,655","2.1","Q3","0.63","16.23"%,
"Self and Identity","SELF IDENTITY","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1529-8868","1529-8876","PSYCHOLOGY, SOCIAL","SSCI","3,266","2.1","Q3","0.59","11.9"%,
"Emerging Adulthood","EMERG ADULTHOOD","SAGE PUBLICATIONS INC","2167-6968","2167-6984","PSYCHOLOGY, SOCIAL","SSCI","2,119","2","Q3","0.94","22.81"%,
"Social Psychological Bulletin","SOC PSYCHOL BULL","Leibniz Institute Psychology","N/A","2569-653X","PSYCHOLOGY, SOCIAL","ESCI","259","2","Q3","0.81","93.02"%,
"JOURNAL OF PERSONALITY ASSESSMENT","J PERS ASSESS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0022-3891","1532-7752","PSYCHOLOGY, SOCIAL","SSCI","10,984","2","Q3","0.8","16.3"%,
"Clinical Child Psychology and Psychiatry","CLIN CHILD PSYCHOL P","SAGE PUBLICATIONS INC","1359-1045","1461-7021","PSYCHOLOGY","SCIE","2,199","2","Q2","0.53","25.89"%,
"Indian Journal of Psychological Medicine","INDIAN J PSYCHOL MED","SAGE PUBLICATIONS INC","0253-7176","0975-1564","PSYCHOLOGY","ESCI","3,293","2","Q2","0.53","97"%,
"Social Justice Research","SOC JUSTICE RES","SPRINGER","0885-7466","1573-6725","PSYCHOLOGY, SOCIAL","SSCI","1,474","1.9","Q3","0.79","48.28"%,
"SMALL GROUP RESEARCH","SMALL GR RES","SAGE PUBLICATIONS INC","1046-4964","1552-8278","PSYCHOLOGY, SOCIAL","SSCI","2,118","1.9","Q3","0.71","28.89"%,
"Identity-An International Journal of Theory and Research","IDENTITY","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1528-3488","1532-706X","PSYCHOLOGY, SOCIAL","ESCI","965","1.9","Q3","0.66","28.92"%,
"HUMAN MOVEMENT SCIENCE","HUM MOVEMENT SCI","ELSEVIER","0167-9457","1872-7646","PSYCHOLOGY","SCIE","6,008","1.9","Q3","0.63","26.36"%,
"NEUROPSYCHOLOGICAL REHABILITATION","NEUROPSYCHOL REHABIL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0960-2011","1464-0694","PSYCHOLOGY","SCIE","3,093","1.9","Q3","0.48","28.79"%,
"Spanish Journal of Psychology","SPAN J PSYCHOL","CAMBRIDGE UNIV PRESS","1138-7416","1988-2904","PSYCHOLOGY","SCIE","2,250","1.8","Q3","0.89","52.81"%,
"NEUROBIOLOGY OF LEARNING AND MEMORY","NEUROBIOL LEARN MEM","ACADEMIC PRESS INC ELSEVIER SCIENCE","1074-7427","1095-9564","PSYCHOLOGY","SCIE","6,337","1.8","Q3","0.78","23.36"%,
"Analyses of Social Issues and Public Policy","ANAL SOC ISS PUB POL","WILEY","1529-7489","1530-2415","PSYCHOLOGY, SOCIAL","SSCI","938","1.8","Q3","0.58","47.22"%,
"BASIC AND APPLIED SOCIAL PSYCHOLOGY","BASIC APPL SOC PSYCH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0197-3533","1532-4834","PSYCHOLOGY, SOCIAL","SSCI","2,743","1.8","Q3","0.56","8.96"%,
"Journal of Neuropsychology","J NEUROPSYCHOL","WILEY","1748-6645","1748-6653","PSYCHOLOGY","SCIE","883","1.8","Q3","0.55","54.24"%,
"Translational Issues in Psychological Science","TRANSL ISS PSYCH SCI","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","2332-2136","2332-2179","PSYCHOLOGY","ESCI","987","1.7","Q3","0.78","20.8"%,
"JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY","J CLIN EXP NEUROPSYC","TAYLOR & FRANCIS INC","1380-3395","1744-411X","PSYCHOLOGY","SCIE","5,155","1.7","Q3","0.7","14.49"%,
"JOURNAL OF NONVERBAL BEHAVIOR","J NONVERBAL BEHAV","SPRINGER","0191-5886","1573-3653","PSYCHOLOGY, SOCIAL","SSCI","1,943","1.7","Q3","0.68","46.84"%,
"Attention Perception & Psychophysics","ATTEN PERCEPT PSYCHO","SPRINGER","1943-3921","1943-393X","PSYCHOLOGY","SCIE","5,814","1.7","Q3","0.63","44.54"%,
"JOURNAL OF SOCIAL PSYCHOLOGY","J SOC PSYCHOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0022-4545","1940-1183","PSYCHOLOGY, SOCIAL","SSCI","4,218","1.7","Q3","0.6","6.75"%,
"COGNITIVE NEUROPSYCHOLOGY","COGN NEUROPSYCHOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0264-3294","1464-0627","PSYCHOLOGY","SCIE","1,881","1.7","Q3","0.59","25.53"%,
"JOURNAL OF GENETIC PSYCHOLOGY","J GENET PSYCHOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0022-1325","1940-0896","PSYCHOLOGY","SCIE","1,554","1.7","Q3","0.59","2.75"%,
"SUBSTANCE USE & MISUSE","SUBST USE MISUSE","TAYLOR & FRANCIS INC","1082-6084","1532-2491","PSYCHOLOGY","SCIE","5,676","1.7","Q3","0.58","9.04"%,
"CLINICAL EEG AND NEUROSCIENCE","CLIN EEG NEUROSCI","SAGE PUBLICATIONS INC","1550-0594","2169-5202","PSYCHOLOGY","SCIE","1,542","1.7","Q3","0.49","10.69"%,
"HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL","HUM PSYCHOPHARM CLIN","WILEY","0885-6222","1099-1077","PSYCHOLOGY","SCIE","1,865","1.7","Q3","0.47","38.71"%,
"International Review of Social Psychology","INT REV SOC PSYCHOL","UBIQUITY PRESS LTD","2397-8570","2397-8570","PSYCHOLOGY, SOCIAL","SSCI","691","1.6","Q3","0.61","98.21"%,
"ASIAN JOURNAL OF SOCIAL PSYCHOLOGY","ASIAN J SOC PSYCHOL","WILEY","1367-2223","1467-839X","PSYCHOLOGY, SOCIAL","SSCI","1,546","1.6","Q3","0.59","20.3"%,
"RESEARCH QUARTERLY FOR EXERCISE AND SPORT","RES Q EXERCISE SPORT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0270-1367","2168-3824","PSYCHOLOGY","SCIE","4,932","1.6","Q3","0.57","9.96"%,
"JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR","J THEOR SOC BEHAV","WILEY","0021-8308","1468-5914","PSYCHOLOGY, SOCIAL","SSCI","1,673","1.6","Q3","0.5","52.22"%,
"Social Psychology","SOC PSYCHOL-GERMANY","HOGREFE PUBLISHING CORP","1864-9335","2151-2590","PSYCHOLOGY, SOCIAL","SSCI","1,272","1.5","Q4","0.52","17.44"%,
"Applied Neuropsychology-Adult","APPL NEUROPSYCH-ADUL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2327-9095","2327-9109","PSYCHOLOGY","SCIE","1,980","1.5","Q3","0.5","7.8"%,
"JOURNAL OF PSYCHOSOCIAL ONCOLOGY","J PSYCHOSOC ONCOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0734-7332","1540-7586","PSYCHOLOGY, SOCIAL","SSCI","1,563","1.5","Q4","0.49","10.79"%,
"Multisensory Research","MULTISENS RES","BRILL","2213-4794","2213-4808","PSYCHOLOGY","SCIE","653","1.5","Q3","0.48","32.47"%,
"Peace and Conflict-Journal of Peace Psychology","PEACE CONFL","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1078-1919","1532-7949","PSYCHOLOGY, SOCIAL","ESCI","1,088","1.5","Q4","0.46","7.01"%,
