"Journal Data Filtered By:  Selected Categories: ASIAN STUDIES;AREA STUDIES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"EURASIAN GEOGRAPHY AND ECONOMICS","EURASIAN GEOGR ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1538-7216","1938-2863","AREA STUDIES","SSCI","1,356","2.2","Q1","1.56","27"%,
"PACIFIC REVIEW","PAC REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0951-2748","1470-1332","AREA STUDIES","SSCI","1,288","2","Q1","1.76","21.19"%,
"Region","REGION","SLAVICA PUBLISHERS","2166-4307","2165-0659","AREA STUDIES","ESCI","183","1.9","Q1","0.05","0"%,
"JOURNAL OF CONTEMPORARY ASIA","J CONTEMP ASIA","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0047-2336","1752-7554","AREA STUDIES","SSCI","1,373","1.8","Q1","2.28","18.42"%,
"Central Asian Survey","CENT ASIAN SURV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0263-4937","1465-3354","AREA STUDIES","SSCI","850","1.8","Q1","1.73","23.85"%,
"ECONOMIC DEVELOPMENT AND CULTURAL CHANGE","ECON DEV CULT CHANGE","UNIV CHICAGO PRESS","0013-0079","1539-2988","AREA STUDIES","SSCI","2,872","1.8","Q1","1.28","4.51"%,
"Journal of Contemporary European Studies","J CONTEMP EUR STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1478-2804","1478-2790","AREA STUDIES","SSCI","861","1.8","Q1","1.17","26.43"%,
"Polar Journal","POLAR J-UK","TAYLOR & FRANCIS LTD","2154-896X","2154-8978","AREA STUDIES","ESCI","378","1.8","Q1","0.71","39.06"%,
"China Information","CHINA INFORM","SAGE PUBLICATIONS INC","0920-203X","1741-590X","AREA STUDIES","SSCI","504","1.7","Q1","2.49","23.91"%,
"Turkish Studies","TURK STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1468-3849","1743-9663","AREA STUDIES","SSCI","838","1.7","Q1","2.01","12.28"%,
"Journal of Current Southeast Asian Affairs","J CURR SE ASIAN AFF","SAGE PUBLICATIONS INC","1868-1034","1868-4882","AREA STUDIES","SSCI","422","1.7","Q1","1.59","98.51"%,
"Nationalities Papers-The Journal of Nationalism and Ethnicity","NATL PAP","CAMBRIDGE UNIV PRESS","0090-5992","1465-3923","AREA STUDIES","SSCI","1,323","1.6","Q1","2.06","61.29"%,
"Review of African Political Economy","REV AFR POLIT ECON","ScienceOpen","0305-6244","1740-1720","AREA STUDIES","SSCI","1,382","1.6","Q1","1.28","3.28"%,
"Mediterranean Politics","MEDITERR POLIT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1362-9395","1743-9418","AREA STUDIES","SSCI","880","1.6","Q1","1.24","34.51"%,
"Journal of East Asian Studies","J EAST ASIAN STUD","CAMBRIDGE UNIV PRESS","1598-2408","2234-6643","AREA STUDIES","SSCI","509","1.6","Q1","1.18","50.79"%,
"Middle East Critique","MIDDLE EAST CRIT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1943-6149","1943-6157","AREA STUDIES","SSCI","464","1.5","Q1","1.6","27.93"%,
"Asia Pacific Viewpoint","ASIA PAC VIEWP","WILEY","1360-7456","1467-8373","AREA STUDIES","SSCI","811","1.5","Q1","1.46","37.23"%,
"LATIN AMERICAN POLITICS AND SOCIETY","LAT AM POLIT SOC","CAMBRIDGE UNIV PRESS","1531-426X","1548-2456","AREA STUDIES","SSCI","1,077","1.5","Q1","1.18","54"%,
"CRITICAL ASIAN STUDIES","CRIT ASIAN STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1467-2715","1472-6033","AREA STUDIES","SSCI","976","1.4","Q1","1.88","19.35"%,
"Journal of Contemporary East Asia Studies","J CONTEM E ASIA STUD","TAYLOR & FRANCIS LTD","2476-1028","2476-1036","AREA STUDIES","ESCI","265","1.4","Q1","1.8","97.5"%,
"China Review-An Interdisciplinary Journal on Greater China","CHINA REV","CHINESE UNIV PRESS","1680-2012","1680-2012","AREA STUDIES","SSCI","686","1.4","Q1","1.77","0"%,
"INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES","INT J MIDDLE E STUD","CAMBRIDGE UNIV PRESS","0020-7438","1471-6380","AREA STUDIES","SSCI","1,715","1.4","Q1","1.11","72.16"%,
"JOURNAL OF PALESTINE STUDIES","J PALESTINE STUD","TAYLOR & FRANCIS LTD","0377-919X","1533-8614","AREA STUDIES","SSCI","1,025","1.3","Q1","1.43","17.44"%,
"Journal of the Indian Ocean Region","J INDIAN OCEAN REG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1948-0881","1948-108X","AREA STUDIES","ESCI","220","1.3","Q1","1.34","8.82"%,
"ASIAN SURVEY","ASIAN SURV","UNIV CALIFORNIA PRESS","0004-4687","1533-838X","AREA STUDIES","SSCI","1,636","1.2","Q1","1.52","2.16"%,
"PACIFIC AFFAIRS","PAC AFF","PACIFIC AFFAIRS UNIV BRITISH COLUMBIA","0030-851X","1715-3379","AREA STUDIES","SSCI","881","1.2","Q1","1.39","0"%,
"Insight on Africa","INSIGHT AFR","SAGE PUBLICATIONS LTD","0975-0878","0976-3465","AREA STUDIES","ESCI","128","1.2","Q1","1.37","26.32"%,
"Southeast European and Black Sea Studies","SE EUR BLACK SEA STU","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1468-3857","1743-9639","AREA STUDIES","SSCI","744","1.2","Q1","1.35","13.75"%,
"Digest of Middle East Studies","DIG MIDDLE EAST STUD","WILEY","1060-4367","1949-3606","AREA STUDIES","ESCI","194","1.2","Q1","0.88","36.07"%,
"Asian Journal of Social Science","ASIAN J SOC SCI","ELSEVIER","1568-4849","1568-5314","AREA STUDIES","SSCI","547","1.2","Q1","0.8","4.88"%,
"EUROPE-ASIA STUDIES","EUROPE-ASIA STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0966-8136","1465-3427","AREA STUDIES","SSCI","1,952","1.2","Q1","0.8","24.74"%,
"Asian Studies Review","ASIAN STUD REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1035-7823","1467-8403","AREA STUDIES","SSCI","815","1.1","Q1","1.89","15"%,
"Asian Studies Review","ASIAN STUD REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1035-7823","1467-8403","ASIAN STUDIES","AHCI","815","1.1","N/A","1.89","15"%,
"Journal of Asian Public Policy","J ASIAN PUBLIC POLIC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1751-6234","1751-6242","AREA STUDIES","SSCI","526","1.1","Q1","1.7","7.63"%,
"East Asia","E ASIA-NETHERLANDS","SPRINGERNATURE","1096-6838","1874-6284","AREA STUDIES","ESCI","261","1.1","Q1","1.61","35"%,
"JOURNAL OF MODERN AFRICAN STUDIES","J MOD AFR STUD","CAMBRIDGE UNIV PRESS","0022-278X","1469-7777","AREA STUDIES","SSCI","1,446","1.1","Q1","1.28","60.34"%,
"Journal of Balkan and Near Eastern Studies","J BALKAN NEAR E STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1944-8953","1944-8961","AREA STUDIES","SSCI","618","1.1","Q1","1.2","8.7"%,
"Asian Affairs","ASIAN AFF","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0306-8374","1477-1500","AREA STUDIES","ESCI","377","1.1","Q1","1.1","27.27"%,
"New Perspectives on Turkey","NEW PERSPECT TURK","CAMBRIDGE UNIV PRESS","0896-6346","1305-3299","AREA STUDIES","SSCI","388","1.1","Q1","1.05","46.81"%,
"AFRICA","AFRICA","CAMBRIDGE UNIV PRESS","0001-9720","1750-0184","AREA STUDIES","SSCI","1,511","1.1","Q1","0.92","38.04"%,
"Journal of North African Studies","J NORTH AFR STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1362-9387","1743-9345","AREA STUDIES","ESCI","751","1.1","Q1","0.89","19.32"%,
"MIDDLE EAST POLICY","MIDDLE EAST POLICY","WILEY","1061-1924","1475-4967","AREA STUDIES","SSCI","501","1.1","Q1","0.78","24.17"%,
"MIDDLE EAST JOURNAL","MIDDLE EAST J","MIDDLE EAST INST","0026-3141","1940-3461","AREA STUDIES","SSCI","853","1.1","Q1","0.75","0"%,
"Iran-Journal of the British Institute of Persian Studies","IRAN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0578-6967","2396-9202","ASIAN STUDIES","AHCI","384","1.1","N/A","0.51","13.64"%,
"Baltic Region","BALT REG","IMMANUEL KANT BALTIC FEDERAL UNIV","2079-8555","2310-0524","AREA STUDIES","ESCI","200","1","Q2","1.06","94.12"%,
"Comparative Southeast European Studies","COMP SE EUR STUD","WALTER DE GRUYTER GMBH","2701-8199","2701-8202","AREA STUDIES","ESCI","96","1","Q2","0.99","100"%,
"Critical African Studies","CRIT AFR STUD","TAYLOR & FRANCIS LTD","2168-1392","2040-7211","AREA STUDIES","ESCI","341","1","Q2","0.81","26.87"%,
"EAST EUROPEAN POLITICS AND SOCIETIES","E EUR POLIT SOC","SAGE PUBLICATIONS INC","0888-3254","1533-8371","AREA STUDIES","SSCI","982","1","Q2","0.64","22.63"%,
"South East Asia Research","SOUTH EAST ASIA RES","TAYLOR & FRANCIS LTD","0967-828X","2043-6874","ASIAN STUDIES","AHCI","393","0.9","N/A","2.37","8.33"%,
"Indonesia and the Malay World","INDONES MALAY WORLD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1363-9811","1469-8382","ASIAN STUDIES","AHCI","282","0.9","N/A","1.95","22.92"%,
"Review of Religion and Chinese Society","REV RELIG CHINESE SO","BRILL","2214-3947","2214-3955","ASIAN STUDIES","ESCI","54","0.9","N/A","1.66","16.67"%,
"South Asian Diaspora","SOUTH ASIAN DIASPORA","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1943-8192","1943-8184","AREA STUDIES","ESCI","191","0.9","Q2","1.36","15.38"%,
"JOURNAL OF LATIN AMERICAN STUDIES","J LAT AM STUD","CAMBRIDGE UNIV PRESS","0022-216X","1469-767X","AREA STUDIES","SSCI","1,044","0.9","Q2","1.32","40.32"%,
"Millennial Asia","MILLENN ASIA","SAGE PUBLICATIONS INC","0976-3996","2321-7081","AREA STUDIES","ESCI","261","0.9","Q2","1.31","0.91"%,
"Iranian Studies","IRAN STUD-UK","CAMBRIDGE UNIV PRESS","0021-0862","1475-4819","AREA STUDIES","SSCI","744","0.9","Q2","1.22","52.81"%,
"Iranian Studies","IRAN STUD-UK","CAMBRIDGE UNIV PRESS","0021-0862","1475-4819","ASIAN STUDIES","AHCI","744","0.9","N/A","1.22","52.81"%,
"JOURNAL OF ASIAN AND AFRICAN STUDIES","J ASIAN AFR STUD","SAGE PUBLICATIONS INC","0021-9096","1745-2538","AREA STUDIES","SSCI","1,448","0.9","Q2","1.18","14.45"%,
"AFRICAN STUDIES","AFR STUD-UK","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0002-0184","1469-2872","AREA STUDIES","SSCI","511","0.9","Q2","1.05","14.29"%,
"China Perspectives","CHINA PERSPECT","FRENCH CENTRE RESEARCH CONTEMPORARY CHINA","2070-3449","1996-4617","AREA STUDIES","SSCI","554","0.9","Q2","1.02","0"%,
"MODERN CHINA","MOD CHINA","SAGE PUBLICATIONS INC","0097-7004","1552-6836","AREA STUDIES","SSCI","913","0.9","Q2","1.02","13.41"%,
"JOURNAL OF SOUTHERN AFRICAN STUDIES","J S AFR STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0305-7070","1465-3893","AREA STUDIES","SSCI","1,818","0.9","Q2","0.88","30.65"%,
"Contemporary Southeast Asia","CONTEMP SE ASIA","INST SOUTHEAST ASIAN STUDIES-ISEAS","0129-797X","1793-284X","AREA STUDIES","SSCI","592","0.9","Q2","0.61","0"%,
"Asia Policy","ASIA POLICY","NATL BUREAU ASIAN RESEARCH","1559-0968","1559-2960","AREA STUDIES","ESCI","347","0.9","Q2","0.43","0"%,
"Asian Studies-Azijske Studije","ASIAN STUD-AZIJSKE S","UNIV LJUBLJANA","2232-5131","2350-4226","ASIAN STUDIES","ESCI","170","0.8","N/A","2.53","88.5"%,
"JOURNAL OF ASIAN STUDIES","J ASIAN STUD","DUKE UNIV PRESS","0021-9118","1752-0401","AREA STUDIES","SSCI","1,769","0.8","Q2","2.3","1.43"%,
"JOURNAL OF ASIAN STUDIES","J ASIAN STUD","DUKE UNIV PRESS","0021-9118","1752-0401","ASIAN STUDIES","AHCI","1,769","0.8","N/A","2.3","1.43"%,
"Asia & the Pacific Policy Studies","ASIA PAC POLICY STUD","WILEY","2050-2680","2050-2680","AREA STUDIES","SSCI","486","0.8","Q2","1.58","95.83"%,
"South Asia Research","SOUTH ASIA RES","SAGE PUBLICATIONS INDIA PVT LTD","0262-7280","1741-3141","AREA STUDIES","ESCI","283","0.8","Q2","1.53","4.62"%,
"South Asia Research","SOUTH ASIA RES","SAGE PUBLICATIONS INDIA PVT LTD","0262-7280","1741-3141","ASIAN STUDIES","ESCI","283","0.8","N/A","1.53","4.62"%,
"Contemporary South Asia","CONTEMP SOUTH ASIA","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0958-4935","1469-364X","AREA STUDIES","SSCI","578","0.8","Q2","1.43","27.27"%,
"Contemporary South Asia","CONTEMP SOUTH ASIA","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0958-4935","1469-364X","ASIAN STUDIES","AHCI","578","0.8","N/A","1.43","27.27"%,
"MODERN ASIAN STUDIES","MOD ASIAN STUD","CAMBRIDGE UNIV PRESS","0026-749X","1469-8099","AREA STUDIES","SSCI","1,949","0.8","Q2","1.06","55.76"%,
"African Studies Review","AFR STUD REV","CAMBRIDGE UNIV PRESS","0002-0206","1555-2462","AREA STUDIES","SSCI","1,214","0.8","Q2","1.05","53.85"%,
"CANADIAN JOURNAL OF AFRICAN STUDIES","CAN J AFR STUDIES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0008-3968","1923-3051","AREA STUDIES","ESCI","389","0.8","Q2","1.04","11.59"%,
"Journal of Contemporary African Studies","J CONTEMP AFR STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0258-9001","1469-9397","AREA STUDIES","ESCI","632","0.8","Q2","0.92","13.92"%,
"LATIN AMERICAN RESEARCH REVIEW","LAT AM RES REV","CAMBRIDGE UNIV PRESS","N/A","1542-4278","AREA STUDIES","SSCI","1,537","0.8","Q2","0.85","99.47"%,
"Social Science Japan Journal","SOC SCI JPN J","OXFORD UNIV PRESS","1369-1465","1468-2680","AREA STUDIES","SSCI","220","0.8","Q2","0.85","26.83"%,
"ISSUES & STUDIES","ISSUES STUD","WORLD SCIENTIFIC PUBL CO PTE LTD","1013-2511","2529-802X","AREA STUDIES","ESCI","178","0.8","Q2","0.64","0"%,
"SOJOURN-Journal of Social Issues in Southeast Asia","SOJOURN","INST SOUTHEAST ASIAN STUDIES-ISEAS","0217-9520","1793-2858","AREA STUDIES","ESCI","226","0.8","Q2","0.56","0"%,
"SLAVIC REVIEW","SLAVIC REV","CAMBRIDGE UNIV PRESS","0037-6779","2325-7784","AREA STUDIES","SSCI","1,074","0.7","Q2","1.36","29.17"%,
"South Asian Studies","S ASIAN STUD-UK","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0266-6030","2153-2699","ASIAN STUDIES","ESCI","233","0.7","N/A","1.05","4.76"%,
"China Report","CHINA REP","SAGE PUBLICATIONS INDIA PVT LTD","0009-4455","0973-063X","AREA STUDIES","ESCI","223","0.7","Q2","0.83","7.04"%,
"China-An International Journal","CHINA INT J","NUS PRESS PTE LTD","0219-7472","0219-8614","AREA STUDIES","SSCI","403","0.7","Q2","0.8","0"%,
"Mir Rossii-Universe of Russia","MIR ROSS","NATL RESEARCH UNIV HIGHER SCH ECONOMICS","1811-038X","1811-0398","AREA STUDIES","ESCI","127","0.7","Q2","0.66","98.89"%,
"Contemporary Review of the Middle East","CONTEMP REV MIDDLE E","SAGE PUBLICATIONS INC","2347-7989","2349-0055","AREA STUDIES","ESCI","141","0.7","Q2","0.55","5.26"%,
"LATIN AMERICAN PERSPECTIVES","LAT AM PERSPECT","SAGE PUBLICATIONS INC","0094-582X","1552-678X","AREA STUDIES","SSCI","1,582","0.7","Q2","0.54","5.26"%,
"Turkic Languages","TURK LANG","HARRASSOWITZ VERLAG","1431-4983","1431-4983","ASIAN STUDIES","AHCI","98","0.7","N/A","0.14","0"%,
"Journal of Chinese History","J CHINESE HIST","CAMBRIDGE UNIV PRESS","2059-1632","2059-1640","ASIAN STUDIES","ESCI","96","0.6","N/A","1.98","40"%,
"International Journal of Asian Studies","INT J ASIAN STUD","CAMBRIDGE UNIV PRESS","1479-5914","1479-5922","ASIAN STUDIES","AHCI","121","0.6","N/A","1.57","64.44"%,
"Dao-A Journal of Comparative Philosophy","DAO","SPRINGER","1540-3009","1569-7274","ASIAN STUDIES","AHCI","365","0.6","N/A","1.4","10.42"%,
"British Journal of Middle Eastern Studies","BRIT J MIDDLE E STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1353-0194","1469-3542","AREA STUDIES","SSCI","753","0.6","Q2","1.39","30.95"%,
"Modern Italy","MOD ITALY","CAMBRIDGE UNIV PRESS","1353-2944","1469-9877","AREA STUDIES","SSCI","261","0.6","Q2","1.34","72.46"%,
"International Communication of Chinese Culture","INT COMMUN CHIN CULT","SPRINGERNATURE","2197-4233","2197-4241","AREA STUDIES","ESCI","87","0.6","Q2","0.95","30.43"%,
"International Communication of Chinese Culture","INT COMMUN CHIN CULT","SPRINGERNATURE","2197-4233","2197-4241","ASIAN STUDIES","ESCI","87","0.6","N/A","0.95","30.43"%,
"Bulletin of Latin American Research","B LAT AM RES","WILEY","0261-3050","1470-9856","AREA STUDIES","SSCI","683","0.6","Q2","0.9","41.84"%,
"Journal of Contemporary European Research","J CONTEMP EUR RES","UNIV ASSOC CONTEMPORARY EUROPEAN STUDIES-UACES","1815-347X","1815-347X","AREA STUDIES","ESCI","290","0.6","Q2","0.88","96.67"%,
"East Asian Science Technology and Society-An International Journal","E ASIAN SCI TECH SOC","TAYLOR & FRANCIS INC","1875-2160","1875-2152","AREA STUDIES","SSCI","300","0.6","Q2","0.79","43.08"%,
"East Asian Science Technology and Society-An International Journal","E ASIAN SCI TECH SOC","TAYLOR & FRANCIS INC","1875-2160","1875-2152","ASIAN STUDIES","AHCI","300","0.6","N/A","0.79","43.08"%,
"Eastern Journal of European Studies","EAST J EUR STUD","UNIV ALEXANDRU IOAN CUZA, CENTRUL STUDII EUROPENE","2068-651X","2068-6633","AREA STUDIES","ESCI","190","0.6","Q2","0.79","99.17"%,
"Journal of Song-Yuan Studies","J SONG-YUAN STUD","JOHNS HOPKINS UNIV PRESS","1059-3152","2154-6665","ASIAN STUDIES","AHCI","76","0.6","N/A","0.77","0"%,
"Comparative Studies of South Asia Africa and the Middle East","COMP STUD SOUTH ASIA","DUKE UNIV PRESS","1089-201X","1548-226X","AREA STUDIES","ESCI","795","0.6","Q2","0.73","0"%,
"European Review","EUR REV","CAMBRIDGE UNIV PRESS","1062-7987","1474-0575","AREA STUDIES","SSCI","682","0.6","Q2","0.71","59.38"%,
"Journal of Eastern African Studies","J EAST AFR STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1753-1055","1753-1063","AREA STUDIES","SSCI","892","0.6","Q2","0.71","40"%,
"Revista de Estudios Andaluces","REV ESTUD ANDAL","UNIV SEVILLA, EDITORIAL","0212-8594","2340-2776","AREA STUDIES","ESCI","73","0.6","Q2","0.65","90"%,
"India Review","INDIA REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1473-6489","1557-3036","AREA STUDIES","SSCI","248","0.6","Q2","0.64","11.11"%,
"Social Dynamics-A Journal of African Studies","SOC DYNAMICS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0253-3952","1940-7874","AREA STUDIES","SSCI","476","0.6","Q2","0.64","17.57"%,
"Israel Affairs","ISR AFF","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1353-7121","1743-9086","AREA STUDIES","SSCI","442","0.6","Q2","0.6","23.12"%,
"BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE","BIJDR TAAL-LAND-V","BRILL","0006-2294","2213-4379","ASIAN STUDIES","AHCI","346","0.6","N/A","0.56","68.57"%,
"Asian Journal of Middle Eastern and Islamic Studies","ASIAN J MIDDLE E ISL","TAYLOR & FRANCIS LTD","2576-5949","2576-5957","AREA STUDIES","ESCI","157","0.6","Q2","0.49","7.59"%,
"Sibirica-Interdisciplinary journal of Siberian Studies","SIBIRICA","BERGHAHN JOURNALS","1361-7362","1476-6787","AREA STUDIES","ESCI","68","0.6","Q2","0.42","97.67"%,
"IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES","IDS BULL-I DEV STUD","INST DEVELOPMENT STUDIES","0265-5012","1759-5436","AREA STUDIES","SSCI","1,137","0.6","Q2","0.41","86.42"%,
"African and Asian Studies","AFR ASIAN STUD","BRILL","1569-2094","1569-2108","AREA STUDIES","SSCI","116","0.6","Q2","0.34","5.13"%,
"Northern Review","NORTH REV","YUKON COLL","0820-0300","0820-0300","AREA STUDIES","ESCI","105","0.6","Q2","0.26","96.3"%,
"Journal of Korean Studies","J KOREAN STUD","DUKE UNIV PRESS","0731-1613","2158-1665","ASIAN STUDIES","AHCI","176","0.5","N/A","1.7","0"%,
"Journal of Chinese Religions","J CHINESE RELIG","JOHNS HOPKINS UNIV PRESS","0737-769X","2050-8999","ASIAN STUDIES","ESCI","71","0.5","N/A","1.55","0"%,
"JOURNAL OF NEAR EASTERN STUDIES","J NEAR EASTERN STUD","UNIV CHICAGO PRESS","0022-2968","1545-6978","ASIAN STUDIES","AHCI","474","0.5","N/A","1.31","0"%,
"MUSLIM WORLD","MUSLIM WORLD","WILEY","0027-4909","1478-1913","ASIAN STUDIES","AHCI","480","0.5","N/A","1.18","15"%,
"Tang Studies","TANG STUD","JOHNS HOPKINS UNIV PRESS","0737-5034","1759-7633","ASIAN STUDIES","ESCI","39","0.5","N/A","1.02","0"%,
"JOURNAL OF BALTIC STUDIES","J BALTIC STUD","ASSOC ADVANCEMENT BALTIC STUDIES INC","0162-9778","1751-7877","AREA STUDIES","SSCI","385","0.5","Q3","1","8.13"%,
"Journal of Australian Studies","J AUST STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1444-3058","1835-6419","AREA STUDIES","SSCI","506","0.5","Q3","0.85","42.31"%,
"Israel Studies","ISR STUD","INDIANA UNIV PRESS","1084-9513","1527-201X","AREA STUDIES","ESCI","513","0.5","Q3","0.63","0"%,
"Africa Review","AFR REV-ABINGDON","BRILL","0974-4053","0974-4061","AREA STUDIES","ESCI","105","0.5","Q3","0.57","3.7"%,
"European Integration Studies","EUR INTEGR STUD","KAUNO TECHNOLOGIJOS UNIV","1822-8402","2335-8831","AREA STUDIES","ESCI","78","0.5","Q3","0.55","55.17"%,
"Pacific Focus","PAC FOCUS","WILEY","1225-4657","1976-5118","AREA STUDIES","SSCI","170","0.5","Q3","0.55","13.33"%,
"Inner Asia","INN ASIA","BRILL","1464-8172","2210-5018","AREA STUDIES","ESCI","140","0.5","Q3","0.51","17.78"%,
"GERMAN POLITICS AND SOCIETY","GER POLIT SOC","BERGHAHN JOURNALS","1045-0300","1558-5441","AREA STUDIES","ESCI","188","0.5","Q3","0.48","1.92"%,
"Journal of Confucian Philosophy and Culture","J CONFUCIAN PHILOS C","Sungkyunkwan Univ, Inst Confucian Philosophy & Culture","1598-267X","2734-1356","ASIAN STUDIES","ESCI","20","0.5","N/A","0.45","96.43"%,
"CONTEMPORARY PACIFIC","CONTEMP PACIFIC","UNIV HAWAII PRESS","1043-898X","1527-9464","AREA STUDIES","SSCI","561","0.5","Q3","0.41","0"%,
"Studi irlandesi-A Journal of Irish Studies","STUDI IRL","FIRENZE UNIV PRESS","2239-3978","2239-3978","AREA STUDIES","ESCI","36","0.5","Q3","0.4","30"%,
"Europolity-Continuity and Change in European Governance","EUROPOLITY","NATL SCH POLITICAL STUDIES & PUBLIC ADM","2344-2255","2247-7721","AREA STUDIES","ESCI","36","0.5","Q3","0.37","2.17"%,
"Russian Journal of Vietnamese Studies-Vyetnamskiye issledovaniya","RUSS J VIETNAM STUD","CENTER VIETNAM & ASEAN STUDIES","2618-9453","2618-9453","AREA STUDIES","ESCI","73","0.5","Q3","0.36","90.6"%,
"Papeles de Europa","PAPELES EUR","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1989-5917","1989-5917","AREA STUDIES","ESCI","28","0.5","Q3","0.32","94.74"%,
"Nan Nu-Men Women and Gender in China","NAN NU","BRILL","1387-6805","1568-5268","ASIAN STUDIES","AHCI","84","0.4","N/A","1.62","10.71"%,
"International Journal of Taiwan Studies","INT J TAIWAN STUD","BRILL","2468-8797","2468-8800","AREA STUDIES","ESCI","55","0.4","Q3","1.41","13.46"%,
