"Journal Data Filtered By:  Selected Categories: COMMUNICATION Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Journal of Public Relations Research","J PUBLIC RELAT RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1062-726X","1532-754X","COMMUNICATION","SSCI","1,756","3.4","Q1","1.68","5.95"%,
"Global Media and China","GLOB MEDIA CHINA","SAGE PUBLICATIONS LTD","2059-4364","2059-4372","COMMUNICATION","ESCI","528","3.4","Q1","1.53","96.05"%,
"PUBLIC RELATIONS REVIEW","PUBLIC RELAT REV","ELSEVIER SCIENCE INC","0363-8111","1873-4537","COMMUNICATION","SSCI","5,622","3.4","Q1","1.26","13.91"%,
"PUBLIC UNDERSTANDING OF SCIENCE","PUBLIC UNDERST SCI","SAGE PUBLICATIONS LTD","0963-6625","1361-6609","COMMUNICATION","SSCI","3,998","3.3","Q1","2.27","34.85"%,
"HUMAN COMMUNICATION RESEARCH","HUM COMMUN RES","OXFORD UNIV PRESS INC","0360-3989","1468-2958","COMMUNICATION","SSCI","4,591","3.3","Q1","1.84","20.35"%,
"Information Communication & Society","INFORM COMMUN SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1369-118X","1468-4462","COMMUNICATION","SSCI","9,069","3.3","Q1","1.68","33.16"%,
"MEDIA CULTURE & SOCIETY","MEDIA CULT SOC","SAGE PUBLICATIONS LTD","0163-4437","1460-3675","COMMUNICATION","SSCI","4,391","3.3","Q1","1.55","37.12"%,
"Internet Policy Review","INTERNET POLICY REV","ALEXANDER VON HUMBOLDT INST INTERNET & SOC","2197-6775","2197-6775","COMMUNICATION","ESCI","1,506","3.2","Q1","2.95","98.29"%,
"COMMUNICATION RESEARCH","COMMUN RES","SAGE PUBLICATIONS INC","0093-6502","1552-3810","COMMUNICATION","SSCI","6,023","3.2","Q1","1.96","21.62"%,
"Discourse Context & Media","DISCOURSE CONTEXT ME","ELSEVIER SCI LTD","2211-6958","2211-6966","COMMUNICATION","SSCI","1,150","3.1","Q1","1.17","45.92"%,
"International Journal of Business Communication","INT J BUS COMMUN","SAGE PUBLICATIONS INC","2329-4884","2329-4892","COMMUNICATION","SSCI","1,225","3.1","Q1","1.09","7.96"%,
"INFORMATION SOCIETY","INFORM SOC","TAYLOR & FRANCIS INC","0197-2243","1087-6537","COMMUNICATION","SSCI","1,666","3","Q1","1.17","30.88"%,
"Journalism Studies","JOURNALISM STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1461-670X","1469-9699","COMMUNICATION","SSCI","4,860","2.9","Q1","1.43","32.62"%,
"Journal of Current Issues and Research In Advertising","J CURR ISS RES AD","TAYLOR & FRANCIS LTD","1064-1734","2164-7313","COMMUNICATION","ESCI","665","2.9","Q1","1.3","7.5"%,
"Convergence-The International Journal of Research into New Media Technologies","CONVERGENCE-US","SAGE PUBLICATIONS INC","1354-8565","1748-7382","COMMUNICATION","SSCI","2,334","2.9","Q1","1.28","39.88"%,
"EUROPEAN JOURNAL OF COMMUNICATION","EUR J COMMUN","SAGE PUBLICATIONS LTD","0267-3231","1460-3705","COMMUNICATION","SSCI","1,963","2.9","Q1","1.11","45.36"%,
"PUBLIC OPINION QUARTERLY","PUBLIC OPIN QUART","OXFORD UNIV PRESS","0033-362X","1537-5331","COMMUNICATION","SSCI","7,182","2.8","Q1","1.44","21.28"%,
"Communication & Sport","COMMUN SPORT","SAGE PUBLICATIONS INC","2167-4795","2167-4809","COMMUNICATION","SSCI","1,457","2.8","Q1","1.07","19.25"%,
"Mass Communication and Society","MASS COMMUN SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1520-5436","1532-7825","COMMUNICATION","SSCI","2,619","2.7","Q1","1.32","23.81"%,
"Review of Communication Research","REV COMMUN RES","REVIEW COMMUNICATION RESEARCH","2255-4165","2255-4165","COMMUNICATION","ESCI","367","2.7","Q1","1.29","68.97"%,
"HEALTH COMMUNICATION","HEALTH COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1041-0236","1532-7027","COMMUNICATION","SSCI","8,824","2.7","Q1","1.26","8.85"%,
"Journalism","JOURNALISM","SAGE PUBLICATIONS INC","1464-8849","1741-3001","COMMUNICATION","SSCI","4,980","2.7","Q1","1.23","33.92"%,
"DISCOURSE & SOCIETY","DISCOURSE SOC","SAGE PUBLICATIONS LTD","0957-9265","1460-3624","COMMUNICATION","SSCI","2,878","2.7","Q1","1.12","28.28"%,
"MEDIA PSYCHOLOGY","MEDIA PSYCHOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1521-3269","1532-785X","COMMUNICATION","SSCI","3,369","2.6","Q1","2.75","15.04"%,
"Media and Communication","MEDIA COMMUN-LISBON","COGITATIO PRESS","2183-2439","2183-2439","COMMUNICATION","SSCI","2,469","2.6","Q1","1.45","98.87"%,
"INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT","INT J CONFL MANAGE","EMERALD GROUP PUBLISHING LTD","1044-4068","1758-8545","COMMUNICATION","SSCI","1,473","2.6","Q1","1.12","4.48"%,
"Revista Latina de Comunicacion Social","REV LAT COMUN SOC","Historia Sistemas Informativos -HISIN","1138-5820","1138-5820","COMMUNICATION","ESCI","942","2.5","Q1","1.32","95.65"%,
"Journal of Information Technology & Politics","J INF TECHNOL POLITI","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1933-1681","1933-169X","COMMUNICATION","SSCI","1,149","2.4","Q1","1.18","22.22"%,
"JOURNAL OF HEALTH COMMUNICATION","J HEALTH COMMUN","TAYLOR & FRANCIS INC","1081-0730","1087-0415","COMMUNICATION","SSCI","5,852","2.4","Q1","1.09","14.45"%,
"Cyberpsychology-Journal of Psychosocial Research on Cyberspace","CYBERPSYCHOLOGY","MASARYKOVA UNIV, FAC SOCIAL STUDIES","1802-7962","1802-7962","COMMUNICATION","SSCI","1,159","2.4","Q1","1.01","94.37"%,
"Journal of Media Psychology-Theories Methods and Applications","J MEDIA PSYCHOL-GER","HOGREFE PUBLISHING CORP","1864-1105","2151-2388","COMMUNICATION","SSCI","981","2.4","Q1","0.9","10.57"%,
"Media International Australia","MEDIA INT AUST","SAGE PUBLICATIONS LTD","1329-878X","2200-467X","COMMUNICATION","SSCI","1,316","2.4","Q1","0.87","40.56"%,
"Management Communication Quarterly","MANAGE COMMUN Q","SAGE PUBLICATIONS INC","0893-3189","1552-6798","COMMUNICATION","SSCI","1,848","2.4","Q1","0.82","15.15"%,
"JOURNAL OF ADVERTISING RESEARCH","J ADVERTISING RES","TAYLOR & FRANCIS LTD","0021-8499","1740-1909","COMMUNICATION","SSCI","2,669","2.4","Q1","0.72","1.39"%,
"JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY","J LANG SOC PSYCHOL","SAGE PUBLICATIONS INC","0261-927X","1552-6526","COMMUNICATION","SSCI","2,615","2.3","Q1","1.02","24.42"%,
"JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS","J SOC PERS RELAT","SAGE PUBLICATIONS LTD","0265-4075","1460-3608","COMMUNICATION","SSCI","6,671","2.3","Q1","1","24.85"%,
"Communications-European Journal of Communication Research","COMMUNICATIONS-GER","DE GRUYTER MOUTON","0341-2059","1613-4087","COMMUNICATION","SSCI","1,066","2.3","Q1","0.86","38.26"%,
"TECHNICAL COMMUNICATION","TECH COMMUN-STC","SOC TECHNICAL COMMUNICATION","0049-3155","N/A","COMMUNICATION","SSCI","714","2.3","Q1","0.54","0"%,
"JOURNAL OF BROADCASTING & ELECTRONIC MEDIA","J BROADCAST ELECTRON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0883-8151","1550-6878","COMMUNICATION","SSCI","2,928","2.2","Q2","2.77","10.19"%,
"WRITTEN COMMUNICATION","WRIT COMMUN","SAGE PUBLICATIONS INC","0741-0883","1552-8472","COMMUNICATION","SSCI","1,377","2.2","Q2","1.06","29.27"%,
"Discourse & Communication","DISCOURSE COMMUN","SAGE PUBLICATIONS INC","1750-4813","1750-4821","COMMUNICATION","SSCI","1,087","2.2","Q2","1","25.19"%,
"PERSONAL RELATIONSHIPS","PERS RELATIONSHIP","WILEY","1350-4126","1475-6811","COMMUNICATION","SSCI","3,004","2.2","Q2","0.8","37.18"%,
"Journal of International and Intercultural Communication","J INT INTERCULT COMM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1751-3057","1751-3065","COMMUNICATION","ESCI","556","2.2","Q2","0.57","2.27"%,
"Journal of Language and Sexuality","J LANG SEX","JOHN BENJAMINS PUBLISHING CO","2211-3770","2211-3789","COMMUNICATION","ESCI","148","2.1","Q2","1.43","12.12"%,
"RESEARCH ON LANGUAGE AND SOCIAL INTERACTION","RES LANG SOC INTERAC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0835-1813","1532-7973","COMMUNICATION","SSCI","2,325","2.1","Q2","1.38","53.7"%,
"Journal of Communication Management","J COMMUN MANAG","EMERALD GROUP PUBLISHING LTD","1363-254X","1478-0852","COMMUNICATION","ESCI","1,147","2.1","Q2","1.23","21.82"%,
"Journal of Children and Media","J CHILD MEDIA","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1748-2798","1748-2801","COMMUNICATION","SSCI","1,220","2.1","Q2","1.09","18.85"%,
"Online Journal of Communication and Media Technologies","ONLINE J COMMUN MEDI","Bastas Publications DOO","1986-3497","1986-3497","COMMUNICATION","ESCI","429","2.1","Q2","1.06","97.59"%,
"Critical Discourse Studies","CRIT DISCOURSE STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1740-5904","1740-5912","COMMUNICATION","SSCI","1,157","2.1","Q2","1","30.58"%,
"Business and Professional Communication Quarterly","BUS PROF COMMUN Q","SAGE PUBLICATIONS INC","2329-4906","2329-4922","COMMUNICATION","ESCI","759","2.1","Q2","0.96","11.33"%,
"International Journal of Sport Communication","INT J SPORT COMMUN","HUMAN KINETICS PUBL INC","1936-3915","1936-3907","COMMUNICATION","ESCI","733","2.1","Q2","0.96","1.64"%,
"Journalism Practice","JOURNAL PRACT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1751-2786","1751-2794","COMMUNICATION","SSCI","3,424","2","Q2","1.01","20.6"%,
"JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION","J BUS TECH COMMUN","SAGE PUBLICATIONS INC","1050-6519","1552-4574","COMMUNICATION","SSCI","782","2","Q2","0.66","4.17"%,
"Womens Studies in Communication","WOMEN STUD COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0749-1409","2152-999X","COMMUNICATION","ESCI","608","2","Q2","0.54","1.59"%,
"Television & New Media","TELEV NEW MEDIA","SAGE PUBLICATIONS INC","1527-4764","1552-8316","COMMUNICATION","SSCI","1,671","1.9","Q2","2.65","22.52"%,
"International Journal of Strategic Communication","INT J STRATEG COMMUN","TAYLOR & FRANCIS LTD","1553-118X","1553-1198","COMMUNICATION","ESCI","980","1.9","Q2","1.01","21.82"%,
"Chinese Journal of Communication","CHIN J COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1754-4750","1754-4769","COMMUNICATION","SSCI","877","1.9","Q2","0.88","5.95"%,
"COMMUNICATION REVIEW","COMMUN REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1071-4421","1547-7487","COMMUNICATION","ESCI","536","1.9","Q2","0.86","23.21"%,
"JOURNAL OF MEDIA ECONOMICS","J MEDIA ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0899-7764","1532-7736","COMMUNICATION","SSCI","242","1.9","Q2","0.41","4.35"%,
"Mobile Media & Communication","MOB MEDIA COMMUN","SAGE PUBLICATIONS INC","2050-1579","2050-1587","COMMUNICATION","SSCI","1,064","1.8","Q2","1.24","25.77"%,
"JOURNAL OF FAMILY COMMUNICATION","J FAM COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1526-7431","1532-7698","COMMUNICATION","ESCI","744","1.8","Q2","0.96","4.62"%,
"Media War and Conflict","MEDIA WAR CONFL","SAGE PUBLICATIONS LTD","1750-6352","1750-6360","COMMUNICATION","ESCI","634","1.8","Q2","0.83","24.05"%,
"Technical Communication Quarterly","TECH COMMUN Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1057-2252","1542-7625","COMMUNICATION","ESCI","775","1.8","Q2","0.82","5.15"%,
"Popular Communication","POP COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1540-5702","1540-5710","COMMUNICATION","ESCI","540","1.8","Q2","0.67","32.56"%,
"Communication Culture & Critique","COMMUN CULT CRIT","OXFORD UNIV PRESS INC","1753-9129","1753-9137","COMMUNICATION","SSCI","871","1.8","Q2","0.66","20.18"%,
"IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION","IEEE T PROF COMMUN","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0361-1434","1558-1500","COMMUNICATION","SSCI","1,111","1.8","Q2","0.64","4.82"%,
"African Journalism Studies","AFR JOURNAL STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2374-3670","2374-3689","COMMUNICATION","SSCI","382","1.8","Q2","0.59","21.67"%,
"Public Relations Inquiry","PUBLIC RELAT INQ","SAGE PUBLICATIONS LTD","2046-147X","2046-1488","COMMUNICATION","ESCI","376","1.7","Q2","0.91","31.82"%,
"DISCOURSE STUDIES","DISCOURSE STUD","SAGE PUBLICATIONS LTD","1461-4456","1461-7080","COMMUNICATION","SSCI","1,941","1.7","Q2","0.89","29.08"%,
"Feminist Media Studies","FEM MEDIA STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1468-0777","1471-5902","COMMUNICATION","SSCI","3,405","1.7","Q2","0.87","23.6"%,
"Journal of Communication in Healthcare","J COMMUN HEALTHC","TAYLOR & FRANCIS LTD","1753-8068","1753-8076","COMMUNICATION","ESCI","479","1.7","Q2","0.82","8.87"%,
"Communication & Society-Spain","COMMUN SOC-SPAIN","UNIV NAVARRA, SERVICIO PUBLICACIONES","2386-7876","2386-7876","COMMUNICATION","ESCI","718","1.7","Q2","0.78","97.21"%,
"JOURNAL OF APPLIED COMMUNICATION RESEARCH","J APPL COMMUN RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0090-9882","1479-5752","COMMUNICATION","SSCI","1,806","1.7","Q2","0.77","4.55"%,
"Nordicom Review","NORD REV","SCIENDO","1403-1108","2001-5119","COMMUNICATION","ESCI","629","1.7","Q2","0.67","98"%,
"Games and Culture","GAMES CULT","SAGE PUBLICATIONS INC","1555-4120","1555-4139","COMMUNICATION","SSCI","1,633","1.6","Q2","1.44","31.28"%,
"Psychology of Popular Media","PSYCHOL POP MEDIA","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","2689-6567","2689-6575","COMMUNICATION","SSCI","701","1.6","Q2","0.85","6.52"%,
"Communication Research Reports","COMMUN RES REP","TAYLOR & FRANCIS LTD","0882-4096","1746-4099","COMMUNICATION","ESCI","1,257","1.6","Q2","0.81","7.5"%,
"Journal of Multicultural Discourses","J MULTICULT DISCOURS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1744-7143","1747-6615","COMMUNICATION","ESCI","418","1.6","Q2","0.8","15.69"%,
"Frontiers in Communication","FRONT COMMUN","FRONTIERS MEDIA SA","N/A","2297-900X","COMMUNICATION","ESCI","2,564","1.6","Q2","0.76","100"%,
"Revista Mediterranea Comunicacion-Journal of Communication","REV MEDITERR COMUN","UNIV ALICANTE","1989-872X","1989-872X","COMMUNICATION","ESCI","313","1.6","Q2","0.68","88.71"%,
"Communication Today","COMMUN TODAY","UNIV SS CYRIL & METHODIUS TRNAVA","1338-130X","1338-130X","COMMUNICATION","ESCI","202","1.6","Q2","0.62","0"%,
"Communication Reports","COMMUN REP","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0893-4215","1745-1043","COMMUNICATION","ESCI","481","1.6","Q2","0.59","6.25"%,
"COMMUNICATION MONOGRAPHS","COMMUN MONOGR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0363-7751","1479-5787","COMMUNICATION","SSCI","4,264","1.5","Q2","1.01","10.67"%,
"Journalism and Media","JOURNAL MEDIA","MDPI","N/A","2673-5172","COMMUNICATION","ESCI","378","1.5","Q2","0.87","100"%,
"Communication and the Public","COMMUN PUBLIC","SAGE PUBLICATIONS LTD","2057-0473","2057-0481","COMMUNICATION","ESCI","423","1.5","Q2","0.85","64.29"%,
"JAVNOST-THE PUBLIC","JAVNOST-PUBLIC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1318-3222","1854-8377","COMMUNICATION","SSCI","822","1.5","Q2","0.84","41.98"%,
"Asian Journal of Communication","ASIAN J COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0129-2986","1742-0911","COMMUNICATION","SSCI","872","1.5","Q2","0.82","1.18"%,
"JCOM-Journal of Science Communication","JCOM-J SCI COMMUN","SCUOLA INT SUPERIORE STUDI AVANZATI-S I S S A-INT SCH ADVANCED STUDIES","1824-2049","1824-2049","COMMUNICATION","ESCI","1,301","1.5","Q2","0.82","100"%,
"International Journal of Communication","INT J COMMUN-US","USC ANNENBERG PRESS","1932-8036","1932-8036","COMMUNICATION","SSCI","6,299","1.5","Q2","0.76","0"%,
"QUARTERLY JOURNAL OF SPEECH","Q J SPEECH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0033-5630","1479-5779","COMMUNICATION","SSCI","1,274","1.5","Q2","0.57","4.12"%,
"CRITICAL STUDIES IN MEDIA COMMUNICATION","CRIT STUD MEDIA COMM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1529-5036","1479-5809","COMMUNICATION","SSCI","978","1.5","Q2","0.56","2.53"%,
"JMM-International Journal on Media Management","JMM-INT J MEDIA MANA","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1424-1277","1424-1250","COMMUNICATION","ESCI","392","1.5","Q2","0.51","11.54"%,
"Communication and Critical-Cultural Studies","COMMUN CRIT-CULT STU","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1479-1420","1479-4233","COMMUNICATION","SSCI","749","1.4","Q2","0.89","1.16"%,
"LANGUAGE & COMMUNICATION","LANG COMMUN","PERGAMON-ELSEVIER SCIENCE LTD","0271-5309","1873-3395","COMMUNICATION","SSCI","1,779","1.4","Q2","0.74","43.53"%,
"Electronic News","ELECTRON NEWS","SAGE PUBLICATIONS INC","1931-2431","1931-244X","COMMUNICATION","ESCI","176","1.4","Q2","0.68","5.41"%,
"JOURNAL OF TECHNICAL WRITING AND COMMUNICATION","J TECH WRIT COMMUN","SAGE PUBLICATIONS INC","0047-2816","1541-3780","COMMUNICATION","ESCI","495","1.4","Q2","0.67","8.77"%,
"International Communication Gazette","INT COMMUN GAZ","SAGE PUBLICATIONS INC","1748-0485","1748-0493","COMMUNICATION","SSCI","1,259","1.4","Q2","0.65","14.15"%,
"Revista de Comunicacion-Peru","REV COMUN-PERU","UNIV PIURA","1684-0933","2227-1465","COMMUNICATION","ESCI","226","1.4","Q2","0.59","97.64"%,
"Visual Communication","VISUAL COMMUN-US","SAGE PUBLICATIONS INC","1470-3572","1741-3214","COMMUNICATION","SSCI","875","1.4","Q2","0.57","36.28"%,
"Revista Icono 14-Revista Cientifica de Comunicacion y Tecnologias","REV ICONO 14","ICONO 14","1697-8293","1697-8293","COMMUNICATION","ESCI","281","1.4","Q2","0.38","92.31"%,
"Argumentation","ARGUMENTATION","SPRINGER","0920-427X","1572-8374","COMMUNICATION","SSCI","746","1.3","Q3","1.26","54.17"%,
"INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH","INT J PUBLIC OPIN R","OXFORD UNIV PRESS","0954-2892","1471-6909","COMMUNICATION","SSCI","1,805","1.3","Q3","0.84","20.86"%,
"Communication Studies","COMMUN STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1051-0974","1745-1035","COMMUNICATION","ESCI","1,386","1.3","Q3","0.65","4.2"%,
"Science Editing","SCI EDIT","KOREAN COUNCIL SCIENCE EDITORS","2288-7474","2288-8063","COMMUNICATION","ESCI","273","1.3","Q3","0.53","100"%,
"Social Semiotics","SOC SEMIOT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1035-0330","1470-1219","COMMUNICATION","SSCI","1,250","1.2","Q3","1.32","19.27"%,
"Signs and Society","SIGNS SOC","CAMBRIDGE UNIV PRESS","2326-4489","2326-4497","COMMUNICATION","SSCI","238","1.2","Q3","0.93","87.23"%,
"Interaction Studies","INTERACT STUD","JOHN BENJAMINS PUBLISHING CO","1572-0373","1572-0381","COMMUNICATION","SSCI","681","1.2","Q3","0.64","18.6"%,
"Journal of Radio & Audio Media","J RADIO AUDIO MEDIA","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1937-6529","1937-6537","COMMUNICATION","ESCI","335","1.2","Q3","0.59","16.3"%,
"Internet Histories","INTERNET HIST","TAYLOR & FRANCIS LTD","2470-1475","2470-1483","COMMUNICATION","ESCI","195","1.2","Q3","0.55","25.42"%,
"International Journal of Mobile Communications","INT J MOB COMMUN","INDERSCIENCE ENTERPRISES LTD","1470-949X","1741-5217","COMMUNICATION","SSCI","634","1.1","Q3","0.61","0.81"%,
"Feminist Media Histories","FEM MEDIA HIST","UNIV CALIFORNIA PRESS, JOURNALS DIV","N/A","2373-7492","COMMUNICATION","ESCI","225","1.1","Q3","0.6","0"%,
"Journal of Communication Inquiry","J COMMUN INQ","SAGE PUBLICATIONS INC","0196-8599","1552-4612","COMMUNICATION","ESCI","634","1.1","Q3","0.54","10.53"%,
"Journal of Media Ethics","J MEDIA ETHICS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2373-6992","2373-700X","COMMUNICATION","SSCI","504","1.1","Q3","0.45","8.47"%,
"COMMUNICATION QUARTERLY","COMMUN Q","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0146-3373","1746-4102","COMMUNICATION","ESCI","1,293","1","Q3","0.61","2.33"%,
"Atlantic Journal of Communication","ATL J COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1545-6870","1545-6889","COMMUNICATION","ESCI","564","1","Q3","0.5","0"%,
"Jurnal Komunikasi-Malaysian Journal of Communication","J KOMUN","NATL UNIV MALAYSIA, FAC SOCIAL SCIENCES & HUMANITIES","2289-151X","2289-1528","COMMUNICATION","ESCI","584","1","Q3","0.34","0.71"%,
"Continuum-Journal of Media & Cultural Studies","CONTINUUM-J MEDIA CU","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1030-4312","1469-3666","COMMUNICATION","SSCI","1,172","0.9","Q3","1.03","43.45"%,
"NARRATIVE INQUIRY","NARRAT INQ","JOHN BENJAMINS PUBLISHING CO","1387-6740","1569-9935","COMMUNICATION","SSCI","613","0.9","Q3","0.74","13.04"%,
"Text & Talk","TEXT TALK","DE GRUYTER MOUTON","1860-7330","1860-7349","COMMUNICATION","SSCI","841","0.9","Q3","0.58","20.35"%,
"Analisi-Quaderns de Comunicacio i Cultura","ANALISI","UNIV AUTONOMA BARCELONA","0211-2175","2340-5236","COMMUNICATION","ESCI","157","0.9","Q3","0.54","97.96"%,
"Global Media and Communication","GLOB MEDIA COMMUN","SAGE PUBLICATIONS LTD","1742-7665","1742-7673","COMMUNICATION","ESCI","335","0.9","Q3","0.54","28.85"%,
