"Journal Data Filtered By:  Selected Categories: INDUSTRIAL RELATIONS & LABOR Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS","EUR J IND RELAT","SAGE PUBLICATIONS LTD","0959-6801","1461-7129","INDUSTRIAL RELATIONS & LABOR","SSCI","838","2","Q2","1.01","47.83"%,
"Journal for Labour Market Research","J LABOUR MARK RES","SPRINGER HEIDELBERG","2510-5019","2510-5027","INDUSTRIAL RELATIONS & LABOR","ESCI","516","1.7","Q2","0.83","100"%,
"Employee Responsibilities and Rights Journal","EMPLOY RESPONSIB RIG","SPRINGER","0892-7545","1573-3378","INDUSTRIAL RELATIONS & LABOR","ESCI","683","1.7","Q2","0.73","20"%,
"INDUSTRIAL LAW JOURNAL","IND LAW J-UK","OXFORD UNIV PRESS","0305-9332","1464-3669","INDUSTRIAL RELATIONS & LABOR","SSCI","535","1.6","Q2","1.21","58.1"%,
"INDUSTRIAL RELATIONS JOURNAL","IND RELAT J","WILEY","0019-8692","1468-2338","INDUSTRIAL RELATIONS & LABOR","ESCI","758","1.5","Q2","0.68","71.95"%,
"Labour and Industry","LABOUR IND","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1030-1763","2325-5676","INDUSTRIAL RELATIONS & LABOR","ESCI","381","1.5","Q2","0.59","30"%,
"MONTHLY LABOR REVIEW","MON LABOR REV","LEGAL BOOKS DEPOT","0098-1818","1937-4658","INDUSTRIAL RELATIONS & LABOR","SSCI","923","1.5","Q2","0.36","58.21"%,
"JOURNAL OF LABOR RESEARCH","J LABOR RES","SPRINGER","0195-3613","1936-4768","INDUSTRIAL RELATIONS & LABOR","SSCI","550","1.4","Q3","0.46","23.68"%,
"Economic and Labour Relations Review","ECON LABOUR RELAT RE","CAMBRIDGE UNIV PRESS","1035-3046","1838-2673","INDUSTRIAL RELATIONS & LABOR","SSCI","761","1.3","Q3","0.57","47.2"%,
"Journal of Labor and Society","J LABOR SOC","BRILL","2471-4607","2667-3657","INDUSTRIAL RELATIONS & LABOR","ESCI","181","1.1","Q3","0.43","17.54"%,
"Workplace-A Journal for Academic Labor","WORKPLACE","UNIV BRITISH COLUMBIA","1715-0094","1715-0094","INDUSTRIAL RELATIONS & LABOR","ESCI","64","1.1","Q3","0.42","0"%,
"Indian Journal of Labour Economics","INDIAN J LABOUR ECON","INDIAN SOC LABOUR ECONOMICS","0971-7927","0019-5308","INDUSTRIAL RELATIONS & LABOR","ESCI","544","1.1","Q3","0.38","8.28"%,
"IZA Journal of Labor Policy","IZA J LABOR POLICY","SCIENDO","2193-9004","2193-9004","INDUSTRIAL RELATIONS & LABOR","ESCI","318","1.1","Q3","0.27","94.12"%,
"Global Labour Journal","GLOB LABOUR J","MCMASTER UNIV","1918-6711","1918-6711","INDUSTRIAL RELATIONS & LABOR","ESCI","314","1","Q3","0.54","0"%,
"International Journal of Comparative Labour Law and Industrial Relations","INT J COMP LABOUR LA","KLUWER LAW INT","0952-617X","1875-838X","INDUSTRIAL RELATIONS & LABOR","ESCI","205","1","Q3","0.3","0"%,
"Nordic Journal of Working Life Studies","NORD J WORKING LIFE","ROSKILDE UNIV","2245-0157","2245-0157","INDUSTRIAL RELATIONS & LABOR","ESCI","379","0.9","Q3","0.35","16.67"%,
"New Horizons in Adult Education and Human Resource Development","NEW HORIZ ADULT EDUC","SAGE PUBLICATIONS INC","1939-4225","1939-4225","INDUSTRIAL RELATIONS & LABOR","ESCI","256","0.8","Q3","0.38","1.37"%,
"LABOR HISTORY","LABOR HIST-UK","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0023-656X","1469-9702","INDUSTRIAL RELATIONS & LABOR","SSCI","543","0.7","Q3","1.17","18.24"%,
"RELATIONS INDUSTRIELLES-INDUSTRIAL RELATIONS","RELAT IND-IND RELAT","REVUE RELATIONS INDUSTRIELLES INDUSTRIAL RELATIONS","0034-379X","N/A","INDUSTRIAL RELATIONS & LABOR","SSCI","392","0.6","Q4","0.15","0"%,
"INTERNATIONAL LABOR AND WORKING-CLASS HISTORY","INT LABOR WORK-CLASS","CAMBRIDGE UNIV PRESS","0147-5479","1471-6445","INDUSTRIAL RELATIONS & LABOR","SSCI","524","0.5","Q4","1.06","65.59"%,
"LABOUR-LE TRAVAIL","LABOUR-TRAVAIL","CANADIAN COMMITTEE LABOUR HISTORY","0700-3862","1911-4842","INDUSTRIAL RELATIONS & LABOR","SSCI","270","0.5","Q4","0.64","0"%,
"Labour-England","LABOUR-ENGL","WILEY","1121-7081","1467-9914","INDUSTRIAL RELATIONS & LABOR","ESCI","427","0.5","Q4","0.26","39.29"%,
"Revue de l IRES","REV IRES","INST RECHERCHES ECONOMIQUES & SOCIALES-IRES","1145-1378","1145-1378","INDUSTRIAL RELATIONS & LABOR","ESCI","47","0.4","Q4","0.32","0"%,
"Labour History","LABOUR HIST-AUST","LIVERPOOL UNIV PRESS","0023-6942","1839-3039","INDUSTRIAL RELATIONS & LABOR","SSCI","228","0.3","Q4","0.57","0"%,
"Labor-Studies in Working-Class History of the Americas","LABOR","DUKE UNIV PRESS","1547-6715","1558-1454","INDUSTRIAL RELATIONS & LABOR","ESCI","167","0.3","Q4","0.11","0"%,
"African Journal of Employee Relations","AFR J EMPLOYEE RELAT","UNISA PRESS","N/A","2664-3731","INDUSTRIAL RELATIONS & LABOR","ESCI","16","0.3","Q4","0.09","0"%,
"Cuadernos de Relaciones Laborales","CUAD RELAC LABOR","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1131-8635","1988-2572","INDUSTRIAL RELATIONS & LABOR","ESCI","168","0.3","Q4","0.09","93.22"%,
"E-Journal of International and Comparative Labour Studies","E-J INT COMP LABOUR","ADAPT UNIV PRESS","2280-4056","2280-4056","INDUSTRIAL RELATIONS & LABOR","ESCI","39","0.1","Q4","0.03","0"%,
"International Journal on Working Conditions","INT J WORKING COND","REDE INVESTIGACAO CONDICOES TRABALHO-RICOT","2182-9535","2182-9535","INDUSTRIAL RELATIONS & LABOR","ESCI","19","0.1","Q4","0.03","0"%,
"Nouvelle Revue du Travail","NOUV REV TRAV","NOUVELLE REVUE TRAVAIL","2263-8989","2263-8989","INDUSTRIAL RELATIONS & LABOR","ESCI","19","<0.1","Q4","0.03","17.07"%,
"Revista Pegada","REV PEGADA","UNIV ESTADUAL PAULISTA JULIO MESQUITA FILHO, FAC CIENCIAS & TECNOLOGIA","1676-1871","1676-3025","INDUSTRIAL RELATIONS & LABOR","ESCI","14","<0.1","Q4","0.01","18.18"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
