"Journal Data Filtered By:  Selected Categories: URBAN STUDIES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"JOURNAL OF PLANNING EDUCATION AND RESEARCH","J PLAN EDUC RES","SAGE PUBLICATIONS INC","0739-456X","1552-6577","URBAN STUDIES","SSCI","3,340","2.5","Q2","0.7","14.29"%,
"JOURNAL OF HOUSING ECONOMICS","J HOUS ECON","ACADEMIC PRESS INC ELSEVIER SCIENCE","1051-1377","1096-0791","URBAN STUDIES","SSCI","1,536","2.4","Q2","0.7","25.49"%,
"ENVIRONMENT AND URBANIZATION","ENVIRON URBAN","SAGE PUBLICATIONS LTD","0956-2478","1746-0301","URBAN STUDIES","SSCI","2,678","2.4","Q2","0.58","44.3"%,
"Journal of Property Research","J PROP RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0959-9916","1466-4453","URBAN STUDIES","ESCI","576","2.3","Q2","0.67","31.11"%,
"URBAN AFFAIRS REVIEW","URBAN AFF REV","SAGE PUBLICATIONS INC","1078-0874","1552-8332","URBAN STUDIES","SSCI","3,036","2.3","Q2","0.67","23.03"%,
"Urban Design International","URBAN DES INT","PALGRAVE MACMILLAN LTD","1357-5317","1468-4519","URBAN STUDIES","SSCI","965","2.1","Q2","1.35","29.51"%,
"Journal of Housing and the Built Environment","J HOUS BUILT ENVIRON","SPRINGER","1566-4910","1573-7772","URBAN STUDIES","SSCI","2,197","2.1","Q2","0.51","38.66"%,
"INTERNATIONAL REGIONAL SCIENCE REVIEW","INT REGIONAL SCI REV","SAGE PUBLICATIONS INC","0160-0176","1552-6925","URBAN STUDIES","SSCI","1,385","2.1","Q2","0.48","15.71"%,
"Frontiers in Sustainable Cities","FRONT SUSTAIN CITIES","FRONTIERS MEDIA SA","N/A","2624-9634","URBAN STUDIES","ESCI","1,551","2.1","Q2","0.47","99.25"%,
"REAL ESTATE ECONOMICS","REAL ESTATE ECON","WILEY","1080-8620","1540-6229","URBAN STUDIES","SSCI","1,479","2","Q2","0.59","32.84"%,
"Housing Theory & Society","HOUS THEORY SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1403-6096","1651-2278","URBAN STUDIES","SSCI","1,431","2","Q2","0.56","46.46"%,
"International Journal of Housing Markets and Analysis","INT J HOUS MARK ANAL","EMERALD GROUP PUBLISHING LTD","1753-8270","1753-8289","URBAN STUDIES","ESCI","1,073","2","Q2","0.56","3.02"%,
"INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH","INT J URBAN REGIONAL","WILEY","0309-1317","1468-2427","URBAN STUDIES","SSCI","6,116","1.9","Q2","0.7","54.91"%,
"JOURNAL OF URBAN AFFAIRS","J URBAN AFF","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0735-2166","1467-9906","URBAN STUDIES","SSCI","2,944","1.9","Q2","0.59","18.3"%,
"Journal of Urban Design","J URBAN DES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1357-4809","1469-9664","URBAN STUDIES","ESCI","1,899","1.9","Q2","0.51","32.71"%,
"JOURNAL OF URBAN PLANNING AND DEVELOPMENT","J URBAN PLAN DEV","ASCE-AMER SOC CIVIL ENGINEERS","0733-9488","1943-5444","URBAN STUDIES","SSCI","2,603","1.9","Q2","0.47","3.6"%,
"Urban Research & Practice","URBAN RES PRACT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1753-5069","1753-5077","URBAN STUDIES","SSCI","766","1.8","Q3","0.56","23.23"%,
"JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS","J REAL ESTATE FINANC","SPRINGER","0895-5638","1573-045X","URBAN STUDIES","SSCI","2,108","1.8","Q3","0.54","29.75"%,
"URBAN EDUCATION","URBAN EDUC","SAGE PUBLICATIONS INC","0042-0859","1552-8340","URBAN STUDIES","SSCI","3,124","1.7","Q3","0.87","8.09"%,
"Urban Planning","URBAN PLAN","COGITATIO PRESS","2183-7635","2183-7635","URBAN STUDIES","ESCI","1,615","1.7","Q3","0.52","98.39"%,
"Urban Policy and Research","URBAN POLICY RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0811-1146","1476-7244","URBAN STUDIES","SSCI","869","1.7","Q3","0.44","32.53"%,
"Open House International-Sustainable & Smart Architecture and Urban Studies","OPEN HOUSE INT","EMERALD GROUP PUBLISHING LTD","0168-2601","2633-9838","URBAN STUDIES","SSCI","607","1.6","Q3","1","2.19"%,
"Proceedings of the Institution of Civil Engineers-Urban Design and Planning","PROC INST CIV ENG-U","EMERALD GROUP PUBLISHING LTD","1755-0793","1755-0807","URBAN STUDIES","ESCI","307","1.6","Q3","0.54","9.3"%,
"ECONOMIC DEVELOPMENT QUARTERLY","ECON DEV Q","SAGE PUBLICATIONS INC","0891-2424","1552-3543","URBAN STUDIES","SSCI","888","1.6","Q3","0.41","3.92"%,
"Urbani Izziv-Urban Challenge","URBANI IZZIV","URBAN PLANNING INST REPUBLIC SLOVENIA","0353-6483","1855-8399","URBAN STUDIES","ESCI","217","1.5","Q3","0.2","100"%,
"Urban Forum","URBAN FORUM","SPRINGERNATURE","1015-3802","1874-6330","URBAN STUDIES","ESCI","642","1.2","Q3","0.4","65.28"%,
"Chinese Journal of Urban and Environmental Studies","CHIN J URBAN ENV STU","WORLD SCIENTIFIC PUBL CO PTE LTD","2345-7481","2345-752X","URBAN STUDIES","ESCI","258","1.2","Q3","0.37","90.79"%,
"EDUCATION AND URBAN SOCIETY","EDUC URBAN SOC","SAGE PUBLICATIONS INC","0013-1245","1552-3535","URBAN STUDIES","SSCI","1,113","1.1","Q3","0.38","5.62"%,
"TOWN PLANNING REVIEW","TOWN PLAN REV","LIVERPOOL UNIV PRESS","0041-0020","1478-341X","URBAN STUDIES","ESCI","1,042","1.1","Q3","0.37","24.39"%,
"EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES","EURE","PONTIFICIA UNIV CATOLICA CHILE, INST ESTUDIOS URBANOS TERRITORIALES","0250-7161","0717-6236","URBAN STUDIES","SSCI","866","1.1","Q3","0.24","86.84"%,
"Revista INVI","REV INVI","UNIV CHILE","0718-1299","0718-8358","URBAN STUDIES","ESCI","433","1.1","Q3","0.2","100"%,
"ACE-Architecture City and Environment","ACE-ARCHIT CITY ENVI","UNIV POLITECNICA CATALUNYA","1886-4805","1886-4805","URBAN STUDIES","ESCI","245","0.8","Q3","0.49","97.48"%,
"JOURNAL OF CONTEMPORARY ETHNOGRAPHY","J CONTEMP ETHNOGR","SAGE PUBLICATIONS INC","0891-2416","1552-5414","URBAN STUDIES","SSCI","1,571","0.8","Q3","0.49","42.05"%,
"Cityscape","CITYSCAPE","US DEPT HOUSING & URBAN DEVELOPMENT, OFFICE POLICY DEVELOPMENT & RESEARCH","1936-007X","1939-1935","URBAN STUDIES","ESCI","856","0.7","Q4","0.22","0"%,
"Ciudad y Territorio-Estudios Territoriales-CyTET","CIUDAD TERRIT-ESTU","MINISTERIO FOMENTO, CENTRO PUBLICACIONES","1133-4762","N/A","URBAN STUDIES","ESCI","407","0.7","Q4","0.18","81"%,
"Revista de Urbanismo","REV URBAN","UNIV CHILE, FAC ARQUITECTURA & URBANISMO","0717-5051","0717-5051","URBAN STUDIES","ESCI","149","0.7","Q4","0.13","96.72"%,
"Housing Care and Support","HOUS CARE SUPPORT","EMERALD GROUP PUBLISHING LTD","1460-8790","2042-8375","URBAN STUDIES","ESCI","140","0.6","Q4","0.21","11.43"%,
"International Journal of Built Environment and Sustainability","INT J BUILT ENV SUST","PENERBIT UTM PRESS","1511-1369","2289-8948","URBAN STUDIES","ESCI","212","0.6","Q4","0.21","98.68"%,
"Territorios","TERRITORIOS","UNIV ROSARIO","0123-8418","2215-7484","URBAN STUDIES","ESCI","175","0.5","Q4","0.07","93.33"%,
"Journal of Architecture and Planning -King Saud University","J ARCHIT PLAN-KING S","KING SAUD UNIV PRESS, KING SAUD UNIV","1018-3604","1018-3604","URBAN STUDIES","ESCI","42","0.4","Q4","0.32","50.82"%,
"Ciudades-Revista del Instituto Universitario de Urbanistica de la Universidad de Valladolid","CIUDADES","UNIV VALLADOLID, SECRETARIADO PUBLICACIONES","1133-6579","2445-3943","URBAN STUDIES","ESCI","71","0.4","Q4","0.11","100"%,
"Bitacora Urbano Territorial","BITACORA URBANO TERR","UNIV NACL COLOMBIA","0124-7913","2027-145X","URBAN STUDIES","ESCI","286","0.4","Q4","0.09","82.31"%,
"JOURNAL OF URBAN HISTORY","J URBAN HIST","SAGE PUBLICATIONS INC","0096-1442","1552-6771","URBAN STUDIES","SSCI","970","0.3","Q4","0.58","15.73"%,
"International Journal of Knowledge-Based Development","INT J KNOWL-BASED DE","INDERSCIENCE ENTERPRISES LTD","2040-4468","2040-4476","URBAN STUDIES","ESCI","198","0.3","Q4","0.11","0"%,
"Urbe-Revista Brasileira de Gestao Urbana","URBE-CURITIBA","PONTIFICIA UNIV CATOLICA PARANA-PUCPR","2175-3369","2175-3369","URBAN STUDIES","ESCI","243","0.3","Q4","0.08","95.77"%,
"Habitat y Sociedad","HABITAT SOC","UNIV SEVILLA, EDITORIAL","2173-125X","2173-125X","URBAN STUDIES","ESCI","53","0.2","Q4","0.07","97.22"%,
"Cuadernos de Vivienda y Urbanismo","CUAD VIVIENDA URBAN","PONTIFICIA UNIV JAVERIANA, FACULTAD ARQUITECTURA DISENO","2027-2103","2145-0226","URBAN STUDIES","ESCI","72","0.2","Q4","0.05","95.12"%,
"TRIA-Territorio della Ricerca su Insediamenti e Ambiente","TRIA","EDIZIONI SCIENTIFICHE ITALIANE SPA","1974-6849","2281-4574","URBAN STUDIES","ESCI","17","0.2","Q4","0.03","0"%,
"Brussels Studies","BRUSS STUD","UNIV SAINT-LOUIS-BRUXELLES","2031-0293","2031-0293","URBAN STUDIES","ESCI","67","0.2","Q4","0.02","80.82"%,
"Revista de Direito da Cidade-City Law","REV DIREITO CID","UNIV ESTADO RIO JANEIRO","2317-7721","2317-7721","URBAN STUDIES","ESCI","109","0.1","Q4","0.02","84.89"%,
"Nodo","NODO","UNIV ANTONIO NARINO","1909-3888","2346-092X","URBAN STUDIES","ESCI","17","<0.1","Q4","0.01","86.11"%,
"TeMA-Journal of Land Use Mobility and Environment","TEMA","UNIV STUDI NAPOLI FEDERICO II, DIPT PIANIFICAZIONE & SCIENZA TERRITORIO","1970-9889","1970-9870","URBAN STUDIES","ESCI","801","N/A","N/A","0.47","0"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
